指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
931039,银行AH,2017-12-06,0.0068,12685.2400,-0.0077,5.9645,0.8367,3.2016,4.0357,5.1320,5.8676,7.9938,0.5628,0.4781,0.3790,0.4537,0.5699,0.7183,1.0569,2.2730,0.8972,1.0856,1.4245,1.7269,2.0484,2.9053,,0.0932,,0.0532,61
H11146,港股通内地金融,2010-06-02,0.0123,1138.4300,0.0343,6.5200,0.7253,3.2759,4.5181,5.7899,6.7473,9.2347,0.6630,0.4542,0.3797,0.4941,0.6875,0.8770,1.1859,1.6853,0.9032,0.6692,0.9479,1.2468,1.5658,2.1885,,0.0965,,0.0455,26
930792,HK银行,2016-04-22,0.0115,4428.5100,0.0054,7.0298,0.8624,3.2659,4.4426,5.7631,6.6490,9.5632,0.6511,0.5607,0.3905,0.4947,0.6183,0.8043,1.0771,2.6165,0.9554,1.0519,1.5136,1.8198,2.2882,3.1066,,0.0966,,0.0503,722
HSSCSOY,恒生港股通中国央企红利指数,2023-06-01,0.0109,4174.3900,0.0382,7.1210,0.9582,4.1647,4.5830,5.4658,6.6715,7.6037,0.6768,0.8638,0.4381,0.4887,0.5767,0.6628,0.7227,0.9543,0.9582,0.5323,0.5876,0.7205,0.8913,1.0190,,0.1030,,0.0570,164
399986,中证银行,2013-07-15,0.0063,7530.0500,-0.0096,7.1434,0.8694,4.1183,5.2645,6.1879,6.8001,9.0846,0.6991,0.4069,0.4848,0.5838,0.7297,0.9087,1.2416,2.7226,0.9320,1.4134,1.7845,2.1074,2.4242,3.3016,0.0685,0.0932,0.0729,0.0435,9275
931233,港股通央企红利,2017-06-28,0.0083,1191.9280,0.0224,7.1906,0.7474,3.6988,4.9299,6.2426,7.4093,14.0775,0.6898,0.6229,0.3929,0.5207,0.6347,0.8715,1.8161,0.9898,0.5677,0.4645,0.6161,0.9252,1.4025,1.7583,,0.0974,,0.0567,322
987016,港股通红利低波,2021-11-18,,,0.0094,7.2437,0.9732,3.4544,4.2713,4.7963,5.9024,7.7483,0.6752,0.9186,0.4152,0.4827,0.5320,0.6056,0.7226,1.1894,0.9732,0.5827,0.6538,0.7759,0.9126,1.2728,,0.0954,,0.0577,49
HSMCHYI,恒生中国内地企业高股息率指数,2019-09-01,0.0035,2853.8700,0.0256,7.5119,0.9860,3.7550,5.0303,5.7379,6.5756,7.8564,0.7653,0.9427,0.4590,0.5759,0.6341,0.7124,0.8175,1.1548,0.9860,0.5101,0.6858,0.7865,0.8835,1.2090,,0.1015,,0.0532,248
H30106,H300金融服务,2013-05-21,0.0128,1569.9700,0.0375,7.5404,0.7387,4.0175,5.3627,6.7949,7.7687,11.1922,0.7897,0.5612,0.4470,0.5779,0.7482,0.9081,1.2489,2.1082,0.9550,0.8557,1.1817,1.4436,1.7947,2.3593,,0.1022,,0.0436,16
HSHYLV,恒生港股通高股息低波动指数,2017-05-08,0.0064,4581.6300,0.0254,7.5642,0.8712,3.5572,4.6200,5.9050,7.0100,9.5068,0.6709,0.6407,0.3828,0.4838,0.5708,0.8213,1.1073,1.0099,0.6286,0.4386,0.6423,0.8332,1.4404,2.0623,,0.0870,,0.0577,1256
HSHDYI,恒生高股息率指数,2012-12-10,0.0032,1304.8400,0.0230,7.7563,0.8193,3.6777,4.8612,6.5451,7.6263,10.6953,0.7241,0.5829,0.4041,0.5046,0.6483,0.9078,1.1746,1.1445,0.5950,0.5013,0.7008,1.0576,1.5005,1.9871,,0.0974,,0.0571,870
