指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="930662",CS现代农,2015-07-13,=0.0026,=1069.8500,=0.0879,=17.7651,=0.0969,=13.0417,=21.3313,=28.7016,=62.6913,=301.1137,=2.5446,=0.1993,=1.8555,=2.5467,=2.8615,=3.1566,=4.3308,=1.0787,=0.3641,=0.8273,=1.0209,=1.1921,=1.5748,=2.1026,=0.0952,=0.1361,=0.0878,=0.0279,=23
="000917",300公用,2007-07-02,=-0.0011,=2533.0100,=-0.0604,=17.7679,=0.5078,=12.0371,=15.6469,=17.7129,=20.5904,=34.2477,=1.9885,=0.5292,=1.4019,=1.6837,=1.9553,=2.1725,=2.6347,=1.9337,=0.7428,=1.3139,=1.6340,=1.8117,=1.9891,=3.2322,=0.0883,=0.1115,=0.0997,=0.0278,=31
="931454",港股通消费,2020-03-06,=-0.0030,=1590.7000,=0.2447,=17.7731,=0.0042,=17.4809,=21.5478,=28.7312,=38.7721,=64.7193,=2.9940,=0.0509,=2.6084,=3.3300,=3.7049,=5.2467,=8.9519,=1.6150,=0.0035,=1.5885,=2.0584,=2.4282,=3.6971,=6.6047,,=0.2238,,=0.0373,=196
="932367",500现金流,2024-11-12,=0.0123,=3678.2900,=0.2984,=17.7978,=0.9891,=12.7635,=13.8456,=14.5684,=17.0769,=18.0378,=2.0131,=1,=1.5076,=1.6496,=1.7052,=1.7932,=2.0131,=1.2266,=0.5345,=0.8955,=1.0811,=1.2121,=1.2687,=1.3184,=0.0897,,,=0.0287,=53
="H30199",电力指数,2013-07-15,=0.0053,=2924.3000,=0.0229,=17.8474,=0.4025,=12.6682,=16.3614,=18.8088,=24.9861,=78.5133,=1.7180,=0.5103,=1.2472,=1.5172,=1.7143,=1.8401,=2.2679,=1.7880,=0.8004,=1.1507,=1.4427,=1.5885,=1.7874,=2.2389,=0.0819,=0.0952,=0.0862,=0.0252,=504
="399617",深证消费,2011-06-15,=-0.0051,=9306.9900,=-0.0168,=17.9660,=0.0782,=15.3450,=22.7368,=26.8755,=32.3173,=1768.1548,=2.9464,=0.0230,=2.7026,=3.5270,=4.2604,=5.7452,=9.2732,=1.6828,=0.0111,=1.4888,=1.9523,=2.4810,=3.6982,=6.3240,=0.1214,=0.1683,=0.1298,=0.0377,=341
="931067",绩优策略,2018-02-14,=0.0071,=7722.3800,=0.2918,=17.9863,=0.4405,=10.5807,=14.4973,=18.7324,=27.4404,=44.0015,=4.4460,=0.2632,=3.5566,=4.2676,=5.0583,=7.8976,=11.8571,=2.8849,=0.5207,=2.1909,=2.5118,=2.8509,=5.1856,=8.6201,=0.2270,=0.2301,=0.1787,=0.0237,=20
="931897",绿色电力,2012-12-21,=0.0056,=1122.5000,=0.0243,=18.0178,=0.4802,=12.4356,=15.0398,=18.2138,=23.5727,=3316.8719,=1.7753,=0.7963,=1.0802,=1.3467,=1.6374,=1.7779,=2.2742,=1.8481,=0.8942,=0.8910,=1.1304,=1.2735,=1.6905,=2.6891,=0.0820,=0.0984,=0.0802,=0.0253,=80
="931142",东证竞争,2019-03-20,=0.0028,=1877.3800,=0.3495,=18.0513,=0.9246,=9.8569,=11.8812,=13.8408,=15.2336,=27.8877,=3.1362,=0.9246,=1.5408,=1.7261,=2.0396,=2.4802,=4.6703,=3.0967,=0.9970,=0.9384,=1.2610,=1.6201,=2.1328,=3.1903,=0.1070,=0.1249,=0.1207,=0.0233,=207
="931697",消费50策略,2021-07-12,=0.0007,=8502.0400,=0.0343,=18.2227,=0.0886,=16.4104,=18.9354,=21.7612,=31.6912,=38.9422,=3.3829,=0.0249,=3.1052,=3.6345,=4.1240,=5.3407,=7.0736,=1.6706,=0.0212,=1.5361,=1.8219,=2.0272,=2.9082,=3.5305,=0.1441,=0.1913,=0.1407,=0.0338,=50
="931845",生猪产业,2012-04-11,=0.0010,=1319.6700,=0.1184,=18.2277,=0.0992,=12.7881,=22.0541,=29.7577,=93.3149,=705.7713,=2.8701,=0.1416,=2.5125,=2.9500,=3.5524,=4.1528,=5.7536,=1.0946,=0.2436,=0.8594,=1.0459,=1.7066,=2.1723,=2.8287,=0.1031,=0.1440,=0.0983,=0.0301,=145
="399377",小盘价值,2010-01-04,=0.0080,=7754.0200,=0.1937,=18.2902,=0.7483,=9.8385,=13.2802,=15.1949,=20.9417,=37.4397,=1.3008,=0.6207,=0.8997,=1.0826,=1.2380,=1.9592,=2.5739,=0.7551,=0.5430,=0.4594,=0.5455,=0.7139,=1.4392,=1.8295,=0.0524,=0.0587,=0.0505,=0.0279,=617
="930050",中证A50,2024-01-02,=0.0033,=1805.8700,=0.1519,=18.4376,=0.9709,=13.9812,=15.6433,=17.1133,=17.8578,=19.9330,=2.2783,=0.9958,=1.7817,=1.9516,=2.0329,=2.1496,=2.3759,=1.5995,=1,=1.0165,=1.1136,=1.3264,=1.4185,=1.5995,=0.0910,,,=0.0282,=823
="399438",绿色电力,2014-12-30,=0.0055,=2044.3800,=0.0167,=18.6999,=0.4626,=12.1633,=15.7289,=18.8481,=22.0341,=41.2289,=1.7987,=0.5374,=1.2516,=1.5037,=1.7841,=1.9257,=2.3077,=2.0564,=0.8663,=1.1906,=1.4257,=1.7984,=2.0211,=3.6995,=0.0797,=0.0932,=0.0852,=0.0267,=140
="399997",中证白酒,2015-01-21,=-0.0076,=9018.1400,=-0.1371,=18.7678,=0.0576,=16.2418,=21.0552,=29.6859,=37.9949,=71.4432,=4.9613,=0.1568,=3.3534,=5.1894,=7.2626,=9.7697,=17.8607,=7.0298,=0.1486,=5.3793,=7.2740,=9.8324,=13.6274,=24.8964,=0.1983,=0.2889,=0.2266,=0.0401,=7371
="H30094",消费红利,2013-07-02,=-0.0050,=37691.1700,=0.0275,=18.7702,=0.0218,=16.2060,=22.0333,=27.7674,=33.4517,=59.6542,=4.2637,=0.1646,=3.1131,=4.3716,=5.3330,=6.7437,=11.0368,=4.3978,=0.5613,=1.6843,=3.1378,=4.2645,=5.3145,=8.4259,=0.1705,=0.2390,=0.1837,=0.0406,=1903
="930938",500成长估值,2018-12-04,=0.0058,=4672.0400,=0.3521,=18.8183,=0.7642,=9.4780,=12.9951,=16.6010,=19.2751,=30.3577,=2.0937,=0.4903,=1.4489,=1.8585,=2.0995,=2.3007,=3.6765,=1.2979,=0.6850,=0.6916,=0.8930,=1.1487,=1.6101,=2.2515,=0.1284,=0.0960,=0.1046,=0.0191,=65
="000912",300消费,2007-07-02,=-0.0027,=21101.4400,=-0.0709,=18.8224,=0.0346,=17.8291,=22.7823,=28.6626,=38.6910,=71.0374,=4.3927,=0.1374,=3.2073,=4.6625,=6.3954,=8.3226,=13.2137,=3.0336,=0.1288,=1.7377,=3.1962,=4.1887,=5.4980,=9.3193,=0.1773,=0.2374,=0.1883,=0.0389,=761
="000942",内地消费,2009-10-28,=0.0043,=10276.0300,=-0.0211,=18.8711,=0.2457,=14.4412,=18.5458,=21.7313,=33.3182,=52.6356,=3.1149,=0.1897,=2.5374,=3.1430,=3.6875,=5.0389,=7.7211,=1.6370,=0.3395,=1.1096,=1.4338,=1.7716,=2.5432,=4.1228,=0.1248,=0.1738,=0.1341,=0.0330,=734
="930939",500质量,2018-11-21,=0.0076,=21314.1800,=0.2958,=18.8941,=0.8311,=10.4098,=13.8626,=15.6968,=18.3301,=27.8330,=2.2120,=0.4887,=1.6614,=2.0540,=2.2172,=2.5162,=3.9191,=1.7745,=0.8282,=0.9583,=1.1874,=1.4009,=1.7335,=2.9319,=0.1065,=0.1207,=0.1002,=0.0200,=441
="399987",中证酒,2014-12-10,=-0.0073,=5133.6700,=-0.1347,=18.9705,=0.0354,=16.5000,=22.6612,=30.5124,=38.4918,=71.4257,=4.7033,=0.1626,=3.1820,=4.9052,=6.4674,=8.9806,=15.9495,=6.3401,=0.1737,=4.2224,=6.4439,=8.3092,=11.8297,=21.4371,=0.1911,=0.2666,=0.2129,=0.0393,=2649
="000911",300可选,2007-07-02,=0.0133,=6583.9200,=0.0330,=19.0077,=0.6086,=11.4175,=16.1444,=18.0124,=24.5347,=45.8432,=2.4114,=0.3136,=1.8544,=2.3220,=2.5730,=3.0333,=4.4626,=1.0776,=0.4235,=0.7162,=0.9681,=1.1059,=1.3329,=2.0518,=0.0949,=0.1332,=0.0988,=0.0271,=25
="931404",SHS品牌消费50,2020-02-20,=-0.0010,=2749.2000,=-0.0063,=19.2915,=0.2490,=15.2551,=18.6959,=22.0609,=31.4807,=52.1290,=4.2957,=0.0162,=4.0503,=4.6604,=5.4419,=7.5216,=13.2899,=3.6506,=0.3698,=2.1582,=3.1964,=4.2890,=6.6277,=12.0094,,=0.1937,,=0.0237,=117
="000932",中证消费,2009-07-03,=-0.0037,=15415.9700,=-0.0517,=19.3015,=0.0272,=18.5995,=24.6796,=29.2726,=38.6605,=67.7039,=4.0780,=0.1370,=3.2495,=4.2691,=5.3557,=7.0311,=11.1990,=2.8097,=0.1263,=1.7867,=2.9551,=3.5946,=4.6814,=7.7724,=0.1628,=0.2142,=0.1671,=0.0373,=11791
="399699",金融科技,2017-06-09,=0.0035,=4438.5800,=0.1455,=19.3445,=0.4760,=14.0983,=16.7684,=19.6153,=45.0833,=111.6316,=2.2993,=0.4915,=1.2665,=1.7929,=2.3213,=3.4412,=4.4660,=1.8094,=0.7024,=1.0709,=1.3588,=1.6243,=1.9265,=3.0519,=0.0983,=0.0990,=0.0926,=0.0176,=310
="930838",CS高股息,2016-06-08,=0.0012,=7221.5700,=0.1925,=19.7089,=0.6325,=10.7704,=14.2001,=17.6294,=22.6490,=29.5345,=3.5773,=0.8294,=1.8272,=2.3144,=2.7748,=3.2697,=5.4603,=3.4097,=0.7230,=1.6703,=2.0275,=2.4570,=3.7576,=5.1335,=0.1192,=0.1813,=0.1131,=0.0262,=163
="000990",全指消费,2011-08-02,=-0.0043,=12899.2600,=-0.0663,=19.7358,=0.0403,=18.6483,=25.7263,=30.9721,=39.0957,=75.7240,=4.0507,=0.1885,=3.2959,=4.0825,=4.9920,=6.2834,=9.6579,=2.8504,=0.2486,=1.7909,=2.7075,=3.3191,=4.0908,=6.6514,=0.1577,=0.2127,=0.1666,=0.0364,=3752
="931663",SHS消费龙头,2015-03-13,=-0.0010,=2062.6700,=0.0176,=19.8192,=0.1416,=14.4278,=21.0372,=26.7459,=37.0177,=57.5191,=3.4309,=0.2303,=2.6803,=3.3578,=4.3066,=6.1308,=13.5979,=2.2558,=0.3858,=1.3592,=1.7457,=2.3902,=3.4155,=7.5123,,=0.2271,,=0.0259,=186
="399286",区块链50,2019-12-24,=0.0044,=3977.3000,=0.1314,=20.0301,=0.3830,=13.8844,=17.9852,=21.0687,=29.0692,=40.1853,=2.1297,=0.4990,=1.4262,=1.8419,=2.1303,=2.7906,=3.6332,=1.9903,=0.6356,=1.3177,=1.5783,=1.8396,=2.0993,=2.8188,=0.0790,=0.0822,=0.0704,=0.0206,=150
="000931",中证可选,2009-07-03,=0.0071,=6148.4200,=0.0623,=20.0343,=0.4691,=12.9961,=17.9577,=20.2090,=26.0496,=47.1695,=2.4784,=0.4337,=1.6991,=2.1483,=2.5362,=2.8403,=3.7874,=1.1291,=0.4979,=0.7260,=0.9757,=1.1308,=1.2863,=1.9265,=0.0913,=0.1251,=0.0972,=0.0254,=832
="931000",大湾区,2017-07-19,=0.0016,=1787.0300,=0.2572,=20.0585,=0.9327,=11.8370,=14.3945,=16.1000,=18.4886,=23.4463,=2.0581,=0.4793,=1.3750,=1.7527,=2.0834,=2.5631,=3.2666,=1.5992,=0.5500,=1.1015,=1.3235,=1.5495,=1.8828,=2.5221,=0.0754,=0.0888,=0.0776,=0.0227,=10
="399372",大盘成长,2010-01-04,=0.0054,=5328.2800,=0.2956,=20.0859,=0.5070,=12.1826,=16.4654,=20.0114,=25.1884,=45.9159,=3.1618,=0.6099,=1.9139,=2.4754,=2.8851,=5.3647,=9.5601,=1.9492,=0.2288,=1.2183,=1.8038,=2.6215,=3.4476,=6.6651,=0.1126,=0.1532,=0.1034,=0.0227,=303
="932369",1000现金流,2024-11-12,=0.0015,=3733.8200,=0.1647,=20.1095,=1,=16.0705,=17.5183,=18.1968,=18.7241,=20.1095,=1.6938,=0.6218,=1.4419,=1.5455,=1.6506,=1.7545,=1.8728,=0.9684,=0.2800,=0.8034,=0.9005,=1.0385,=1.2521,=1.3230,=0.0753,,,=0.0247,=34
="000815",细分食品,2012-04-11,=-0.0063,=19132.3400,=-0.0975,=20.1942,=0.0617,=16.6089,=23.8593,=30.6622,=37.3716,=68.5596,=4.4815,=0.1058,=3.4278,=4.7363,=6.1907,=8.2612,=14.7926,=4.9272,=0.2128,=3.1822,=4.9036,=6.1091,=8.3442,=14.4971,=0.1755,=0.2370,=0.1934,=0.0379,=707
="000949",中证农业,2009-10-28,=0.0073,=5778.1400,=0.2283,=20.2009,=0.1477,=14.4444,=21.7545,=29.7174,=36.6395,=1184.8568,=2.7720,=0.2667,=2.0719,=2.5772,=3.3167,=4.0476,=5.2895,=1.4269,=0.2897,=0.8980,=1.1783,=1.7772,=2.0348,=2.8101,=0.0966,=0.1216,=0.0822,=0.0209,=962
="000910",300工业,2007-07-02,=0.0098,=2567.3300,=0.1851,=20.2596,=0.6646,=12.1074,=14.2261,=18.6698,=21.7661,=26.7473,=1.7675,=0.4844,=1.2960,=1.5014,=1.7877,=2.0943,=2.8598,=0.8260,=0.9021,=0.4726,=0.5805,=0.6965,=0.7947,=1.0995,=0.0583,=0.0772,=0.0612,=0.0218,=15
="H11136",中国互联网,2011-09-20,=0.0001,=5386.4004,=0.1994,=20.2711,=0.1832,=14.8968,=20.6345,=45.3752,=61.8208,=135.2726,=2.9297,=0.3072,=1.7418,=2.6246,=5.0446,=6.8631,=10.2054,=2.6778,=0.3326,=1.5169,=2.3234,=4.6669,=6.7348,=9.4922,,=0.1621,,=0.0087,=3249
="000807",食品饮料,2012-02-17,=-0.0055,=18669.6800,=-0.1010,=20.2730,=0.0675,=16.7498,=23.7404,=30.4090,=37.5911,=67.1514,=4.5542,=0.1206,=3.4900,=4.7744,=6.2568,=8.2527,=14.6770,=4.5267,=0.2091,=2.9373,=4.5083,=5.6626,=7.6728,=12.7454,=0.1790,=0.2405,=0.1957,=0.0384,=4155
="H30533",中国互联网50,2014-12-29,=-0.0004,=9452.7399,=0.2875,=20.3574,=0.1591,=14.9049,=21.1145,=43.0689,=59.5248,=137.0698,=2.9642,=0.2968,=1.7082,=2.6041,=4.9769,=6.7335,=9.7098,=2.6322,=0.3240,=1.4305,=2.2247,=4.6170,=6.5160,=9.1092,,=0.1609,,=0.0081,=6482
="930782",500SNLV,2016-02-04,=0.0047,=18871.6900,=0.1642,=20.4592,=0.5418,=13.0617,=17.6195,=20.0252,=26.0901,=34.7208,=1.7009,=0.7453,=1.0996,=1.3459,=1.4724,=2.0439,=2.7267,=1.2947,=0.7553,=0.5914,=0.8046,=0.8874,=1.6258,=2.0883,=0.0595,=0.0625,=0.0530,=0.0231,=1350
="930604",中国互联网30,2015-03-23,=0.0002,=10054.5435,=0.1896,=20.7918,=0.1889,=14.9187,=20.9417,=44.0786,=60.9288,=131.9396,=3.0154,=0.3053,=1.7582,=2.6625,=5.0771,=7.0938,=10.3841,=2.6376,=0.3230,=1.4482,=2.2440,=4.4108,=6.6582,=9.5870,,=0.1633,,=0.0079,=577
="931357",优选消费50,2019-11-15,=-0.0005,=3037.1900,=0.0088,=20.8489,=0.1893,=17.3402,=20.9573,=27.3300,=33.4939,=53.0529,=3.6108,=0.0911,=3.2984,=3.8073,=4.5041,=7.3052,=11.6208,=2.3205,=0.1512,=1.9672,=2.3752,=2.8231,=5.2927,=8.8232,,=0.1924,,=0.0201,=349
