指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0006,=12692.1571,=0.0881,=5.9068,=0.8206,=3.2016,=4.0318,=5.1283,=5.8554,=7.9938,=0.5572,=0.4505,=0.3790,=0.4536,=0.5712,=0.7188,=1.0569,=2.2510,=0.8873,=1.0856,=1.4241,=1.7243,=2.0373,=2.9053,,=0.0932,,=0.0518,=60
="H11146",港股通内地金融,2010-06-02,=-0.0014,=1098.5300,=0.2879,=6.3381,=0.6472,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6445,=0.4220,=0.3797,=0.4941,=0.6901,=0.8787,=1.1859,=1.6383,=0.8607,=0.6692,=0.9479,=1.2460,=1.5610,=2.1885,,=0.0965,,=0.0451,=25
="930792",HK银行,2016-04-22,=0.0009,=4367.9600,=0.3387,=6.9459,=0.8472,=3.2659,=4.4412,=5.7541,=6.6353,=9.5632,=0.6433,=0.5456,=0.3905,=0.4944,=0.6163,=0.8060,=1.0771,=2.5853,=0.9430,=1.0519,=1.5130,=1.8173,=2.2821,=3.1066,,=0.0966,,=0.0489,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0051,=4038.5300,=0.2531,=6.9923,=0.9354,=4.1647,=4.5789,=5.4525,=6.5869,=7.6037,=0.6646,=0.8252,=0.4381,=0.4886,=0.5764,=0.6591,=0.7227,=0.9371,=0.9433,=0.5323,=0.5875,=0.7186,=0.8821,=1.0190,,=0.1030,,=0.0580,=157
="931233",港股通央企红利,2017-06-28,=-0.0026,=1172.7900,=0.1869,=7.1003,=0.7172,=3.6988,=4.9297,=6.2344,=7.4146,=14.0775,=0.6812,=0.6063,=0.3929,=0.5204,=0.6339,=0.8725,=1.8161,=0.9774,=0.5632,=0.4645,=0.6146,=0.9231,=1.4033,=1.7583,,=0.0974,,=0.0561,=303
="987016",港股通红利低波,2021-11-18,,,=0.2120,=7.1149,=0.9668,=3.4544,=4.2684,=4.7589,=5.8038,=7.7483,=0.6632,=0.8995,=0.4152,=0.4826,=0.5310,=0.5997,=0.7226,=1.1682,=0.9658,=0.5827,=0.6535,=0.7739,=0.8963,=1.2728,,=0.0954,,=0.0587,=35
="399986",中证银行,2013-07-15,=-0.0018,=7555.3100,=0.0612,=7.1741,=0.8781,=4.1183,=5.2645,=6.1828,=6.7854,=9.0846,=0.7016,=0.4096,=0.4848,=0.5838,=0.7309,=0.9106,=1.2416,=2.7343,=0.9399,=1.4134,=1.7845,=2.1074,=2.4191,=3.3016,=0.0685,=0.0932,=0.0729,=0.0418,=9240
="H30106",H300金融服务,2013-05-21,=0.0022,=1521.7700,=0.3766,=7.3376,=0.6594,=4.0175,=5.3627,=6.7617,=7.7687,=11.1922,=0.7684,=0.5273,=0.4470,=0.5779,=0.7487,=0.9094,=1.2489,=2.0515,=0.9360,=0.8557,=1.1817,=1.4425,=1.7879,=2.3593,,=0.1022,,=0.0434,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0015,=2809.2900,=0.2411,=7.3524,=0.9622,=3.7550,=5.0288,=5.7263,=6.5567,=7.8564,=0.7490,=0.8826,=0.4590,=0.5758,=0.6337,=0.7098,=0.8175,=1.1303,=0.9801,=0.5101,=0.6856,=0.7853,=0.8806,=1.2090,,=0.1015,,=0.0532,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0010,=4519.1700,=0.2033,=7.4445,=0.8616,=3.5572,=4.6186,=5.9014,=6.9982,=9.5068,=0.6602,=0.6285,=0.3828,=0.4838,=0.5690,=0.8224,=1.1073,=0.9939,=0.6196,=0.4386,=0.6400,=0.8311,=1.4432,=2.0623,,=0.0870,,=0.0586,=1229
