指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0132,=12272.7796,=-0.0409,=5.8733,=0.8015,=3.2016,=4.0368,=5.1332,=5.8687,=7.9938,=0.5550,=0.4418,=0.3790,=0.4541,=0.5697,=0.7182,=1.0569,=2.2382,=0.8764,=1.0856,=1.4247,=1.7277,=2.0493,=2.9053,,=0.0932,,=0.0540,=62
="H11146",港股通内地金融,2010-06-02,=-0.0043,=1123.9026,=0.0181,=6.4209,=0.6825,=3.2759,=4.5181,=5.7952,=6.7473,=9.2347,=0.6529,=0.4354,=0.3797,=0.4941,=0.6875,=0.8770,=1.1859,=1.6597,=0.8757,=0.6692,=0.9479,=1.2470,=1.5679,=2.1885,,=0.0965,,=0.0462,=26
="399986",中证银行,2013-07-15,=-0.0145,=7228.4400,=-0.0493,=6.8909,=0.8234,=4.1183,=5.2645,=6.1895,=6.8042,=9.0846,=0.6753,=0.3648,=0.4848,=0.5838,=0.7292,=0.9084,=1.2416,=2.6264,=0.8913,=1.4134,=1.7845,=2.1076,=2.4248,=3.3016,=0.0685,=0.0932,=0.0729,=0.0451,=9277
="930792",HK银行,2016-04-22,=-0.0028,=4426.9291,=0.0028,=7.0013,=0.8560,=3.2659,=4.4426,=5.7649,=6.6640,=9.5632,=0.6485,=0.5550,=0.3905,=0.4947,=0.6190,=0.8043,=1.0771,=2.6059,=0.9513,=1.0519,=1.5136,=1.8201,=2.2921,=3.1066,,=0.0966,,=0.0505,=722
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0057,=4132.5500,=0.0278,=7.0901,=0.9522,=4.1647,=4.5841,=5.4704,=6.6927,=7.6037,=0.6739,=0.8505,=0.4381,=0.4889,=0.5769,=0.6634,=0.7227,=0.9502,=0.9522,=0.5323,=0.5895,=0.7211,=0.8925,=1.0190,,=0.1030,,=0.0572,=165
="931233",港股通央企红利,2017-06-28,=-0.0067,=1175.4346,=0.0047,=7.1325,=0.7300,=3.6988,=4.9299,=6.2444,=7.4093,=14.0775,=0.6843,=0.6107,=0.3929,=0.5207,=0.6349,=0.8715,=1.8161,=0.9818,=0.5638,=0.4645,=0.6161,=0.9268,=1.4025,=1.7583,,=0.0974,,=0.0572,=323
="987016",港股通红利低波,2021-11-18,,,=0.0124,=7.2148,=0.9683,=3.4544,=4.2724,=4.7969,=5.9449,=7.7483,=0.6725,=0.9119,=0.4152,=0.4828,=0.5321,=0.6064,=0.7226,=1.1846,=0.9683,=0.5827,=0.6550,=0.7761,=0.9159,=1.2728,,=0.0954,,=0.0580,=52
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0046,=2836.9600,=0.0195,=7.4504,=0.9777,=3.7550,=5.0304,=5.7430,=6.5784,=7.8564,=0.7590,=0.9186,=0.4590,=0.5760,=0.6343,=0.7142,=0.8175,=1.1453,=0.9809,=0.5101,=0.6859,=0.7868,=0.8842,=1.2090,,=0.1015,,=0.0537,=249
="H30106",H300金融服务,2013-05-21,=-0.0042,=1564.1472,=0.0311,=7.4642,=0.7019,=4.0175,=5.3627,=6.8075,=7.7687,=11.1922,=0.7817,=0.5504,=0.4470,=0.5779,=0.7487,=0.9081,=1.2489,=2.0869,=0.9490,=0.8557,=1.1817,=1.4441,=1.7964,=2.3593,,=0.1022,,=0.0441,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0003,=4576.4700,=0.0243,=7.4838,=0.8630,=3.5572,=4.6200,=5.9072,=7.0247,=9.5068,=0.6634,=0.6328,=0.3828,=0.4838,=0.5711,=0.8213,=1.1073,=0.9942,=0.6174,=0.4386,=0.6423,=0.8339,=1.4404,=2.0623,,=0.0870,,=0.0579,=1263
