指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0047,=12252.4400,=-0.0416,=5.8381,=0.7880,=3.2016,=4.0368,=5.1335,=5.8687,=7.9938,=0.5517,=0.4332,=0.3790,=0.4541,=0.5697,=0.7182,=1.0569,=2.2248,=0.8702,=1.0856,=1.4247,=1.7285,=2.0506,=2.9053,,=0.0932,,=0.0544,=62
="H11146",港股通内地金融,2010-06-02,=0.0052,=1123.2871,=0.0205,=6.3987,=0.6718,=3.2759,=4.5181,=5.7975,=6.7473,=9.2347,=0.6507,=0.4311,=0.3797,=0.4941,=0.6873,=0.8770,=1.1859,=1.6539,=0.8691,=0.6692,=0.9479,=1.2473,=1.5692,=2.1885,,=0.0965,,=0.0464,=26
="399986",中证银行,2013-07-15,=0.0076,=7241.9400,=-0.0475,=6.8992,=0.8245,=4.1183,=5.2645,=6.1907,=6.8062,=9.0846,=0.6761,=0.3707,=0.4848,=0.5838,=0.7288,=0.9082,=1.2416,=2.6295,=0.8917,=1.4134,=1.7845,=2.1079,=2.4258,=3.3016,=0.0685,=0.0932,=0.0729,=0.0450,=9289
="930792",HK银行,2016-04-22,=-0.0005,=4395.4500,=-0.0021,=6.9437,=0.8428,=3.2659,=4.4431,=5.7670,=6.6663,=9.5632,=0.6431,=0.5433,=0.3905,=0.4947,=0.6194,=0.8042,=1.0771,=2.5845,=0.9372,=1.0519,=1.5140,=1.8211,=2.2935,=3.1066,,=0.0966,,=0.0509,=724
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0034,=4138.2000,=0.0292,=7.0528,=0.9401,=4.1647,=4.5841,=5.4731,=6.7018,=7.6037,=0.6703,=0.8341,=0.4381,=0.4889,=0.5771,=0.6640,=0.7227,=0.9452,=0.9401,=0.5323,=0.5895,=0.7212,=0.8931,=1.0190,,=0.1030,,=0.0575,=167
="931233",港股通央企红利,2017-06-28,=0.0059,=1179.4700,=0.0117,=7.0927,=0.7111,=3.6988,=4.9313,=6.2454,=7.4065,=14.0775,=0.6804,=0.6015,=0.3929,=0.5208,=0.6356,=0.8709,=1.8161,=0.9763,=0.5596,=0.4645,=0.6162,=0.9268,=1.4023,=1.7583,,=0.0974,,=0.0575,=327
="987016",港股通红利低波,2021-11-18,,,=-0.0007,=7.1795,=0.9625,=3.4544,=4.2724,=4.7970,=5.9584,=7.7483,=0.6692,=0.9032,=0.4152,=0.4828,=0.5323,=0.6067,=0.7226,=1.1788,=0.9615,=0.5827,=0.6550,=0.7764,=0.9191,=1.2728,,=0.0954,,=0.0582,=54
="H30106",H300金融服务,2013-05-21,=0.0030,=1556.7081,=0.0287,=7.4318,=0.6872,=4.0175,=5.3627,=6.8205,=7.7687,=11.1922,=0.7783,=0.5466,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0778,=0.9441,=0.8557,=1.1817,=1.4449,=1.7967,=2.3593,,=0.1022,,=0.0443,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0066,=2852.1400,=0.0249,=7.4368,=0.9740,=3.7550,=5.0304,=5.7447,=6.5822,=7.8564,=0.7576,=0.9111,=0.4590,=0.5760,=0.6344,=0.7151,=0.8175,=1.1432,=0.9790,=0.5101,=0.6859,=0.7869,=0.8844,=1.2090,,=0.1015,,=0.0538,=249
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0074,=4603.4200,=0.0303,=7.4547,=0.8580,=3.5572,=4.6210,=5.9075,=7.0269,=9.5068,=0.6608,=0.6262,=0.3828,=0.4838,=0.5711,=0.8209,=1.1073,=0.9903,=0.6122,=0.4386,=0.6424,=0.8340,=1.4383,=2.0623,,=0.0870,,=0.0581,=1273
