指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="399973",中证国防,2014-04-15,=-0.0231,=1983.3500,=0.0664,=87.6762,=0.9102,=28.8580,=43.6064,=54.2178,=73.3491,=128.0492,=4.2715,=0.6017,=2.3880,=3.0107,=3.5812,=5.0076,=7.7047,=4.3350,=0.7179,=1.9566,=2.7383,=3.9002,=4.5557,=7.1179,=0.0404,=0.0577,=0.0452,=0.0054,=612
="399368",国证军工,2009-11-04,=-0.0191,=8763,=0.0282,=92.4432,=0.9769,=38.1822,=54.3024,=63.7422,=78.2169,=107.0849,=3.7934,=0.9032,=2.0244,=2.5864,=3.0417,=3.5728,=4.3940,=4.1449,=0.9250,=1.8459,=2.5717,=3.1432,=3.6477,=4.8014,=0.0368,=0.0429,=0.0336,=0.0045,=3
="931480",线上消费,2020-05-06,=-0.0369,=958.4200,=0.1395,=94.0265,=0.7615,=33.5813,=47.2976,=63.8710,=97.5424,=132.5169,=4.0808,=0.9019,=1.9483,=2.4817,=3.0635,=3.6976,=5.0305,=4.3248,=0.9893,=1.1811,=1.4977,=1.7906,=2.6377,=4.8094,=0.0466,=0.0165,=0.0303,=0.0075,=70
="931743",半导体材料设备,2012-12-21,=-0.0512,=5858.4900,=0.1378,=96.6943,=0.9722,=30.1973,=38.8922,=56.6442,=67.1608,=109.0171,=7.6028,=0.9722,=2.5588,=3.3009,=4.0978,=5.3187,=8.5717,=12.1150,=0.9722,=2.5903,=3.1019,=3.7032,=8.2547,=13.6589,=0.0475,=0.0211,=0.0192,=0.0018,=149
="970070",创业板人工智能,2024-07-11,=-0.0376,=6651.5400,=0.1218,=97.2913,=0.8500,=48.3861,=69.6758,=77.9716,=92.4801,=119.1606,=10.1249,=0.9816,=3.3467,=4.9038,=5.7063,=8.3926,=10.5286,=9.3724,=0.9816,=3.4016,=4.7917,=5.5873,=7.7357,=9.7461,=0.0931,,,=0.0033,=145
="932088",全指航空,2023-03-23,=-0.0160,=914.3600,=0.0415,=101.2834,=0.9698,=36.9197,=46.7113,=64.9991,=86.2216,=116.5746,=4.3225,=0.9727,=2.3948,=2.9971,=3.3270,=3.7622,=4.9751,=4.2882,=0.9007,=2.2988,=2.8668,=3.5548,=4.0191,=4.9356,=0.0362,=0.0506,=0.0419,=0.0054,=22
="930851",云计算,2016-07-20,=-0.0282,=7081.1300,=0.0923,=101.6115,=0.8361,=37.0632,=52.3257,=66.1709,=96.0308,=313.0672,=7.7949,=0.9941,=2.7148,=3.5844,=4.2351,=5.2401,=8.2817,=5.1496,=0.9919,=1.6839,=2.4075,=3.0903,=3.6568,=5.4716,=0.0652,=0.0442,=0.0311,=0.0029,=425
="000858",500信息,2013-11-06,=-0.0520,=11391.0900,=0.0809,=104.0510,=0.9460,=25.3805,=44.0237,=64.2693,=85.8832,=209.3531,=5.4337,=0.9926,=2.1626,=2.9042,=3.3887,=3.9462,=5.9859,=5.4395,=0.9934,=1.1229,=1.9078,=2.6749,=3.4794,=5.9923,=0.0441,=0.0313,=0.0277,=0.0033,=348
="399019",创业200,2023-11-15,=-0.0311,=4711.6000,=0.0364,=108.8502,=0.7519,=45.1604,=58.4001,=81.2527,=110.7664,=137.0675,=3.9053,=0.9288,=1.8905,=2.3961,=3.0620,=3.7179,=4.2432,=3.6609,=0.9635,=1.7802,=2.2506,=2.6979,=3.1967,=3.9712,=0.0446,=0.0299,=0.0358,=0.0064,=80
="399967",中证军工,2013-12-26,=-0.0192,=14499.6100,=0.0349,=119.1719,=0.8884,=41.8350,=54.9010,=65.1970,=99.0178,=233.4141,=4.1041,=0.8979,=2.0425,=2.6006,=3.1814,=3.8872,=4.8699,=4.2547,=0.8752,=2.0545,=2.7148,=3.0872,=3.9813,=5.8225,=0.0383,=0.0354,=0.0328,=0.0041,=5814
