指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0034,=12187.7183,=-0.0466,=5.9007,=0.8083,=3.2016,=4.0485,=5.1610,=5.8838,=7.9938,=0.5583,=0.4560,=0.3790,=0.4547,=0.5680,=0.7168,=1.0569,=2.2487,=0.8765,=1.0856,=1.4265,=1.7333,=2.0725,=2.9053,,=0.0932,,=0.0538,=71
="H11146",港股通内地金融,2010-06-02,=-0.0199,=1124.0040,=0.0212,=6.4100,=0.6682,=3.2759,=4.5181,=5.8388,=6.7473,=9.2347,=0.6518,=0.4348,=0.3797,=0.4941,=0.6846,=0.8770,=1.1859,=1.6568,=0.8639,=0.6692,=0.9479,=1.2577,=1.5805,=2.1885,,=0.0965,,=0.0463,=29
="399986",中证银行,2013-07-15,=-0.0021,=7052.3400,=-0.0724,=6.5509,=0.6720,=4.1183,=5.2599,=6.2123,=6.8066,=9.0846,=0.6427,=0.2979,=0.4848,=0.5836,=0.7267,=0.9081,=1.2416,=2.4968,=0.8269,=1.4134,=1.7842,=2.1131,=2.4375,=3.3016,=0.0685,=0.0932,=0.0729,=0.0474,=9376
="399809",保险主题,2015-02-13,=-0.0218,=2562.0900,=-0.0397,=7.1289,=0.2583,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8025,=0.2802,=0.6352,=0.7667,=1.2304,=1.4858,=1.9794,=2.0954,=0.9295,=0.5239,=0.8688,=1.0960,=1.3604,=2.3772,=0.0826,=0.0985,=0.0781,=0.0407,=1445
="930792",HK银行,2016-04-22,=0.0002,=4611.2850,=0.0469,=7.1413,=0.8810,=3.2659,=4.4492,=5.7731,=6.7002,=9.5632,=0.6612,=0.5828,=0.3905,=0.4957,=0.6217,=0.8034,=1.0771,=2.6619,=0.9679,=1.0519,=1.5147,=1.8294,=2.3117,=3.1066,,=0.0966,,=0.0537,=736
="000018",180金融,2007-12-10,=-0.0090,=5511.1900,=-0.0723,=7.2156,=0.3976,=5.2016,=6.4273,=7.4960,=8.3012,=10.8609,=0.7693,=0.2839,=0.5902,=0.6965,=0.8972,=1.0757,=1.4199,=2.1874,=0.8039,=1.2355,=1.5824,=1.9214,=2.1796,=2.8772,=0.0783,=0.0991,=0.0776,=0.0406,=759
="000818",细分金融,2012-04-11,=-0.0086,=6895.4600,=-0.0661,=7.3610,=0.3923,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7843,=0.2835,=0.5930,=0.7010,=0.9142,=1.1017,=1.4303,=2.2475,=0.8072,=1.2689,=1.6354,=1.9707,=2.2318,=2.9111,=0.0780,=0.0967,=0.0768,=0.0396,=5
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0088,=4470.5700,=0.1119,=7.3690,=0.9748,=4.1647,=4.6022,=5.5335,=6.7918,=7.6037,=0.7004,=0.9437,=0.4381,=0.4910,=0.5797,=0.6692,=0.7227,=0.9880,=0.9748,=0.5323,=0.5901,=0.7245,=0.9045,=1.0190,,=0.0921,,=0.0551,=189
="931233",港股通央企红利,2017-06-28,=-0.0089,=1259.8140,=0.0806,=7.3897,=0.7934,=3.6988,=4.9340,=6.2626,=7.4155,=14.0775,=0.7089,=0.6535,=0.3929,=0.5213,=0.6394,=0.8691,=1.8161,=1.0176,=0.5855,=0.4645,=0.6179,=0.9336,=1.3992,=1.7583,,=0.0974,,=0.0552,=366
="H30106",H300金融服务,2013-05-21,=-0.0075,=1597.9271,=0.0560,=7.4951,=0.7111,=4.0175,=5.3653,=6.8650,=7.7687,=11.1922,=0.7853,=0.5588,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0943,=0.9445,=0.8557,=1.1817,=1.4507,=1.8262,=2.3593,,=0.1022,,=0.0466,=17
