指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0026,=12448.8300,=-0.0262,=5.9766,=0.8435,=3.2016,=4.0428,=5.1535,=5.8733,=7.9938,=0.5652,=0.4908,=0.3790,=0.4545,=0.5687,=0.7179,=1.0569,=2.2776,=0.9005,=1.0856,=1.4264,=1.7299,=2.0596,=2.9053,,=0.0932,,=0.0531,=63
="H11146",港股通内地金融,2010-06-02,=-0.0040,=1144.9000,=0.0402,=6.5322,=0.7290,=3.2759,=4.5181,=5.8157,=6.7473,=9.2347,=0.6642,=0.4613,=0.3797,=0.4941,=0.6857,=0.8770,=1.1859,=1.6884,=0.9040,=0.6692,=0.9479,=1.2512,=1.5766,=2.1885,,=0.0965,,=0.0454,=27
="399986",中证银行,2013-07-15,=-0.0060,=7212.2000,=-0.0514,=6.7375,=0.7744,=4.1183,=5.2645,=6.2044,=6.8062,=9.0846,=0.6610,=0.3372,=0.4848,=0.5838,=0.7275,=0.9081,=1.2416,=2.5679,=0.8608,=1.4134,=1.7845,=2.1106,=2.4339,=3.3016,=0.0685,=0.0932,=0.0729,=0.0461,=9336
="930792",HK银行,2016-04-22,=-0.0036,=4555.6400,=0.0343,=7.0966,=0.8751,=3.2659,=4.4448,=5.7698,=6.6852,=9.5632,=0.6571,=0.5747,=0.3905,=0.4950,=0.6208,=0.8040,=1.0771,=2.6452,=0.9644,=1.0519,=1.5141,=1.8266,=2.3050,=3.1066,,=0.0966,,=0.0493,=728
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0022,=4316.3300,=0.0735,=7.3454,=0.9774,=4.1647,=4.5995,=5.4992,=6.7407,=7.6037,=0.6981,=0.9367,=0.4381,=0.4906,=0.5789,=0.6661,=0.7227,=0.9848,=0.9774,=0.5323,=0.5898,=0.7230,=0.8989,=1.0190,,=0.1030,,=0.0552,=179
="931233",港股通央企红利,2017-06-28,=-0.0010,=1219.9000,=0.0464,=7.3721,=0.7910,=3.6988,=4.9320,=6.2556,=7.4065,=14.0775,=0.7072,=0.6531,=0.3929,=0.5212,=0.6375,=0.8699,=1.8161,=1.0152,=0.5848,=0.4645,=0.6174,=0.9307,=1.4009,=1.7583,,=0.0974,,=0.0553,=348
="399809",保险主题,2015-02-13,=-0.0039,=2716.7500,=0.0183,=7.3930,=0.3001,=5.4537,=6.8119,=10.6422,=15.0228,=22.8725,=0.8322,=0.3096,=0.6352,=0.7669,=1.2298,=1.4853,=1.9794,=2.1729,=0.9424,=0.5239,=0.8689,=1.0949,=1.3536,=2.3772,=0.0826,=0.0985,=0.0781,=0.0393,=1432
="000018",180金融,2007-12-10,=-0.0062,=5683.8200,=-0.0432,=7.4591,=0.4862,=5.2016,=6.4237,=7.4925,=8.3000,=10.8609,=0.7951,=0.3565,=0.5902,=0.6966,=0.9005,=1.0756,=1.4199,=2.2612,=0.8493,=1.2355,=1.5826,=1.9165,=2.1734,=2.8772,=0.0787,=0.0991,=0.0776,=0.0393,=758
="987016",港股通红利低波,2021-11-18,,,=0.0712,=7.4978,=0.9883,=3.4544,=4.2751,=4.8231,=5.9952,=7.7483,=0.6990,=0.9766,=0.4152,=0.4832,=0.5333,=0.6122,=0.7226,=1.2311,=0.9883,=0.5827,=0.6554,=0.7804,=0.9298,=1.2728,,=0.0954,,=0.0558,=67
="H30106",H300金融服务,2013-05-21,=-0.0156,=1585.2100,=0.0476,=7.5257,=0.7278,=4.0175,=5.3627,=6.8435,=7.7687,=11.1922,=0.7885,=0.5642,=0.4470,=0.5779,=0.7487,=0.9081,=1.2489,=2.1028,=0.9514,=0.8557,=1.1817,=1.4480,=1.8047,=2.3593,,=0.1022,,=0.0433,=15
