指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0027,=12699.4548,=0.0887,=5.9072,=0.8210,=3.2016,=4.0318,=5.1282,=5.8544,=7.9938,=0.5572,=0.4507,=0.3790,=0.4536,=0.5713,=0.7188,=1.0569,=2.2511,=0.8877,=1.0856,=1.4241,=1.7238,=2.0367,=2.9053,,=0.0932,,=0.0518,=60
="H11146",港股通内地金融,2010-06-02,=-0.0014,=1098.5346,=0.2879,=6.3381,=0.6472,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6445,=0.4220,=0.3797,=0.4941,=0.6901,=0.8787,=1.1859,=1.6383,=0.8607,=0.6692,=0.9479,=1.2460,=1.5610,=2.1885,,=0.0965,,=0.0451,=25
="930792",HK银行,2016-04-22,=0.0009,=4367.9606,=0.3387,=6.9459,=0.8472,=3.2659,=4.4412,=5.7541,=6.6353,=9.5632,=0.6433,=0.5456,=0.3905,=0.4944,=0.6163,=0.8060,=1.0771,=2.5853,=0.9430,=1.0519,=1.5130,=1.8173,=2.2821,=3.1066,,=0.0966,,=0.0489,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0051,=4038.5300,=0.2531,=6.9923,=0.9354,=4.1647,=4.5789,=5.4525,=6.5869,=7.6037,=0.6646,=0.8252,=0.4381,=0.4886,=0.5764,=0.6591,=0.7227,=0.9371,=0.9433,=0.5323,=0.5875,=0.7186,=0.8821,=1.0190,,=0.1030,,=0.0580,=158
="931233",港股通央企红利,2017-06-28,=-0.0026,=1172.7910,=0.1869,=7.1003,=0.7172,=3.6988,=4.9297,=6.2344,=7.4146,=14.0775,=0.6812,=0.6063,=0.3929,=0.5204,=0.6339,=0.8725,=1.8161,=0.9774,=0.5632,=0.4645,=0.6146,=0.9231,=1.4033,=1.7583,,=0.0974,,=0.0561,=302
="987016",港股通红利低波,2021-11-18,,,=0.2143,=7.1148,=0.9668,=3.4544,=4.2684,=4.7578,=5.7961,=7.7483,=0.6632,=0.8994,=0.4152,=0.4826,=0.5310,=0.5992,=0.7226,=1.1682,=0.9658,=0.5827,=0.6535,=0.7736,=0.8961,=1.2728,,=0.0954,,=0.0587,=35
="399986",中证银行,2013-07-15,=-0.0030,=7569.2700,=0.0632,=7.1950,=0.8868,=4.1183,=5.2645,=6.1828,=6.7854,=9.0846,=0.7032,=0.4133,=0.4848,=0.5838,=0.7310,=0.9110,=1.2416,=2.7423,=0.9448,=1.4134,=1.7845,=2.1074,=2.4176,=3.3016,=0.0685,=0.0932,=0.0729,=0.0417,=9238
="H30106",H300金融服务,2013-05-21,=0.0022,=1521.7740,=0.3766,=7.3376,=0.6594,=4.0175,=5.3627,=6.7617,=7.7687,=11.1922,=0.7684,=0.5273,=0.4470,=0.5779,=0.7487,=0.9094,=1.2489,=2.0515,=0.9360,=0.8557,=1.1817,=1.4425,=1.7879,=2.3593,,=0.1022,,=0.0434,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0015,=2809.2900,=0.2411,=7.3524,=0.9622,=3.7550,=5.0288,=5.7263,=6.5567,=7.8564,=0.7490,=0.8826,=0.4590,=0.5758,=0.6337,=0.7098,=0.8175,=1.1303,=0.9801,=0.5101,=0.6856,=0.7853,=0.8806,=1.2090,,=0.1015,,=0.0532,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0010,=4519.1700,=0.2033,=7.4445,=0.8616,=3.5572,=4.6186,=5.9014,=6.9982,=9.5068,=0.6602,=0.6285,=0.3828,=0.4838,=0.5690,=0.8224,=1.1073,=0.9939,=0.6196,=0.4386,=0.6400,=0.8311,=1.4432,=2.0623,,=0.0870,,=0.0586,=1225
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0017,=1288.0200,=0.2991,=7.5922,=0.7978,=3.6777,=4.8617,=6.5437,=7.5957,=10.6953,=0.7088,=0.5542,=0.4041,=0.5047,=0.6486,=0.9071,=1.1746,=1.1203,=0.5696,=0.5013,=0.7009,=1.0571,=1.4996,=1.9871,,=0.0974,,=0.0582,=862
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0007,=2504.4800,=0.2150,=7.6015,=0.9657,=3.8979,=4.9331,=5.7512,=7.0161,=8.1550,=0.6875,=0.8695,=0.4277,=0.5140,=0.5700,=0.6583,=0.8197,=1.1707,=0.9222,=0.5333,=0.6917,=0.8597,=1.0886,=1.3442,,=0.0939,,=0.0560,=430
="930914",港股通高股息,2016-11-25,=-0.0043,=4936.9443,=0.1634,=7.7104,=0.8161,=3.4280,=4.3883,=5.8090,=7.5896,=11.1979,=0.7294,=0.6759,=0.3979,=0.4987,=0.6038,=0.8599,=1.1764,=1.2008,=0.7929,=0.5144,=0.6880,=0.9121,=1.2174,=2.2126,,=0.1031,,=0.0575,=542
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0011,=3590.3100,=0.2400,=7.7396,=0.9305,=4.9972,=5.5012,=5.9458,=6.9413,=8.3212,=0.7468,=0.8924,=0.5264,=0.5849,=0.6228,=0.7024,=0.8025,=0.8869,=0.9550,=0.5404,=0.5902,=0.6507,=0.7748,=0.9532,,=0.0979,,=0.0526,=97
="399809",保险主题,2015-02-13,=-0.0073,=2681.6300,=0.2115,=7.8154,=0.3178,=5.4537,=6.8119,=10.6859,=15.0228,=22.8725,=0.8778,=0.3359,=0.6352,=0.7669,=1.2351,=1.4853,=1.9794,=2.2971,=0.9765,=0.5239,=0.8689,=1.0929,=1.3106,=2.3772,=0.0826,=0.0985,=0.0781,=0.0357,=1401
="932596",港股通红利低波,2016-02-04,,,=0.2074,=7.8265,=0.4328,=7.4451,=7.5585,=7.9650,=8.3006,=8.5745,=0.7124,=0.9104,=0.6528,=0.6628,=0.6969,=0.7085,=0.7309,=1.2779,=0.4328,=1.2161,=1.2346,=1.3016,=1.3648,=1.4099,,,,=0.0543,=26
="000018",180金融,2007-12-10,=-0.0021,=5933.4400,=0.0956,=7.8588,=0.6447,=5.2016,=6.4226,=7.4770,=8.3000,=10.8609,=0.8348,=0.4002,=0.5902,=0.6966,=0.9202,=1.0789,=1.4199,=2.3823,=0.9033,=1.2355,=1.5826,=1.9106,=2.1576,=2.8772,=0.0787,=0.0991,=0.0776,=0.0362,=754
="H30270",红利价值,2013-12-19,=0.0016,=9515.7445,=0.0040,=7.9033,=0.7659,=4.4543,=5.4034,=6.7030,=8.8590,=13.0955,=0.8213,=0.6436,=0.5256,=0.6466,=0.7534,=1.2674,=1.7317,=1.5942,=0.9991,=0.5854,=0.8033,=0.9864,=1.2245,=1.5998,=0.0710,=0.0973,=0.0746,=0.0421,=123
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0012,=4689.8100,=0.2914,=7.9790,=0.9480,=4.2457,=4.6734,=5.6103,=7.2836,=8.5630,=0.7319,=0.8945,=0.4429,=0.4935,=0.5693,=0.7000,=0.7859,=1.0340,=0.9228,=0.6036,=0.6668,=0.8584,=0.9749,=1.1099,,=0.0975,,=0.0612,=60
="000818",细分金融,2012-04-11,,,=0.0890,=7.9862,=0.6147,=5.2356,=6.4985,=7.6687,=8.4792,=10.9951,=0.8479,=0.3940,=0.5930,=0.7010,=0.9354,=1.1053,=1.4303,=2.4384,=0.9016,=1.2689,=1.6360,=1.9651,=2.2130,=2.9111,=0.0780,=0.0967,=0.0768,=0.0354,=4
="931157",SHS红利成长LV,2019-04-25,=0.0007,=7493.7138,=0.0869,=8.0286,=0.7231,=4.1261,=5.5436,=6.8123,=8.3758,=11.5318,=0.8170,=0.5485,=0.5154,=0.6205,=0.8005,=0.9385,=1.5888,=1.5857,=0.9994,=0.5018,=0.6990,=0.9780,=1.3278,=1.5884,,=0.1050,,=0.0482,=210
="000914",300金融,2007-07-02,=-0.0013,=6717.3900,=0.0755,=8.2790,=0.6653,=5.2769,=6.6035,=7.7824,=8.6017,=11.3863,=0.8437,=0.3853,=0.5962,=0.7048,=0.9570,=1.1474,=1.4919,=2.2775,=0.9131,=1.1210,=1.4313,=1.8124,=2.0450,=2.7052,=0.0752,=0.0912,=0.0734,=0.0351,=333
="000151",上国红利,2012-07-20,=0.0018,=1529.2600,=-0.0552,=8.3472,=0.9522,=4.5075,=5.3671,=6.8302,=7.5088,=10.0345,=0.7875,=0.5406,=0.5268,=0.6196,=0.7569,=0.9718,=1.3272,=1.0650,=0.4438,=0.6026,=0.8954,=1.1298,=1.3139,=1.6854,=0.0643,=0.0941,=0.0692,=0.0512,=157
="000029",180价值,2009-01-09,=-0.0021,=4443.6800,=0.0578,=8.3720,=0.7670,=5.6894,=6.9094,=7.8633,=8.4884,=10.8138,=0.8446,=0.3734,=0.6666,=0.8069,=0.8726,=1.0704,=1.4433,=1.0895,=0.8777,=0.6198,=0.7826,=0.9443,=1.0563,=1.4032,=0.0706,=0.0955,=0.0778,=0.0419,=547
="H30269",红利低波,2013-12-19,=0.0010,=11255.4488,=0.0058,=8.4020,=0.7818,=4.5638,=5.5488,=6.7471,=9.4763,=14.4342,=0.8795,=0.5895,=0.5386,=0.6570,=0.8018,=1.3862,=1.9670,=1.6252,=0.9971,=0.6111,=0.8850,=1.0985,=1.4088,=1.6796,=0.0719,=0.1026,=0.0729,=0.0427,=3112
="931024",港股通非银,2017-11-06,=0.0023,=4391.5049,=0.5110,=8.4131,=0.1468,=6.7549,=8.8670,=11.5230,=13.4108,=22.4310,=1.2086,=0.7805,=0.6237,=0.8430,=1.0372,=1.2203,=1.7592,=1.4232,=0.9592,=0.5870,=0.8701,=0.9995,=1.1799,=2.2002,,=0.1307,,=0.0304,=145
="H50040",上红低波,2014-03-21,=0.0013,=11039.1021,=0.0318,=8.4223,=0.7909,=4.6938,=5.9513,=6.9471,=9.6317,=14.3118,=0.8698,=0.5673,=0.5647,=0.6911,=0.8389,=1.3563,=1.8756,=1.6399,=0.9992,=0.6380,=0.8693,=1.2019,=1.3864,=1.6452,=0.0726,=0.1018,=0.0748,=0.0422,=303
="000922",中证红利,2008-05-26,=0.0024,=5472.2364,=-0.0196,=8.4326,=0.7839,=5.1762,=6.0261,=7.6528,=8.5504,=11.2156,=0.8536,=0.4763,=0.5911,=0.7113,=0.8730,=1.1135,=1.4999,=1.2585,=0.8724,=0.6332,=0.7731,=1.0381,=1.1957,=1.7101,=0.0685,=0.0960,=0.0701,=0.0450,=19154
