指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0026,=12153.8400,=-0.0493,=5.8037,=0.7686,=3.2016,=4.0486,=5.1613,=5.8838,=7.9938,=0.5492,=0.4234,=0.3790,=0.4549,=0.5677,=0.7168,=1.0569,=2.2117,=0.8545,=1.0856,=1.4272,=1.7337,=2.0733,=2.9053,,=0.0932,,=0.0547,=73
="H11146",港股通内地金融,2010-06-02,=-0.0234,=1097.9100,=-0.0025,=6.2526,=0.5926,=3.2759,=4.5177,=5.8405,=6.7500,=9.2347,=0.6358,=0.4114,=0.3797,=0.4938,=0.6843,=0.8774,=1.1859,=1.6162,=0.8249,=0.6692,=0.9478,=1.2596,=1.5813,=2.1885,,=0.0965,,=0.0475,=30
="399986",中证银行,2013-07-15,=0.0058,=7091.3300,=-0.0673,=6.5872,=0.6892,=4.1183,=5.2599,=6.2131,=6.8066,=9.0846,=0.6462,=0.3021,=0.4848,=0.5836,=0.7264,=0.9081,=1.2416,=2.5106,=0.8306,=1.4134,=1.7842,=2.1151,=2.4380,=3.3016,=0.0685,=0.0932,=0.0729,=0.0472,=9389
="930792",HK银行,2016-04-22,=-0.0331,=4481.6100,=0.0175,=6.8286,=0.8165,=3.2659,=4.4492,=5.7746,=6.7075,=9.5632,=0.6450,=0.5424,=0.3905,=0.4957,=0.6217,=0.8034,=1.0771,=2.5697,=0.9169,=1.0519,=1.5147,=1.8296,=2.3124,=3.1066,,=0.0964,,=0.0513,=736
="399809",保险主题,2015-02-13,=-0.0098,=2528.7900,=-0.0521,=7.1304,=0.2597,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8027,=0.2811,=0.6352,=0.7667,=1.2308,=1.4858,=1.9794,=2.0958,=0.9295,=0.5239,=0.8688,=1.0978,=1.3625,=2.3772,=0.0826,=0.1038,=0.0824,=0.0407,=1449
="000018",180金融,2007-12-10,=-0.0022,=5488.5400,=-0.0761,=7.2077,=0.3945,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7684,=0.2824,=0.5902,=0.6965,=0.8965,=1.0757,=1.4199,=2.1850,=0.8026,=1.2355,=1.5824,=1.9227,=2.1805,=2.8772,=0.0783,=0.0980,=0.0761,=0.0407,=761
="H30106",H300金融服务,2013-05-21,=-0.0288,=1563.5900,=0.0333,=7.2130,=0.5971,=4.0175,=5.3642,=6.8746,=7.7688,=11.1922,=0.7675,=0.5261,=0.4470,=0.5777,=0.7482,=0.9083,=1.2489,=2.0338,=0.9019,=0.8557,=1.1816,=1.4524,=1.8288,=2.3593,,=0.1034,,=0.0452,=17
="000818",细分金融,2012-04-11,=-0.0027,=6868.3700,=-0.0698,=7.3556,=0.3879,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7837,=0.2832,=0.5930,=0.7010,=0.9125,=1.1017,=1.4303,=2.2459,=0.8054,=1.2689,=1.6354,=1.9714,=2.2331,=2.9111,=0.0780,=0.0969,=0.0769,=0.0396,=5
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0034,=4514.2200,=0.1227,=7.3826,=0.9749,=4.1647,=4.6022,=5.5374,=6.8058,=7.6037,=0.7017,=0.9513,=0.4381,=0.4910,=0.5801,=0.6693,=0.7227,=0.9898,=0.9749,=0.5323,=0.5901,=0.7250,=0.9057,=1.0190,,=0.0980,,=0.0549,=191
="931233",港股通央企红利,2017-06-28,=0.0005,=1268.3412,=0.0879,=7.3861,=0.7914,=3.6988,=4.9341,=6.2626,=7.4155,=14.0775,=0.7086,=0.6529,=0.3929,=0.5213,=0.6401,=0.8688,=1.8161,=1.0171,=0.5850,=0.4645,=0.6183,=0.9337,=1.3968,=1.7583,,=0.0980,,=0.0552,=375
="987016",港股通红利低波,2021-11-18,,,=0.1203,=7.5579,=0.9855,=3.4544,=4.2792,=4.8424,=6.1141,=7.7483,=0.7039,=0.9807,=0.4152,=0.4834,=0.5344,=0.6220,=0.7226,=1.2398,=0.9855,=0.5827,=0.6565,=0.7837,=0.9497,=1.2728,,=0.0957,,=0.0552,=87
="H11140",香港红利,2009-07-23,=0.0051,=3922.9013,=0.0744,=7.6017,=0.7703,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7294,=0.6256,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2256,=0.7018,=0.5431,=0.7464,=0.9724,=1.6107,=2.1349,,=0.0974,,=0.0557,=14
="000914",300金融,2007-07-02,=-0.0030,=6265.5100,=-0.0673,=7.6354,=0.4390,=5.2769,=6.6022,=7.8155,=8.6017,=11.3863,=0.7808,=0.2778,=0.5962,=0.7048,=0.9373,=1.1418,=1.4919,=2.1004,=0.8256,=1.1210,=1.4310,=1.8123,=2.0617,=2.7052,=0.0748,=0.0924,=0.0740,=0.0392,=336
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0002,=3037.9600,=0.0917,=7.6609,=0.9850,=3.7550,=5.0332,=5.7603,=6.6190,=7.8951,=0.7801,=0.9644,=0.4590,=0.5767,=0.6363,=0.7222,=0.8175,=1.1757,=0.9844,=0.5101,=0.6868,=0.7893,=0.8925,=1.2116,,=0.1004,,=0.0522,=257
="H30270",红利价值,2013-12-19,=0.0122,=9810.5700,=0.0292,=7.7719,=0.7521,=4.4543,=5.4162,=6.7196,=8.7989,=13.0955,=0.8099,=0.6289,=0.5256,=0.6474,=0.7564,=1.2616,=1.7317,=1.5677,=0.9901,=0.5854,=0.8072,=0.9919,=1.2464,=1.6166,=0.0710,=0.0996,=0.0748,=0.0440,=148
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0017,=4909.6000,=0.0988,=7.8957,=0.8947,=3.5572,=4.6247,=5.9282,=7.0783,=9.5068,=0.6992,=0.6955,=0.3828,=0.4840,=0.5733,=0.8191,=1.1073,=1.0483,=0.6426,=0.4386,=0.6469,=0.8379,=1.4274,=2.0623,,=0.0887,,=0.0548,=1353
="000934",中证金融,2009-07-03,=-0.0036,=5896.4300,=-0.0595,=7.9554,=0.4662,=5.7083,=6.8944,=8.0594,=8.8714,=11.5527,=0.7947,=0.2791,=0.6117,=0.7181,=0.9426,=1.1580,=1.5017,=2.0977,=0.8335,=1.1467,=1.4503,=1.8024,=2.0513,=2.6696,=0.0732,=0.0894,=0.0723,=0.0379,=1142
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0025,=1432.6000,=0.1232,=8.0289,=0.8557,=3.6777,=4.8612,=6.6043,=7.6968,=10.6953,=0.7496,=0.6249,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1803,=0.6380,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0548,=890
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0029,=2809.8200,=0.1340,=8.0701,=0.9910,=3.8979,=4.9396,=5.8014,=7.0903,=8.2464,=0.7296,=0.9346,=0.4277,=0.5150,=0.5728,=0.6655,=0.8197,=1.2422,=0.9506,=0.5333,=0.6942,=0.8636,=1.1044,=1.3442,,=0.0916,,=0.0527,=458
="930914",港股通高股息,2016-11-25,=-0.0026,=5394.1700,=0.0969,=8.0803,=0.8466,=3.4280,=4.4072,=5.8409,=7.7018,=11.1979,=0.7772,=0.7349,=0.3979,=0.5001,=0.6086,=0.8568,=1.1764,=1.2747,=0.8234,=0.5144,=0.6936,=0.9163,=1.2263,=2.2126,,=0.0991,,=0.0547,=625
="931157",SHS红利成长LV,2019-04-25,=-0.0011,=7690.6900,=0.0317,=8.0964,=0.7278,=4.1261,=5.5604,=6.8484,=8.3565,=11.5318,=0.8268,=0.5836,=0.5154,=0.6231,=0.8051,=0.9324,=1.5888,=1.5980,=0.9873,=0.5018,=0.7020,=1.0088,=1.3619,=1.6333,,=0.0998,,=0.0489,=264
="000992",全指金融,2011-08-02,=-0.0042,=5653.7700,=-0.0558,=8.1535,=0.4769,=5.9310,=7.1022,=8.2284,=9.0288,=11.6339,=0.7979,=0.2857,=0.6188,=0.7234,=0.9510,=1.1732,=1.5107,=2.0773,=0.8207,=1.1568,=1.4432,=1.8065,=2.0571,=2.6668,=0.0720,=0.0864,=0.0697,=0.0373,=2687
="932596",港股通红利低波,2016-02-04,=-0.0080,=4261.8700,=0.0987,=8.1802,=0.6147,=7.4451,=7.7590,=7.9983,=8.3006,=8.5745,=0.7558,=0.9083,=0.6528,=0.6821,=0.7086,=0.7309,=0.7672,=1.3507,=0.7064,=1.2161,=1.2669,=1.3098,=1.3647,=1.4099,,,,=0.0529,=59
="H30269",红利低波,2013-12-19,=0.0098,=11321.9000,=0.0073,=8.1963,=0.7473,=4.5638,=5.5488,=6.7750,=9.4786,=14.4342,=0.8602,=0.5829,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.5854,=0.9885,=0.6111,=0.8850,=1.0977,=1.4134,=1.6442,=0.0719,=0.1013,=0.0686,=0.0449,=3578
="H50040",上红低波,2014-03-21,=0.0106,=11276.3600,=0.0226,=8.2247,=0.7622,=4.6938,=5.9512,=6.9958,=9.6645,=14.3118,=0.8515,=0.5412,=0.5647,=0.6911,=0.8375,=1.3609,=1.8756,=1.6015,=0.9872,=0.6380,=0.8684,=1.2018,=1.3908,=1.6603,=0.0726,=0.0985,=0.0721,=0.0444,=329
="000151",上国红利,2012-07-20,=0.0238,=1653.0300,=0.0821,=8.2388,=0.9266,=4.5075,=5.3657,=6.8777,=7.5603,=10.0345,=0.7803,=0.5425,=0.5268,=0.6189,=0.7557,=0.9688,=1.3272,=1.0512,=0.4369,=0.6026,=0.8953,=1.1104,=1.3121,=1.6854,=0.0643,=0.0774,=0.0685,=0.0513,=187
="931446",东证红利低波,2020-04-21,=0.0065,=3504.7900,=0.0180,=8.2554,=0.7533,=5.1478,=6.1516,=7.0470,=8.5414,=11.0216,=0.8178,=0.6954,=0.5884,=0.6927,=0.7571,=0.8771,=1.2481,=1.4977,=0.9718,=0.5909,=0.7492,=0.8754,=1.2751,=1.5979,=0.0725,=0.0943,=0.0749,=0.0454,=688
="HSCSOE",恒生中国央企指数,2023-01-01,=-0.0063,=3826.2700,=0.0644,=8.2914,=0.9820,=4.9972,=5.5202,=6.0142,=7.4693,=8.5137,=0.8021,=0.9832,=0.5264,=0.5880,=0.6256,=0.7292,=0.8235,=0.9932,=0.9845,=0.5404,=0.5917,=0.6564,=0.8326,=1.0198,,=0.0966,,=0.0492,=104
="931130",红利成长低波,2018-12-04,=0.0059,=24019.6600,=0.0128,=8.3084,=0.6815,=4.4465,=5.5604,=7.6598,=8.7469,=11.5512,=0.8495,=0.3556,=0.5279,=0.6228,=0.9055,=1.0352,=1.5803,=1.8523,=0.7848,=0.3109,=0.8103,=1.3111,=1.9112,=2.5957,=0.0726,=0.1017,=0.0458,=0.0449,=123
="000029",180价值,2009-01-09,=0.0108,=4325.8600,=-0.0286,=8.3323,=0.7514,=5.6894,=6.9075,=7.8816,=8.4805,=10.8138,=0.8430,=0.3755,=0.6666,=0.8069,=0.8670,=1.0684,=1.4433,=1.0843,=0.8636,=0.6198,=0.7825,=0.9448,=1.0598,=1.4032,=0.0717,=0.0949,=0.0779,=0.0430,=553
="931024",港股通非银,2017-11-06,=-0.0248,=4358.5300,=0.0151,=8.3415,=0.1355,=6.7549,=8.8039,=11.4337,=13.3982,=22.4310,=1.1872,=0.7192,=0.6237,=0.8446,=1.0420,=1.2274,=1.7592,=1.4095,=0.9293,=0.5870,=0.8710,=1.0048,=1.1912,=2.2002,,=0.1332,,=0.0310,=165
="000922",中证红利,2008-05-26,=0.0135,=5905.2500,=0.0729,=8.4512,=0.7869,=5.1762,=6.0245,=7.6568,=8.5303,=11.2156,=0.8583,=0.4988,=0.5911,=0.7110,=0.8584,=1.1106,=1.4999,=1.2613,=0.8726,=0.6332,=0.7726,=1.0437,=1.2084,=1.7101,=0.0685,=0.1011,=0.0683,=0.0458,=19562
="000015",红利指数,2005-01-04,=0.0220,=3297.6000,=0.0856,=8.5446,=0.9312,=4.6646,=5.5108,=7.0876,=7.9504,=10.4439,=0.8506,=0.6072,=0.5525,=0.6398,=0.7661,=1.0213,=1.3875,=1.4535,=0.9423,=0.7277,=0.8913,=1.1186,=1.3144,=1.6890,=0.0663,=0.1047,=0.0675,=0.0446,=14029
="000821",300红利,2012-07-20,=0.0181,=6825.7100,=0.0230,=8.5773,=0.8491,=4.9998,=6.1944,=7.5608,=8.3530,=10.9286,=0.8745,=0.4955,=0.5725,=0.7140,=0.8783,=1.0813,=1.4919,=1.3965,=0.9229,=0.6098,=0.7993,=1.0601,=1.2983,=1.6963,=0.0718,=0.0996,=0.0719,=0.0460,=968
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0023,=5326.2400,=0.1468,=8.6539,=0.9970,=4.2457,=4.6989,=5.7027,=7.4697,=8.6973,=0.7934,=0.9970,=0.4429,=0.4957,=0.5732,=0.7219,=0.7974,=1.1151,=0.9970,=0.6036,=0.6695,=0.8651,=0.9901,=1.1206,,=0.0936,,=0.0561,=73
