指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0068,=12712.7300,=-0.0056,=5.9076,=0.8188,=3.2016,=4.0357,=5.1310,=5.8623,=7.9938,=0.5573,=0.4502,=0.3790,=0.4537,=0.5702,=0.7183,=1.0569,=2.2513,=0.8853,=1.0856,=1.4245,=1.7260,=2.0408,=2.9053,,=0.0932,,=0.0537,=59
="H11146",港股通内地金融,2010-06-02,=-0.0063,=1133.9651,=0.0302,=6.4917,=0.7152,=3.2759,=4.5181,=5.7827,=6.7473,=9.2347,=0.6601,=0.4477,=0.3797,=0.4941,=0.6890,=0.8774,=1.1859,=1.6780,=0.8967,=0.6692,=0.9479,=1.2460,=1.5635,=2.1885,,=0.0965,,=0.0457,=24
="930792",HK银行,2016-04-22,=-0.0110,=4395.3500,=-0.0021,=6.9619,=0.8476,=3.2659,=4.4424,=5.7609,=6.6440,=9.5632,=0.6448,=0.5461,=0.3905,=0.4944,=0.6173,=0.8055,=1.0771,=2.5913,=0.9428,=1.0519,=1.5133,=1.8179,=2.2859,=3.1066,,=0.0966,,=0.0508,=720
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0018,=4102.2400,=0.0203,=7.0176,=0.9346,=4.1647,=4.5803,=5.4631,=6.6234,=7.6037,=0.6670,=0.8255,=0.4381,=0.4887,=0.5765,=0.6621,=0.7227,=0.9405,=0.9408,=0.5323,=0.5875,=0.7199,=0.8896,=1.0190,,=0.1030,,=0.0578,=162
="931233",港股通央企红利,2017-06-28,=-0.0021,=1180.8400,=0.0129,=7.1129,=0.7241,=3.6988,=4.9297,=6.2378,=7.4099,=14.0775,=0.6824,=0.6071,=0.3929,=0.5205,=0.6344,=0.8719,=1.8161,=0.9791,=0.5624,=0.4645,=0.6157,=0.9245,=1.4030,=1.7583,,=0.0974,,=0.0573,=314
="399986",中证银行,2013-07-15,=-0.0071,=7562.3200,=-0.0054,=7.1148,=0.8612,=4.1183,=5.2645,=6.1807,=6.7953,=9.0846,=0.6958,=0.4007,=0.4848,=0.5838,=0.7299,=0.9091,=1.2416,=2.7117,=0.9275,=1.4134,=1.7845,=2.1074,=2.4210,=3.3016,=0.0685,=0.0932,=0.0729,=0.0437,=9262
="987016",港股通红利低波,2021-11-18,,,=0.0051,=7.1260,=0.9611,=3.4544,=4.2713,=4.7812,=5.8588,=7.7483,=0.6642,=0.8943,=0.4152,=0.4827,=0.5317,=0.6037,=0.7226,=1.1700,=0.9601,=0.5827,=0.6538,=0.7755,=0.9004,=1.2728,,=0.0954,,=0.0587,=44
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0006,=2833.0300,=0.0181,=7.4319,=0.9764,=3.7550,=5.0299,=5.7333,=6.5728,=7.8564,=0.7571,=0.9138,=0.4590,=0.5759,=0.6340,=0.7104,=0.8175,=1.1425,=0.9821,=0.5101,=0.6858,=0.7863,=0.8821,=1.2090,,=0.1015,,=0.0538,=247
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0040,=4527.7400,=0.0134,=7.4501,=0.8602,=3.5572,=4.6198,=5.9044,=7.0054,=9.5068,=0.6607,=0.6279,=0.3828,=0.4838,=0.5700,=0.8215,=1.1073,=0.9946,=0.6185,=0.4386,=0.6413,=0.8323,=1.4414,=2.0623,,=0.0870,,=0.0586,=1240
="H30106",H300金融服务,2013-05-21,=-0.0071,=1569.0754,=0.0369,=7.5212,=0.7301,=4.0175,=5.3627,=6.7852,=7.7687,=11.1922,=0.7877,=0.5571,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1028,=0.9546,=0.8557,=1.1817,=1.4422,=1.7919,=2.3593,,=0.1022,,=0.0438,=16
