指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0089,=12784.2300,=0.0960,=5.9621,=0.8364,=3.2016,=4.0318,=5.1284,=5.8591,=7.9938,=0.5624,=0.4750,=0.3790,=0.4536,=0.5707,=0.7188,=1.0569,=2.2721,=0.8976,=1.0856,=1.4241,=1.7251,=2.0375,=2.9053,,=0.0932,,=0.0513,=60
="H11146",港股通内地金融,2010-06-02,=0.0035,=1102.3900,=0.2924,=6.3676,=0.6625,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6475,=0.4263,=0.3797,=0.4941,=0.6900,=0.8784,=1.1859,=1.6459,=0.8675,=0.6692,=0.9479,=1.2460,=1.5613,=2.1885,,=0.0965,,=0.0449,=25
="930792",HK银行,2016-04-22,=0.0029,=4380.8100,=0.3426,=6.9844,=0.8539,=3.2659,=4.4412,=5.7544,=6.6372,=9.5632,=0.6469,=0.5517,=0.3905,=0.4944,=0.6164,=0.8060,=1.0771,=2.5996,=0.9502,=1.0519,=1.5130,=1.8173,=2.2828,=3.1066,,=0.0966,,=0.0487,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0014,=4032.8500,=0.2513,=7.0243,=0.9450,=4.1647,=4.5789,=5.4546,=6.5872,=7.6037,=0.6676,=0.8365,=0.4381,=0.4886,=0.5764,=0.6605,=0.7227,=0.9414,=0.9497,=0.5323,=0.5875,=0.7190,=0.8828,=1.0190,,=0.1030,,=0.0578,=159
="931233",港股通央企红利,2017-06-28,=-0.0047,=1167.2700,=0.1814,=7.1288,=0.7320,=3.6988,=4.9297,=6.2350,=7.4145,=14.0775,=0.6839,=0.6125,=0.3929,=0.5205,=0.6339,=0.8721,=1.8161,=0.9813,=0.5653,=0.4645,=0.6151,=0.9232,=1.4032,=1.7583,,=0.0974,,=0.0558,=305
="987016",港股通红利低波,2021-11-18,,,=0.2120,=7.1537,=0.9699,=3.4544,=4.2684,=4.7624,=5.8273,=7.7483,=0.6668,=0.9057,=0.4152,=0.4826,=0.5311,=0.6013,=0.7226,=1.1746,=0.9689,=0.5827,=0.6535,=0.7743,=0.8972,=1.2728,,=0.0954,,=0.0585,=37
="399986",中证银行,2013-07-15,=0.0103,=7606.0200,=0.0683,=7.2207,=0.8979,=4.1183,=5.2645,=6.1828,=6.7873,=9.0846,=0.7061,=0.4212,=0.4848,=0.5838,=0.7306,=0.9104,=1.2416,=2.7521,=0.9494,=1.4134,=1.7845,=2.1074,=2.4193,=3.3016,=0.0685,=0.0932,=0.0729,=0.0415,=9250
="H30106",H300金融服务,2013-05-21,=-0.0020,=1518.7100,=0.3738,=7.3518,=0.6641,=4.0175,=5.3627,=6.7641,=7.7687,=11.1922,=0.7699,=0.5312,=0.4470,=0.5779,=0.7482,=0.9092,=1.2489,=2.0555,=0.9380,=0.8557,=1.1817,=1.4422,=1.7882,=2.3593,,=0.1022,,=0.0433,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0075,=2788.1300,=0.2317,=7.3689,=0.9686,=3.7550,=5.0288,=5.7267,=6.5582,=7.8564,=0.7507,=0.8897,=0.4590,=0.5758,=0.6337,=0.7098,=0.8175,=1.1328,=0.9814,=0.5101,=0.6856,=0.7854,=0.8806,=1.2090,,=0.1015,,=0.0530,=246
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0060,=4492.2800,=0.1961,=7.4575,=0.8626,=3.5572,=4.6191,=5.9015,=6.9982,=9.5068,=0.6614,=0.6296,=0.3828,=0.4838,=0.5692,=0.8224,=1.1073,=0.9956,=0.6207,=0.4386,=0.6410,=0.8314,=1.4424,=2.0623,,=0.0870,,=0.0585,=1232
