指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0001,=12185.9033,=-0.0466,=5.8875,=0.8002,=3.2016,=4.0485,=5.1610,=5.8875,=7.9938,=0.5571,=0.4481,=0.3790,=0.4547,=0.5678,=0.7168,=1.0569,=2.2437,=0.8722,=1.0856,=1.4265,=1.7335,=2.0733,=2.9053,,=0.0932,,=0.0539,=71
="H11146",港股通内地金融,2010-06-02,=0.0002,=1124.1885,=0.0229,=6.4013,=0.6646,=3.2759,=4.5181,=5.8391,=6.7473,=9.2347,=0.6509,=0.4330,=0.3797,=0.4941,=0.6846,=0.8770,=1.1859,=1.6546,=0.8615,=0.6692,=0.9479,=1.2581,=1.5808,=2.1885,,=0.0965,,=0.0464,=29
="399986",中证银行,2013-07-15,=-0.0002,=7050.7700,=-0.0727,=6.5386,=0.6660,=4.1183,=5.2645,=6.2124,=6.8062,=9.0846,=0.6415,=0.2957,=0.4848,=0.5838,=0.7267,=0.9081,=1.2416,=2.4921,=0.8254,=1.4134,=1.7845,=2.1131,=2.4375,=3.3016,=0.0685,=0.0932,=0.0729,=0.0475,=9381
="399809",保险主题,2015-02-13,=-0.0032,=2553.8700,=-0.0427,=7.1080,=0.2574,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8001,=0.2764,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.0892,=0.9292,=0.5239,=0.8689,=1.0961,=1.3604,=2.3772,=0.0826,=0.0985,=0.0781,=0.0409,=1446
="930792",HK银行,2016-04-22,=0.0051,=4634.9197,=0.0541,=7.1489,=0.8818,=3.2659,=4.4492,=5.7738,=6.7042,=9.5632,=0.6623,=0.5850,=0.3905,=0.4957,=0.6217,=0.8034,=1.0771,=2.6646,=0.9691,=1.0519,=1.5147,=1.8295,=2.3121,=3.1066,,=0.0966,,=0.0533,=736
="000018",180金融,2007-12-10,=-0.0019,=5500.4600,=-0.0741,=7.1971,=0.3925,=5.2016,=6.4287,=7.4955,=8.3000,=10.8609,=0.7673,=0.2797,=0.5902,=0.6966,=0.8969,=1.0756,=1.4199,=2.1818,=0.8011,=1.2355,=1.5826,=1.9226,=2.1796,=2.8772,=0.0783,=0.0991,=0.0776,=0.0407,=759
="000818",细分金融,2012-04-11,,,=-0.0661,=7.3457,=0.3863,=5.2356,=6.4985,=7.6831,=8.4792,=10.9951,=0.7827,=0.2817,=0.5930,=0.7010,=0.9141,=1.1014,=1.4303,=2.2428,=0.8044,=1.2689,=1.6360,=1.9707,=2.2318,=2.9111,=0.0780,=0.0967,=0.0768,=0.0397,=5
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0064,=4499.0700,=0.1190,=7.4147,=0.9793,=4.1647,=4.6022,=5.5373,=6.7994,=7.6037,=0.7047,=0.9660,=0.4381,=0.4910,=0.5799,=0.6693,=0.7227,=0.9941,=0.9793,=0.5323,=0.5901,=0.7249,=0.9047,=1.0190,,=0.0921,,=0.0547,=190
="931233",港股通央企红利,2017-06-28,=0.0062,=1267.6803,=0.0859,=7.4253,=0.8052,=3.6988,=4.9341,=6.2626,=7.4155,=14.0775,=0.7123,=0.6595,=0.3929,=0.5213,=0.6397,=0.8688,=1.8161,=1.0225,=0.5875,=0.4645,=0.6183,=0.9336,=1.3968,=1.7583,,=0.0974,,=0.0549,=370
="H30106",H300金融服务,2013-05-21,=0.0076,=1610.0246,=0.0642,=7.5163,=0.7217,=4.0175,=5.3653,=6.8687,=7.7687,=11.1922,=0.7876,=0.5626,=0.4470,=0.5779,=0.7487,=0.9081,=1.2489,=2.1002,=0.9473,=0.8557,=1.1817,=1.4512,=1.8274,=2.3593,,=0.1022,,=0.0468,=17
