指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
931039,银行AH,2017-12-06,-0.0101,12584.7200,-0.0156,5.8685,0.8014,3.2016,4.0357,5.1311,5.8656,7.9938,0.5536,0.4388,0.3790,0.4537,0.5702,0.7183,1.0569,2.2364,0.8770,1.0856,1.4245,1.7262,2.0409,2.9053,,0.0932,,0.0541,59
H11146,港股通内地金融,2010-06-02,-0.0130,1119.2300,0.0168,6.4113,0.6791,3.2759,4.5181,5.7832,6.7473,9.2347,0.6520,0.4323,0.3797,0.4941,0.6885,0.8770,1.1859,1.6572,0.8748,0.6692,0.9479,1.2460,1.5648,2.1885,,0.0965,,0.0463,25
930792,HK银行,2016-04-22,-0.0116,4344.1500,-0.0137,6.8969,0.8385,3.2659,4.4424,5.7609,6.6462,9.5632,0.6388,0.5371,0.3905,0.4944,0.6176,0.8055,1.0771,2.5670,0.9270,1.0519,1.5133,1.8183,2.2879,3.1066,,0.0966,,0.0513,721
HSSCSOY,恒生港股通中国央企红利指数,2023-06-01,-0.0022,4093.2900,0.0180,6.9931,0.9253,4.1647,4.5830,5.4633,6.6234,7.6037,0.6646,0.8180,0.4381,0.4887,0.5765,0.6621,0.7227,0.9372,0.9331,0.5323,0.5876,0.7199,0.8896,1.0190,,0.1030,,0.0580,162
399986,中证银行,2013-07-15,-0.0092,7492.9300,-0.0145,7.0731,0.8526,4.1183,5.2645,6.1807,6.7964,9.0846,0.6917,0.3958,0.4848,0.5838,0.7298,0.9089,1.2416,2.6958,0.9205,1.4134,1.7845,2.1074,2.4214,3.3016,0.0685,0.0932,0.0729,0.0439,9263
931233,港股通央企红利,2017-06-28,-0.0030,1177.3200,0.0099,7.0743,0.7068,3.6988,4.9297,6.2387,7.4099,14.0775,0.6787,0.5977,0.3929,0.5205,0.6345,0.8719,1.8161,0.9738,0.5562,0.4645,0.6157,0.9247,1.4030,1.7583,,0.0974,,0.0577,314
987016,港股通红利低波,2021-11-18,,,0.0055,7.1044,0.9562,3.4544,4.2713,4.7879,5.8628,7.7483,0.6622,0.8884,0.4152,0.4827,0.5318,0.6040,0.7226,1.1665,0.9552,0.5827,0.6538,0.7756,0.9025,1.2728,,0.0954,,0.0589,44
HSMCHYI,恒生中国内地企业高股息率指数,2019-09-01,-0.0059,2816.3700,0.0121,7.3814,0.9662,3.7550,5.0299,5.7355,6.5744,7.8564,0.7520,0.8941,0.4590,0.5759,0.6340,0.7110,0.8175,1.1347,0.9783,0.5101,0.6858,0.7863,0.8826,1.2090,,0.1015,,0.0542,247
H30106,H300金融服务,2013-05-21,-0.0152,1545.3000,0.0212,7.4192,0.6856,4.0175,5.3627,6.7865,7.7687,11.1922,0.7770,0.5425,0.4470,0.5779,0.7482,0.9081,1.2489,2.0743,0.9453,0.8557,1.1817,1.4422,1.7921,2.3593,,0.1022,,0.0444,16
HSHYLV,恒生港股通高股息低波动指数,2017-05-08,0.0005,4530.1600,0.0139,7.4223,0.8551,3.5572,4.6198,5.9045,7.0055,9.5068,0.6583,0.6224,0.3828,0.4838,0.5703,0.8215,1.1073,0.9909,0.6145,0.4386,0.6413,0.8323,1.4414,2.0623,,0.0870,,0.0588,1242
HSHDYI,恒生高股息率指数,2012-12-10,-0.0024,1287.5700,0.0095,7.6133,0.7994,3.6777,4.8612,6.5434,7.6184,10.6953,0.7108,0.5573,0.4041,0.5046,0.6483,0.9078,1.1746,1.1234,0.5723,0.5013,0.7008,1.0566,1.5005,1.9871,,0.0974,,0.0582,869
HSSCHKY,恒生港股通高股息率指数,2019-11-01,-0.0007,2518.5100,0.0165,7.6283,0.9639,3.8979,4.9341,5.7593,7.0231,8.1550,0.6900,0.8689,0.4277,0.5145,0.5707,0.6591,0.8197,1.1748,0.9213,0.5333,0.6929,0.8607,1.0907,1.3442,,0.0939,,0.0559,436
930914,港股通高股息,2016-11-25,-0.0039,4910.9900,-0.0014,7.6817,0.8105,3.4280,4.3932,5.8104,7.6010,11.1979,0.7266,0.6659,0.3979,0.4989,0.6046,0.8583,1.1764,1.1963,0.7874,0.5144,0.6892,0.9126,1.2171,2.2126,,0.1031,,0.0578,563
932596,港股通红利低波,2016-02-04,-0.0020,3893.2700,0.0037,7.7976,0.3733,7.4451,7.6050,7.9306,8.2874,8.5745,0.7098,0.7733,0.6528,0.6669,0.6988,0.7123,0.7309,1.2732,0.3733,1.2161,1.2423,1.2954,1.3627,1.4099,,,,0.0558,33
399809,保险主题,2015-02-13,-0.0233,2843.5400,0.0658,7.8043,0.3171,5.4537,6.8119,10.6431,15.0228,22.8725,0.8772,0.3365,0.6352,0.7669,1.2326,1.4853,1.9794,2.2938,0.9720,0.5239,0.8689,1.0929,1.3246,2.3772,0.0826,0.0985,0.0781,0.0372,1408
H30270,红利价值,2013-12-19,-0.0067,9505.3400,-0.0028,7.8184,0.7587,4.4543,5.4037,6.7091,8.8486,13.0955,0.8130,0.6314,0.5256,0.6470,0.7540,1.2672,1.7317,1.5771,0.9941,0.5854,0.8034,0.9871,1.2299,1.6166,0.0710,0.0973,0.0746,0.0437,124
000018,180金融,2007-12-10,-0.0198,5966.3800,0.0044,7.8484,0.6363,5.2016,6.4226,7.4808,8.3000,10.8609,0.8343,0.3995,0.5902,0.6966,0.9142,1.0776,1.4199,2.3792,0.8966,1.2355,1.5826,1.9104,2.1588,2.8772,0.0787,0.0991,0.0776,0.0374,758
HSCSOE,恒生中国央企指数,2023-01-01,-0.0063,3656.1800,0.0170,7.8771,0.9555,4.9972,5.5017,5.9564,7.0780,8.3212,0.7619,0.9245,0.5264,0.5853,0.6238,0.7101,0.8025,0.9435,0.9906,0.5404,0.5903,0.6523,0.7882,0.9572,,0.0979,,0.0517,96
HSSCHYS,恒生港股通红利优选指数,2023-06-01,-0.0026,4690.3500,0.0099,7.9787,0.9362,4.2457,4.6751,5.6351,7.3486,8.5630,0.7318,0.8834,0.4429,0.4938,0.5699,0.7034,0.7859,1.0340,0.9114,0.6036,0.6672,0.8599,0.9765,1.1099,,0.0975,,0.0613,62
000818,细分金融,2012-04-11,-0.0199,7432.1500,0.0066,7.9846,0.6129,5.2356,6.4985,7.6703,8.4792,10.9951,0.8483,0.3970,0.5930,0.7010,0.9284,1.1040,1.4303,2.4379,0.8983,1.2689,1.6360,1.9651,2.2145,2.9111,0.0780,0.0967,0.0768,0.0365,4
931157,SHS红利成长LV,2019-04-25,-0.0068,7470.8700,0.0022,7.9995,0.7135,4.1261,5.5498,6.8238,8.3746,11.5318,0.8142,0.5394,0.5154,0.6210,0.8012,0.9383,1.5888,1.5796,0.9912,0.5018,0.6992,0.9837,1.3342,1.6109,,0.1050,,0.0495,218
000914,300金融,2007-07-02,-0.0189,6766.6700,0.0073,8.2787,0.6643,5.2769,6.6035,7.7807,8.5959,11.3863,0.8442,0.3867,0.5962,0.7048,0.9522,1.1447,1.4919,2.2774,0.9114,1.1210,1.4313,1.8124,2.0443,2.7052,0.0752,0.0912,0.0734,0.0361,334
H30269,红利低波,2013-12-19,-0.0062,11119,-0.0108,8.3021,0.7648,4.5638,5.5488,6.7467,9.4763,14.4342,0.8695,0.5857,0.5386,0.6570,0.8017,1.3862,1.9670,1.6059,0.9938,0.6111,0.8850,1.0984,1.4087,1.6442,0.0719,0.1026,0.0729,0.0443,3191
000151,上国红利,2012-07-20,-0.0014,1555.8500,0.0184,8.3057,0.9473,4.5075,5.3671,6.8295,7.5170,10.0345,0.7847,0.5367,0.5268,0.6196,0.7569,0.9698,1.3272,1.0597,0.4395,0.6026,0.8954,1.1279,1.3114,1.6854,0.0643,0.0941,0.0692,0.0511,160
