指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0075,=12309.7300,=-0.0371,=5.9213,=0.8193,=3.2016,=4.0441,=5.1570,=5.8784,=7.9938,=0.5601,=0.4651,=0.3790,=0.4547,=0.5685,=0.7170,=1.0569,=2.2565,=0.8848,=1.0856,=1.4264,=1.7318,=2.0630,=2.9053,,=0.0932,,=0.0536,=66
="H11146",港股通内地金融,2010-06-02,=-0.0168,=1141.2776,=0.0369,=6.5009,=0.7148,=3.2759,=4.5181,=5.8247,=6.7473,=9.2347,=0.6611,=0.4563,=0.3797,=0.4941,=0.6852,=0.8770,=1.1859,=1.6803,=0.8940,=0.6692,=0.9479,=1.2535,=1.5787,=2.1885,,=0.0965,,=0.0456,=26
="399986",中证银行,2013-07-15,=-0.0069,=7119.5200,=-0.0636,=6.6305,=0.7145,=4.1183,=5.2696,=6.2082,=6.8062,=9.0846,=0.6505,=0.3143,=0.4848,=0.5840,=0.7273,=0.9081,=1.2416,=2.5271,=0.8373,=1.4134,=1.7856,=2.1119,=2.4354,=3.3016,=0.0685,=0.0932,=0.0729,=0.0469,=9354
="930792",HK银行,2016-04-22,=-0.0195,=4530.4100,=0.0286,=7.0592,=0.8654,=3.2659,=4.4454,=5.7711,=6.6930,=9.5632,=0.6536,=0.5669,=0.3905,=0.4953,=0.6211,=0.8039,=1.0771,=2.6313,=0.9579,=1.0519,=1.5142,=1.8274,=2.3094,=3.1066,,=0.0966,,=0.0495,=731
="399809",保险主题,2015-02-13,=-0.0148,=2649.7800,=-0.0068,=7.2644,=0.2859,=5.4537,=6.8144,=10.6333,=15.0172,=22.8725,=0.8177,=0.3016,=0.6352,=0.7670,=1.2295,=1.4851,=1.9794,=2.1352,=0.9330,=0.5239,=0.8692,=1.0955,=1.3563,=2.3772,=0.0826,=0.0985,=0.0781,=0.0400,=1438
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0262,=4340.4600,=0.0795,=7.2939,=0.9596,=4.1647,=4.6004,=5.5087,=6.7671,=7.6037,=0.6932,=0.9043,=0.4381,=0.4910,=0.5792,=0.6674,=0.7227,=0.9779,=0.9596,=0.5323,=0.5900,=0.7236,=0.9004,=1.0190,,=0.0921,,=0.0556,=182
="931233",港股通央企红利,2017-06-28,=-0.0174,=1230.2400,=0.0552,=7.3245,=0.7771,=3.6988,=4.9339,=6.2601,=7.4099,=14.0775,=0.7027,=0.6444,=0.3929,=0.5212,=0.6383,=0.8696,=1.8161,=1.0086,=0.5781,=0.4645,=0.6176,=0.9319,=1.4009,=1.7583,,=0.0974,,=0.0557,=361
="000018",180金融,2007-12-10,=-0.0098,=5599.6400,=-0.0574,=7.3442,=0.4445,=5.2016,=6.4273,=7.4926,=8.2988,=10.8609,=0.7830,=0.3205,=0.5902,=0.6967,=0.8998,=1.0753,=1.4199,=2.2263,=0.8262,=1.2355,=1.5828,=1.9174,=2.1774,=2.8772,=0.0783,=0.0991,=0.0776,=0.0399,=758
="987016",港股通红利低波,2021-11-18,,,=0.1022,=7.4473,=0.9738,=3.4544,=4.2765,=4.8296,=6.0390,=7.7483,=0.6943,=0.9515,=0.4152,=0.4834,=0.5342,=0.6184,=0.7226,=1.2228,=0.9738,=0.5827,=0.6557,=0.7834,=0.9336,=1.2728,,=0.0954,,=0.0561,=75
="000818",细分金融,2012-04-11,=-0.0096,=6992.2500,=-0.0530,=7.4838,=0.4441,=5.2356,=6.4991,=7.6817,=8.4782,=10.9951,=0.7974,=0.3180,=0.5930,=0.7012,=0.9192,=1.1014,=1.4303,=2.2850,=0.8311,=1.2689,=1.6361,=1.9684,=2.2269,=2.9111,=0.0780,=0.0967,=0.0768,=0.0390,=4
