指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0077,=12313.5231,=-0.0368,=5.9576,=0.8307,=3.2016,=4.0485,=5.1606,=5.8812,=7.9938,=0.5635,=0.4853,=0.3790,=0.4547,=0.5683,=0.7168,=1.0569,=2.2704,=0.8918,=1.0856,=1.4265,=1.7329,=2.0714,=2.9053,,=0.0932,,=0.0533,=71
="H11146",港股通内地金融,2010-06-02,=-0.0258,=1143.4500,=0.0388,=6.5198,=0.7204,=3.2759,=4.5181,=5.8359,=6.7473,=9.2347,=0.6630,=0.4603,=0.3797,=0.4941,=0.6848,=0.8770,=1.1859,=1.6852,=0.8983,=0.6692,=0.9479,=1.2563,=1.5801,=2.1885,,=0.0965,,=0.0455,=28
="399986",中证银行,2013-07-15,=-0.0025,=7101.8300,=-0.0659,=6.6090,=0.7021,=4.1183,=5.2599,=6.2104,=6.8066,=9.0846,=0.6484,=0.3074,=0.4848,=0.5836,=0.7269,=0.9081,=1.2416,=2.5189,=0.8335,=1.4134,=1.7842,=2.1128,=2.4368,=3.3016,=0.0685,=0.0932,=0.0729,=0.0470,=9369
="930792",HK银行,2016-04-22,=-0.0093,=4584.3061,=0.0408,=7.1193,=0.8780,=3.2659,=4.4472,=5.7727,=6.6965,=9.5632,=0.6592,=0.5787,=0.3905,=0.4956,=0.6217,=0.8036,=1.0771,=2.6537,=0.9654,=1.0519,=1.5146,=1.8293,=2.3113,=3.1066,,=0.0966,,=0.0491,=735
="399809",保险主题,2015-02-13,=-0.0113,=2619.8700,=-0.0180,=7.2212,=0.2748,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8129,=0.2967,=0.6352,=0.7667,=1.2304,=1.4858,=1.9794,=2.1225,=0.9320,=0.5239,=0.8688,=1.0958,=1.3567,=2.3772,=0.0826,=0.0985,=0.0781,=0.0402,=1441
="000018",180金融,2007-12-10,=-0.0048,=5572.8200,=-0.0619,=7.3040,=0.4306,=5.2016,=6.4237,=7.4960,=8.3012,=10.8609,=0.7787,=0.3098,=0.5902,=0.6965,=0.8979,=1.0757,=1.4199,=2.2141,=0.8171,=1.2355,=1.5824,=1.9201,=2.1789,=2.8772,=0.0783,=0.0991,=0.0776,=0.0401,=759
="000818",细分金融,2012-04-11,,,=-0.0530,=7.4456,=0.4310,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7933,=0.3045,=0.5930,=0.7010,=0.9149,=1.1017,=1.4303,=2.2733,=0.8228,=1.2689,=1.6354,=1.9702,=2.2308,=2.9111,=0.0780,=0.0967,=0.0768,=0.0392,=5
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0023,=4489.7000,=0.1166,=7.4470,=0.9866,=4.1647,=4.6022,=5.5206,=6.7824,=7.6037,=0.7078,=0.9792,=0.4381,=0.4910,=0.5794,=0.6683,=0.7227,=0.9985,=0.9866,=0.5323,=0.5901,=0.7239,=0.9024,=1.0190,,=0.0921,,=0.0545,=188
="931233",港股通央企红利,2017-06-28,=0.0022,=1266.9646,=0.0867,=7.4705,=0.8158,=3.6988,=4.9340,=6.2626,=7.4146,=14.0775,=0.7167,=0.6658,=0.3929,=0.5213,=0.6387,=0.8691,=1.8161,=1.0288,=0.5896,=0.4645,=0.6179,=0.9320,=1.3992,=1.7583,,=0.0974,,=0.0546,=365
="H30106",H300金融服务,2013-05-21,=-0.0188,=1592.5100,=0.0524,=7.5311,=0.7289,=4.0175,=5.3653,=6.8625,=7.7687,=11.1922,=0.7891,=0.5660,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1043,=0.9498,=0.8557,=1.1817,=1.4504,=1.8234,=2.3593,,=0.1022,,=0.0433,=16
="987016",港股通红利低波,2021-11-18,,,=0.1118,=7.5971,=0.9913,=3.4544,=4.2776,=4.8358,=6.0578,=7.7483,=0.7082,=0.9894,=0.4152,=0.4834,=0.5343,=0.6197,=0.7226,=1.2474,=0.9913,=0.5827,=0.6558,=0.7836,=0.9387,=1.2728,,=0.0954,,=0.0550,=82
