指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0053,=12111.3400,=-0.0526,=5.8390,=0.7876,=3.2016,=4.0408,=5.1493,=5.8705,=7.9938,=0.5519,=0.4349,=0.3790,=0.4542,=0.5689,=0.7179,=1.0569,=2.2252,=0.8689,=1.0856,=1.4263,=1.7297,=2.0586,=2.9053,,=0.0932,,=0.0544,=63
="H11146",港股通内地金融,2010-06-02,=0.0001,=1135.6100,=0.0317,=6.4502,=0.6929,=3.2759,=4.5181,=5.8115,=6.7473,=9.2347,=0.6559,=0.4421,=0.3797,=0.4941,=0.6860,=0.8770,=1.1859,=1.6672,=0.8821,=0.6692,=0.9479,=1.2503,=1.5731,=2.1885,,=0.0965,,=0.0460,=27
="399986",中证银行,2013-07-15,=-0.0081,=7041.9100,=-0.0738,=6.6192,=0.7121,=4.1183,=5.2645,=6.2030,=6.8062,=9.0846,=0.6488,=0.3089,=0.4848,=0.5838,=0.7276,=0.9081,=1.2416,=2.5228,=0.8390,=1.4134,=1.7845,=2.1101,=2.4331,=3.3016,=0.0685,=0.0932,=0.0729,=0.0469,=9329
="930792",HK银行,2016-04-22,=0.0083,=4524.8000,=0.0273,=7.0101,=0.8579,=3.2659,=4.4448,=5.7694,=6.6828,=9.5632,=0.6491,=0.5568,=0.3905,=0.4950,=0.6205,=0.8040,=1.0771,=2.6090,=0.9515,=1.0519,=1.5141,=1.8259,=2.3007,=3.1066,,=0.0966,,=0.0499,=729
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0101,=4247.8500,=0.0565,=7.1881,=0.9546,=4.1647,=4.5985,=5.4923,=6.7392,=7.6037,=0.6832,=0.8744,=0.4381,=0.4897,=0.5784,=0.6660,=0.7227,=0.9633,=0.9546,=0.5323,=0.5896,=0.7228,=0.8974,=1.0190,,=0.1030,,=0.0564,=179
="931233",港股通央企红利,2017-06-28,=0.0056,=1200.6400,=0.0299,=7.2101,=0.7495,=3.6988,=4.9320,=6.2547,=7.4065,=14.0775,=0.6917,=0.6255,=0.3929,=0.5212,=0.6371,=0.8699,=1.8161,=0.9925,=0.5693,=0.4645,=0.6174,=0.9292,=1.4009,=1.7583,,=0.0974,,=0.0566,=343
="399809",保险主题,2015-02-13,=-0.0025,=2700.7700,=0.0123,=7.3220,=0.2920,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8242,=0.3068,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1521,=0.9390,=0.5239,=0.8689,=1.0938,=1.3498,=2.3772,=0.0826,=0.0985,=0.0781,=0.0397,=1430
="987016",港股通红利低波,2021-11-18,,,=0.0362,=7.3301,=0.9716,=3.4544,=4.2733,=4.8192,=5.9911,=7.7483,=0.6833,=0.9295,=0.4152,=0.4829,=0.5331,=0.6112,=0.7226,=1.2036,=0.9716,=0.5827,=0.6552,=0.7802,=0.9282,=1.2728,,=0.0954,,=0.0570,=63
="000018",180金融,2007-12-10,=-0.0055,=5593.0800,=-0.0585,=7.3672,=0.4535,=5.2016,=6.4237,=7.4925,=8.3000,=10.8609,=0.7847,=0.3266,=0.5902,=0.6966,=0.9011,=1.0756,=1.4199,=2.2333,=0.8320,=1.2355,=1.5826,=1.9156,=2.1715,=2.8772,=0.0787,=0.0991,=0.0776,=0.0398,=758
="H11140",香港红利,2009-07-23,=0.0015,=3764.0900,=0.0309,=7.3769,=0.7582,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7078,=0.5844,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.1895,=0.6748,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0574,=3
="000818",细分金融,2012-04-11,=-0.0045,=6988.5800,=-0.0535,=7.5069,=0.4551,=5.2356,=6.4985,=7.6824,=8.4792,=10.9951,=0.7991,=0.3237,=0.5930,=0.7010,=0.9206,=1.1017,=1.4303,=2.2921,=0.8373,=1.2689,=1.6360,=1.9665,=2.2236,=2.9111,=0.0780,=0.0967,=0.0768,=0.0388,=4
="H30106",H300金融服务,2013-05-21,=0.0059,=1604.3200,=0.0602,=7.5109,=0.7229,=4.0175,=5.3627,=6.8362,=7.7687,=11.1922,=0.7870,=0.5612,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0968,=0.9502,=0.8557,=1.1817,=1.4469,=1.8034,=2.3593,,=0.1022,,=0.0434,=15
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0075,=2904.6400,=0.0438,=7.5671,=0.9880,=3.7550,=5.0312,=5.7510,=6.5984,=7.8706,=0.7709,=0.9533,=0.4590,=0.5764,=0.6350,=0.7174,=0.8175,=1.1632,=0.9874,=0.5101,=0.6865,=0.7879,=0.8880,=1.2099,,=0.1015,,=0.0528,=251
="H30270",红利价值,2013-12-19,=-0.0005,=9416.7000,=-0.0121,=7.5728,=0.7145,=4.4543,=5.4130,=6.7156,=8.8120,=13.0955,=0.7892,=0.5860,=0.5256,=0.6472,=0.7553,=1.2640,=1.7317,=1.5276,=0.9855,=0.5854,=0.8052,=0.9895,=1.2408,=1.6166,=0.0710,=0.0973,=0.0746,=0.0452,=134
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0060,=4699.4500,=0.0518,=7.6409,=0.8772,=3.5572,=4.6224,=5.9116,=7.0525,=9.5068,=0.6774,=0.6580,=0.3828,=0.4839,=0.5721,=0.8205,=1.1073,=1.0150,=0.6307,=0.4386,=0.6439,=0.8352,=1.4353,=2.0623,,=0.0870,,=0.0567,=1295
="000914",300金融,2007-07-02,=-0.0040,=6375.4600,=-0.0510,=7.7924,=0.4975,=5.2769,=6.6035,=7.7987,=8.5959,=11.3863,=0.7961,=0.3101,=0.5962,=0.7048,=0.9414,=1.1423,=1.4919,=2.1436,=0.8563,=1.1210,=1.4313,=1.8124,=2.0546,=2.7052,=0.0752,=0.0912,=0.0734,=0.0384,=334
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0117,=1355.1600,=0.0625,=7.8060,=0.8286,=3.6777,=4.8612,=6.5799,=7.6533,=10.6953,=0.7287,=0.5942,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1468,=0.5971,=0.5013,=0.7008,=1.0618,=1.5005,=1.9871,,=0.0974,,=0.0565,=882
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0107,=2650.8900,=0.0699,=7.8889,=0.9883,=3.8979,=4.9361,=5.7852,=7.0587,=8.2018,=0.7135,=0.9164,=0.4277,=0.5146,=0.5712,=0.6615,=0.8197,=1.2149,=0.9397,=0.5333,=0.6936,=0.8630,=1.0947,=1.3442,,=0.0939,,=0.0541,=448
="000151",上国红利,2012-07-20,=0.0025,=1521.6200,=-0.0040,=7.9161,=0.8521,=4.5075,=5.3671,=6.8583,=7.5437,=10.0345,=0.7487,=0.4769,=0.5268,=0.6196,=0.7561,=0.9686,=1.3272,=1.0100,=0.3521,=0.6026,=0.8954,=1.1195,=1.3114,=1.6854,=0.0643,=0.0941,=0.0692,=0.0534,=169
="930914",港股通高股息,2016-11-25,=0.0090,=5133.0600,=0.0438,=7.9945,=0.8447,=3.4280,=4.3969,=5.8299,=7.6509,=11.1979,=0.7563,=0.7255,=0.3979,=0.4997,=0.6063,=0.8575,=1.1764,=1.2456,=0.8169,=0.5144,=0.6908,=0.9141,=1.2194,=2.2126,,=0.1031,,=0.0555,=592
="H30269",红利低波,2013-12-19,=-0.0018,=11006.1200,=-0.0208,=8.0056,=0.7385,=4.5638,=5.5488,=6.7625,=9.4763,=14.4342,=0.8402,=0.5470,=0.5386,=0.6570,=0.8017,=1.3862,=1.9670,=1.5485,=0.9708,=0.6111,=0.8850,=1.0984,=1.4109,=1.6442,=0.0719,=0.1026,=0.0729,=0.0460,=3378
="H50040",上红低波,2014-03-21,=0.0007,=10929.2000,=-0.0089,=8.0270,=0.7348,=4.6938,=5.9513,=6.9685,=9.6317,=14.3118,=0.8311,=0.4786,=0.5647,=0.6911,=0.8381,=1.3563,=1.8756,=1.5630,=0.9724,=0.6380,=0.8693,=1.2018,=1.3888,=1.6603,=0.0726,=0.1018,=0.0748,=0.0455,=313
="931157",SHS红利成长LV,2019-04-25,=0.0065,=7519.4200,=0.0087,=8.0354,=0.7200,=4.1261,=5.5578,=6.8359,=8.3577,=11.5318,=0.8196,=0.5559,=0.5154,=0.6214,=0.8035,=0.9341,=1.5888,=1.5860,=0.9907,=0.5018,=0.7012,=1.0063,=1.3465,=1.6290,,=0.1050,,=0.0492,=234
="000029",180价值,2009-01-09,=-0.0029,=4253.0200,=-0.0449,=8.0748,=0.6223,=5.6894,=6.9094,=7.8708,=8.4788,=10.8138,=0.8164,=0.2348,=0.6666,=0.8069,=0.8692,=1.0683,=1.4433,=1.0508,=0.7834,=0.6198,=0.7826,=0.9445,=1.0588,=1.4032,=0.0706,=0.0955,=0.0778,=0.0443,=550
="932596",港股通红利低波,2016-02-04,=0.0075,=4091.0300,=0.0547,=8.1061,=0.6989,=7.4451,=7.6810,=7.9307,=8.2718,=8.5745,=0.7379,=0.9677,=0.6528,=0.6766,=0.7064,=0.7192,=0.7622,=1.3241,=0.6774,=1.2161,=1.2542,=1.2954,=1.3567,=1.4099,,,,=0.0537,=42
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0038,=3777.1800,=0.0507,=8.1438,=0.9868,=4.9972,=5.5158,=5.9863,=7.3371,=8.5137,=0.7877,=0.9868,=0.5264,=0.5877,=0.6243,=0.7250,=0.8235,=0.9755,=0.9947,=0.5404,=0.5907,=0.6544,=0.8199,=1.0198,,=0.0979,,=0.0501,=102
="000934",中证金融,2009-07-03,=-0.0031,=5985.6900,=-0.0452,=8.1470,=0.5334,=5.7083,=6.8952,=8.0442,=8.8699,=11.5527,=0.8116,=0.3208,=0.6117,=0.7182,=0.9467,=1.1593,=1.5017,=2.1477,=0.8600,=1.1467,=1.4503,=1.8026,=2.0479,=2.6696,=0.0733,=0.0882,=0.0717,=0.0371,=1137
