指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0166,=12474.8986,=-0.0242,=5.9007,=0.8134,=3.2016,=4.0368,=5.1324,=5.8676,=7.9938,=0.5569,=0.4476,=0.3790,=0.4541,=0.5698,=0.7182,=1.0569,=2.2487,=0.8826,=1.0856,=1.4247,=1.7269,=2.0484,=2.9053,,=0.0932,,=0.0538,=62
="H11146",港股通内地金融,2010-06-02,=-0.0097,=1127.4000,=0.0243,=6.4549,=0.6977,=3.2759,=4.5181,=5.7934,=6.7473,=9.2347,=0.6564,=0.4404,=0.3797,=0.4941,=0.6875,=0.8770,=1.1859,=1.6685,=0.8865,=0.6692,=0.9479,=1.2468,=1.5661,=2.1885,,=0.0965,,=0.0460,=26
="930792",HK银行,2016-04-22,=-0.0045,=4408.7000,=0.0009,=6.9850,=0.8521,=3.2659,=4.4426,=5.7637,=6.6516,=9.5632,=0.6469,=0.5513,=0.3905,=0.4947,=0.6185,=0.8043,=1.0771,=2.5998,=0.9479,=1.0519,=1.5136,=1.8199,=2.2888,=3.1066,,=0.0966,,=0.0506,=722
="399986",中证银行,2013-07-15,=-0.0191,=7385.9500,=-0.0286,=7.0267,=0.8427,=4.1183,=5.2645,=6.1885,=6.8015,=9.0846,=0.6878,=0.3909,=0.4848,=0.5838,=0.7296,=0.9085,=1.2416,=2.6781,=0.9102,=1.4134,=1.7845,=2.1074,=2.4242,=3.3016,=0.0685,=0.0932,=0.0729,=0.0442,=9277
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0029,=4162.4900,=0.0353,=7.1047,=0.9567,=4.1647,=4.5830,=5.4678,=6.6898,=7.6037,=0.6752,=0.8578,=0.4381,=0.4887,=0.5768,=0.6630,=0.7227,=0.9522,=0.9567,=0.5323,=0.5876,=0.7207,=0.8922,=1.0190,,=0.1030,,=0.0571,=165
="931233",港股通央企红利,2017-06-28,=-0.0054,=1185.4900,=0.0169,=7.1590,=0.7375,=3.6988,=4.9299,=6.2432,=7.4093,=14.0775,=0.6868,=0.6167,=0.3929,=0.5207,=0.6348,=0.8715,=1.8161,=0.9855,=0.5661,=0.4645,=0.6161,=0.9255,=1.4025,=1.7583,,=0.0974,,=0.0570,=321
="987016",港股通红利低波,2021-11-18,,,=0.0149,=7.2329,=0.9712,=3.4544,=4.2724,=4.7969,=5.9024,=7.7483,=0.6742,=0.9147,=0.4152,=0.4828,=0.5320,=0.6056,=0.7226,=1.1876,=0.9712,=0.5827,=0.6550,=0.7760,=0.9126,=1.2728,,=0.0954,,=0.0578,=52
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0007,=2855.8300,=0.0263,=7.4834,=0.9828,=3.7550,=5.0303,=5.7397,=6.5784,=7.8564,=0.7624,=0.9332,=0.4590,=0.5759,=0.6342,=0.7130,=0.8175,=1.1504,=0.9841,=0.5101,=0.6858,=0.7866,=0.8840,=1.2090,,=0.1015,,=0.0534,=249
="H30106",H300金融服务,2013-05-21,=-0.0035,=1564.4600,=0.0338,=7.4871,=0.7135,=4.0175,=5.3627,=6.7963,=7.7687,=11.1922,=0.7841,=0.5539,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0933,=0.9522,=0.8557,=1.1817,=1.4437,=1.7950,=2.3593,,=0.1022,,=0.0439,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0007,=4578.3100,=0.0247,=7.5614,=0.8699,=3.5572,=4.6200,=5.9050,=7.0223,=9.5068,=0.6706,=0.6395,=0.3828,=0.4838,=0.5710,=0.8213,=1.1073,=1.0095,=0.6283,=0.4386,=0.6423,=0.8334,=1.4404,=2.0623,,=0.0870,,=0.0577,=1260
