指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0074,=12731.6600,=-0.0041,=5.9475,=0.8299,=3.2016,=4.0355,=5.1310,=5.8607,=7.9938,=0.5611,=0.4668,=0.3790,=0.4537,=0.5705,=0.7185,=1.0569,=2.2665,=0.8930,=1.0856,=1.4243,=1.7257,=2.0395,=2.9053,,=0.0932,,=0.0533,=58
="H11146",港股通内地金融,2010-06-02,=-0.0014,=1119.8372,=0.0174,=6.4379,=0.6921,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6547,=0.4372,=0.3797,=0.4941,=0.6891,=0.8776,=1.1859,=1.6640,=0.8837,=0.6692,=0.9479,=1.2460,=1.5629,=2.1885,,=0.0965,,=0.0461,=24
="930792",HK银行,2016-04-22,=-0.0116,=4409.6700,=0.0011,=7.0006,=0.8567,=3.2659,=4.4424,=5.7584,=6.6414,=9.5632,=0.6484,=0.5545,=0.3905,=0.4944,=0.6168,=0.8055,=1.0771,=2.6056,=0.9524,=1.0519,=1.5133,=1.8175,=2.2843,=3.1066,,=0.0966,,=0.0505,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0048,=4056.8100,=0.0090,=7.0501,=0.9484,=4.1647,=4.5803,=5.4576,=6.5982,=7.6037,=0.6701,=0.8406,=0.4381,=0.4887,=0.5765,=0.6615,=0.7227,=0.9448,=0.9500,=0.5323,=0.5875,=0.7197,=0.8877,=1.0190,,=0.1030,,=0.0575,=159
="931233",港股通央企红利,2017-06-28,=-0.0031,=1174.1900,=0.0072,=7.1493,=0.7348,=3.6988,=4.9297,=6.2369,=7.4145,=14.0775,=0.6859,=0.6150,=0.3929,=0.5205,=0.6343,=0.8721,=1.8161,=0.9841,=0.5652,=0.4645,=0.6151,=0.9241,=1.4032,=1.7583,,=0.0974,,=0.0571,=309
="987016",港股通红利低波,2021-11-18,,,=0.0119,=7.1610,=0.9670,=3.4544,=4.2692,=4.7733,=5.8529,=7.7483,=0.6675,=0.9041,=0.4152,=0.4826,=0.5314,=0.6029,=0.7226,=1.1758,=0.9660,=0.5827,=0.6535,=0.7750,=0.8994,=1.2728,,=0.0954,,=0.0584,=42
="399986",中证银行,2013-07-15,=-0.0034,=7577.0500,=-0.0034,=7.1875,=0.8810,=4.1183,=5.2645,=6.1807,=6.7941,=9.0846,=0.7029,=0.4135,=0.4848,=0.5838,=0.7301,=0.9092,=1.2416,=2.7394,=0.9411,=1.4134,=1.7845,=2.1074,=2.4205,=3.3016,=0.0685,=0.0932,=0.0729,=0.0432,=9259
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0062,=2801.7100,=0.0068,=7.4230,=0.9751,=3.7550,=5.0299,=5.7328,=6.5699,=7.8564,=0.7562,=0.9130,=0.4590,=0.5759,=0.6338,=0.7102,=0.8175,=1.1411,=0.9827,=0.5101,=0.6858,=0.7862,=0.8818,=1.2090,,=0.1015,,=0.0539,=246
="H30106",H300金融服务,2013-05-21,=0.0007,=1546.2976,=0.0218,=7.4462,=0.6969,=4.0175,=5.3627,=6.7803,=7.7687,=11.1922,=0.7798,=0.5462,=0.4470,=0.5779,=0.7482,=0.9083,=1.2489,=2.0819,=0.9489,=0.8557,=1.1817,=1.4422,=1.7902,=2.3593,,=0.1022,,=0.0442,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0059,=4481.5500,=0.0030,=7.4744,=0.8634,=3.5572,=4.6191,=5.9039,=7.0053,=9.5068,=0.6629,=0.6327,=0.3828,=0.4838,=0.5697,=0.8224,=1.1073,=0.9979,=0.6214,=0.4386,=0.6410,=0.8320,=1.4424,=2.0623,,=0.0870,,=0.0584,=1236
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0108,=1275.9000,=0.0003,=7.6520,=0.8050,=3.6777,=4.8612,=6.5434,=7.6114,=10.6953,=0.7144,=0.5626,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1292,=0.5784,=0.5013,=0.7008,=1.0566,=1.5005,=1.9871,,=0.0974,,=0.0579,=867
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0096,=2489.3900,=0.0047,=7.6545,=0.9678,=3.8979,=4.9336,=5.7584,=7.0216,=8.1550,=0.6923,=0.8765,=0.4277,=0.5143,=0.5705,=0.6588,=0.8197,=1.1788,=0.9251,=0.5333,=0.6926,=0.8602,=1.0896,=1.3442,,=0.0939,,=0.0557,=433
="930914",港股通高股息,2016-11-25,=-0.0132,=4901.8700,=-0.0032,=7.7571,=0.8223,=3.4280,=4.3884,=5.8101,=7.5975,=11.1979,=0.7338,=0.6873,=0.3979,=0.4989,=0.6045,=0.8594,=1.1764,=1.2081,=0.7947,=0.5144,=0.6884,=0.9125,=1.2174,=2.2126,,=0.1031,,=0.0572,=554
="HSCSOE",恒生中国央企指数,2023-01-01,=-0.0039,=3660.3400,=0.0182,=7.8515,=0.9581,=4.9972,=5.5017,=5.9513,=6.9989,=8.3212,=0.7576,=0.9215,=0.5264,=0.5853,=0.6236,=0.7060,=0.8025,=0.8998,=0.9648,=0.5404,=0.5903,=0.6516,=0.7815,=0.9532,,=0.0979,,=0.0518,=96
="932596",港股通红利低波,2016-02-04,=-0.0110,=3887.8600,=0.0023,=7.8765,=0.4583,=7.4451,=7.5604,=7.9379,=8.3001,=8.5745,=0.7170,=0.8889,=0.6528,=0.6630,=0.6979,=0.7100,=0.7309,=1.2861,=0.4583,=1.2161,=1.2350,=1.2964,=1.3647,=1.4099,,,,=0.0553,=30
="399809",保险主题,2015-02-13,=0.0545,=2813.2600,=0.0545,=7.8931,=0.3320,=5.4537,=6.8119,=10.6683,=15.0228,=22.8725,=0.8872,=0.3472,=0.6352,=0.7669,=1.2336,=1.4853,=1.9794,=2.3199,=0.9872,=0.5239,=0.8689,=1.0929,=1.3150,=2.3772,=0.0826,=0.0985,=0.0781,=0.0368,=1406
="000018",180金融,2007-12-10,=0.0146,=6027.2900,=0.0146,=7.9336,=0.6804,=5.2016,=6.4226,=7.4760,=8.3000,=10.8609,=0.8433,=0.4143,=0.5902,=0.6966,=0.9176,=1.0781,=1.4199,=2.4050,=0.9238,=1.2355,=1.5826,=1.9104,=2.1579,=2.8772,=0.0787,=0.0991,=0.0776,=0.0370,=756
="H30270",红利价值,2013-12-19,=0.0009,=9541.2518,=0.0009,=7.9555,=0.7693,=4.4543,=5.4037,=6.7082,=8.8486,=13.0955,=0.8272,=0.6464,=0.5256,=0.6470,=0.7537,=1.2672,=1.7317,=1.6047,=0.9986,=0.5854,=0.8034,=0.9867,=1.2288,=1.6166,=0.0710,=0.0973,=0.0746,=0.0430,=123
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=-0.0104,=4649.5600,=0.0011,=8.0258,=0.9516,=4.2457,=4.6737,=5.6242,=7.3239,=8.5630,=0.7362,=0.9047,=0.4429,=0.4936,=0.5698,=0.7005,=0.7859,=1.0401,=0.9313,=0.6036,=0.6670,=0.8592,=0.9758,=1.1099,,=0.0975,,=0.0609,=61
="000818",细分金融,2012-04-11,=0.0150,=7494.1700,=0.0150,=8.0643,=0.6483,=5.2356,=6.4985,=7.6677,=8.4792,=10.9951,=0.8567,=0.4143,=0.5930,=0.7010,=0.9330,=1.1040,=1.4303,=2.4622,=0.9189,=1.2689,=1.6360,=1.9651,=2.2132,=2.9111,=0.0780,=0.0967,=0.0768,=0.0362,=4
="931157",SHS红利成长LV,2019-04-25,=0.0039,=7493.5700,=0.0053,=8.0983,=0.7336,=4.1261,=5.5481,=6.8209,=8.3755,=11.5318,=0.8242,=0.5728,=0.5154,=0.6209,=0.8010,=0.9385,=1.5888,=1.5991,=0.9988,=0.5018,=0.6991,=0.9827,=1.3315,=1.6069,,=0.1050,,=0.0488,=216
="000151",上国红利,2012-07-20,=0.0004,=1528.3000,=0.0004,=8.3206,=0.9493,=4.5075,=5.3671,=6.8295,=7.5145,=10.0345,=0.7862,=0.5400,=0.5268,=0.6196,=0.7569,=0.9709,=1.3272,=1.0616,=0.4415,=0.6026,=0.8954,=1.1280,=1.3127,=1.6854,=0.0643,=0.0941,=0.0692,=0.0510,=158
="000914",300金融,2007-07-02,=0.0150,=6818.6100,=0.0150,=8.3585,=0.6965,=5.2769,=6.6035,=7.7807,=8.5959,=11.3863,=0.8523,=0.3991,=0.5962,=0.7048,=0.9543,=1.1461,=1.4919,=2.2994,=0.9403,=1.1210,=1.4313,=1.8124,=2.0443,=2.7052,=0.0752,=0.0912,=0.0734,=0.0358,=333
="H30269",红利低波,2013-12-19,=-0.0004,=11235.1817,=-0.0004,=8.4419,=0.7858,=4.5638,=5.5488,=6.7467,=9.4763,=14.4342,=0.8841,=0.5927,=0.5386,=0.6570,=0.8017,=1.3862,=1.9670,=1.6329,=0.9988,=0.6111,=0.8850,=1.0984,=1.4087,=1.6442,=0.0719,=0.1026,=0.0729,=0.0436,=3169
="000029",180价值,2009-01-09,=0.0096,=4496.1400,=0.0096,=8.4434,=0.7887,=5.6894,=6.9094,=7.8628,=8.4788,=10.8138,=0.8522,=0.4201,=0.6666,=0.8069,=0.8719,=1.0702,=1.4433,=1.0988,=0.8913,=0.6198,=0.7826,=0.9442,=1.0556,=1.4032,=0.0706,=0.0955,=0.0778,=0.0424,=548
="H50040",上红低波,2014-03-21,=-0.0003,=11023.2700,=-0.0003,=8.4633,=0.7928,=4.6938,=5.9513,=6.9470,=9.6317,=14.3118,=0.8745,=0.5737,=0.5647,=0.6911,=0.8387,=1.3563,=1.8756,=1.6479,=0.9988,=0.6380,=0.8693,=1.2018,=1.3863,=1.6603,=0.0726,=0.1018,=0.0748,=0.0431,=306
="000015",红利指数,2005-01-04,=-0.0004,=3036.4000,=-0.0004,=8.4809,=0.9213,=4.6646,=5.5109,=7.0898,=7.9120,=10.4439,=0.8432,=0.5914,=0.5525,=0.6399,=0.7661,=1.0229,=1.3875,=1.4427,=0.9370,=0.7277,=0.8915,=1.1052,=1.3052,=1.6890,=0.0663,=0.0968,=0.0697,=0.0450,=13938
="000922",中证红利,2008-05-26,=0.0038,=5525.1200,=0.0038,=8.4978,=0.7949,=5.1762,=6.0261,=7.6522,=8.5303,=11.2156,=0.8606,=0.4885,=0.5911,=0.7113,=0.8710,=1.1125,=1.4999,=1.2682,=0.8859,=0.6332,=0.7731,=1.0380,=1.1981,=1.7101,=0.0685,=0.0960,=0.0701,=0.0456,=19205
="931024",港股通非银,2017-11-06,=0.0239,=4531.9300,=0.0555,=8.6609,=0.1802,=6.7549,=8.8345,=11.5189,=13.4092,=22.4310,=1.2442,=0.8421,=0.6237,=0.8432,=1.0374,=1.2203,=1.7592,=1.4651,=0.9772,=0.5870,=0.8701,=1.0001,=1.1822,=2.2002,,=0.1307,,=0.0295,=147
="000934",中证金融,2009-07-03,=0.0146,=6360.9000,=0.0146,=8.6749,=0.7315,=5.7083,=6.8952,=8.0183,=8.8699,=11.5527,=0.8639,=0.3991,=0.6117,=0.7182,=0.9583,=1.1624,=1.5017,=2.2869,=0.9473,=1.1467,=1.4503,=1.8026,=2.0432,=2.6696,=0.0733,=0.0882,=0.0717,=0.0348,=1131
="931130",红利成长低波,2018-12-04,=0.0010,=23737.6400,=0.0010,=8.7017,=0.7870,=4.4465,=5.5476,=7.5962,=8.7652,=11.5512,=0.8877,=0.4249,=0.5279,=0.6220,=0.9093,=1.0371,=1.5803,=1.9400,=0.8038,=0.3109,=0.8091,=1.3014,=1.9140,=2.5957,=0.0669,=0.1158,=0.0589,=0.0429,=108
="000821",300红利,2012-07-20,=-0.0003,=6670.3500,=-0.0003,=8.7122,=0.8731,=4.9998,=6.1945,=7.5480,=8.3157,=10.9286,=0.8860,=0.5045,=0.5725,=0.7149,=0.8840,=1.0828,=1.4919,=1.4185,=0.9390,=0.6098,=0.7997,=1.0570,=1.2722,=1.6963,=0.0718,=0.0978,=0.0729,=0.0453,=951
="931446",东证红利低波,2020-04-21,=0.0034,=3454.5300,=0.0034,=8.7685,=0.8843,=5.1478,=6.1460,=6.9154,=8.5384,=11.0216,=0.8662,=0.7663,=0.5884,=0.6904,=0.7528,=0.8803,=1.2481,=1.5908,=0.9970,=0.5909,=0.7482,=0.8638,=1.1951,=1.5952,=0.0722,=0.0935,=0.0745,=0.0427,=598
="000824",国企红利,2012-07-20,=0.0010,=2123.1500,=0.0010,=8.7828,=0.9106,=4.8847,=5.9432,=7.3206,=8.2047,=10.7823,=0.8790,=0.5671,=0.5610,=0.6881,=0.8282,=1.0608,=1.4469,=1.2929,=0.8707,=0.5370,=0.7018,=0.9868,=1.2122,=1.6834,=0.0703,=0.0950,=0.0723,=0.0462,=880
