指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0119,=12402.9800,=-0.0298,=5.9919,=0.8472,=3.2016,=4.0441,=5.1557,=5.8784,=7.9938,=0.5668,=0.4957,=0.3790,=0.4547,=0.5687,=0.7170,=1.0569,=2.2834,=0.9021,=1.0856,=1.4264,=1.7313,=2.0625,=2.9053,,=0.0932,,=0.0530,=66
="H11146",港股通内地金融,2010-06-02,=-0.0058,=1160.8100,=0.0546,=6.6072,=0.7560,=3.2759,=4.5181,=5.8246,=6.7473,=9.2347,=0.6719,=0.4727,=0.3797,=0.4941,=0.6853,=0.8770,=1.1859,=1.7078,=0.9207,=0.6692,=0.9479,=1.2532,=1.5783,=2.1885,,=0.0965,,=0.0449,=26
="399986",中证银行,2013-07-15,=-0.0139,=7169.1400,=-0.0571,=6.6928,=0.7501,=4.1183,=5.2696,=6.2077,=6.8062,=9.0846,=0.6566,=0.3263,=0.4848,=0.5840,=0.7273,=0.9081,=1.2416,=2.5508,=0.8504,=1.4134,=1.7856,=2.1118,=2.4351,=3.3016,=0.0685,=0.0932,=0.0729,=0.0464,=9353
="930792",HK银行,2016-04-22,=-0.0057,=4620.5600,=0.0490,=7.1845,=0.8905,=3.2659,=4.4454,=5.7708,=6.6913,=9.5632,=0.6652,=0.5874,=0.3905,=0.4953,=0.6210,=0.8039,=1.0771,=2.6780,=0.9727,=1.0519,=1.5142,=1.8274,=2.3090,=3.1066,,=0.0966,,=0.0487,=731
="399809",保险主题,2015-02-13,=-0.0147,=2689.6100,=0.0081,=7.3524,=0.2955,=5.4537,=6.8144,=10.6368,=15.0172,=22.8725,=0.8277,=0.3074,=0.6352,=0.7670,=1.2296,=1.4851,=1.9794,=2.1611,=0.9396,=0.5239,=0.8692,=1.0955,=1.3559,=2.3772,=0.0826,=0.0985,=0.0781,=0.0395,=1437
="000018",180金融,2007-12-10,=-0.0124,=5655.1500,=-0.0480,=7.4228,=0.4735,=5.2016,=6.4273,=7.4929,=8.2988,=10.8609,=0.7914,=0.3461,=0.5902,=0.6967,=0.8999,=1.0753,=1.4199,=2.2501,=0.8401,=1.2355,=1.5828,=1.9172,=2.1768,=2.8772,=0.0783,=0.0991,=0.0776,=0.0395,=758
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0062,=4457.2600,=0.1086,=7.4446,=0.9880,=4.1647,=4.6004,=5.5083,=6.7642,=7.6037,=0.7075,=0.9805,=0.4381,=0.4910,=0.5791,=0.6671,=0.7227,=0.9982,=0.9880,=0.5323,=0.5900,=0.7235,=0.9004,=1.0190,,=0.0921,,=0.0545,=181
="931233",港股通央企红利,2017-06-28,=0.0032,=1252.0700,=0.0740,=7.4661,=0.8153,=3.6988,=4.9339,=6.2600,=7.4099,=14.0775,=0.7163,=0.6650,=0.3929,=0.5212,=0.6380,=0.8696,=1.8161,=1.0282,=0.5892,=0.4645,=0.6176,=0.9319,=1.4009,=1.7583,,=0.0974,,=0.0546,=359
="000818",细分金融,2012-04-11,=-0.0121,=7060.1100,=-0.0438,=7.5621,=0.4686,=5.2356,=6.4991,=7.6820,=8.4782,=10.9951,=0.8057,=0.3432,=0.5930,=0.7012,=0.9193,=1.1014,=1.4303,=2.3089,=0.8455,=1.2689,=1.6361,=1.9679,=2.2267,=2.9111,=0.0780,=0.0967,=0.0768,=0.0386,=4
="987016",港股通红利低波,2021-11-18,,,=0.1017,=7.6017,=0.9932,=3.4544,=4.2765,=4.8282,=6.0365,=7.7483,=0.7087,=0.9913,=0.4152,=0.4834,=0.5339,=0.6180,=0.7226,=1.2482,=0.9932,=0.5827,=0.6557,=0.7833,=0.9320,=1.2728,,=0.0954,,=0.0550,=74
