指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0113,=12227.1600,=-0.0435,=5.9064,=0.8165,=3.2016,=4.0408,=5.1467,=5.8705,=7.9938,=0.5582,=0.4576,=0.3790,=0.4542,=0.5693,=0.7179,=1.0569,=2.2509,=0.8823,=1.0856,=1.4263,=1.7293,=2.0548,=2.9053,,=0.0932,,=0.0537,=63
="H11146",港股通内地金融,2010-06-02,=-0.0186,=1154.6600,=0.0490,=6.5517,=0.7371,=3.2759,=4.5181,=5.8093,=6.7473,=9.2347,=0.6662,=0.4638,=0.3797,=0.4941,=0.6861,=0.8770,=1.1859,=1.6935,=0.9085,=0.6692,=0.9479,=1.2492,=1.5722,=2.1885,,=0.0965,,=0.0453,=27
="399986",中证银行,2013-07-15,=-0.0039,=7088.9800,=-0.0676,=6.6751,=0.7415,=4.1183,=5.2645,=6.2008,=6.8062,=9.0846,=0.6543,=0.3207,=0.4848,=0.5838,=0.7279,=0.9081,=1.2416,=2.5441,=0.8485,=1.4134,=1.7845,=2.1097,=2.4312,=3.3016,=0.0685,=0.0932,=0.0729,=0.0466,=9314
="930792",HK银行,2016-04-22,=-0.0163,=4535.2700,=0.0297,=7.0569,=0.8673,=3.2659,=4.4442,=5.7693,=6.6805,=9.5632,=0.6534,=0.5676,=0.3905,=0.4948,=0.6202,=0.8041,=1.0771,=2.6264,=0.9581,=1.0519,=1.5140,=1.8254,=2.2994,=3.1066,,=0.0966,,=0.0496,=728
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0213,=4321.1500,=0.0747,=7.3529,=0.9833,=4.1647,=4.5985,=5.4905,=6.7317,=7.6037,=0.6988,=0.9454,=0.4381,=0.4897,=0.5781,=0.6649,=0.7227,=0.9854,=0.9833,=0.5323,=0.5896,=0.7226,=0.8967,=1.0190,,=0.1030,,=0.0552,=177
="931233",港股通央企红利,2017-06-28,=-0.0144,=1221.9100,=0.0481,=7.3667,=0.7901,=3.6988,=4.9316,=6.2530,=7.4093,=14.0775,=0.7067,=0.6519,=0.3929,=0.5211,=0.6371,=0.8705,=1.8161,=1.0141,=0.5825,=0.4645,=0.6166,=0.9291,=1.4022,=1.7583,,=0.0974,,=0.0554,=341
="399809",保险主题,2015-02-13,=-0.0121,=2754.6700,=0.0325,=7.4159,=0.2993,=5.4537,=6.8119,=10.6422,=15.0228,=22.8725,=0.8348,=0.3088,=0.6352,=0.7669,=1.2298,=1.4853,=1.9794,=2.1797,=0.9444,=0.5239,=0.8689,=1.0934,=1.3489,=2.3772,=0.0826,=0.0985,=0.0781,=0.0392,=1427
="000018",180金融,2007-12-10,=-0.0081,=5645.5000,=-0.0496,=7.4493,=0.4837,=5.2016,=6.4226,=7.4921,=8.3000,=10.8609,=0.7934,=0.3508,=0.5902,=0.6966,=0.9021,=1.0756,=1.4199,=2.2582,=0.8481,=1.2355,=1.5826,=1.9148,=2.1713,=2.8772,=0.0787,=0.0991,=0.0776,=0.0394,=758
="987016",港股通红利低波,2021-11-18,=-0.0172,=1574.1877,=0.0552,=7.4912,=0.9882,=3.4544,=4.2733,=4.8129,=5.9858,=7.7483,=0.6984,=0.9755,=0.4152,=0.4829,=0.5330,=0.6097,=0.7226,=1.2300,=0.9882,=0.5827,=0.6552,=0.7794,=0.9274,=1.2728,,=0.0954,,=0.0558,=61
="H11140",香港红利,2009-07-23,=-0.0224,=3852.1200,=0.0550,=7.5496,=0.7721,=3.0693,=4.4554,=5.9845,=8.4154,=13.9623,=0.7244,=0.6138,=0.3833,=0.5103,=0.6299,=0.8659,=1.1652,=1.2173,=0.6907,=0.5431,=0.7464,=0.9728,=1.6121,=2.1349,,=0.0987,,=0.0561,=2
