指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0040,=12534.9600,=-0.0195,=5.8560,=0.7966,=3.2016,=4.0357,=5.1312,=5.8656,=7.9938,=0.5525,=0.4361,=0.3790,=0.4537,=0.5702,=0.7183,=1.0569,=2.2316,=0.8756,=1.0856,=1.4245,=1.7264,=2.0446,=2.9053,,=0.0932,,=0.0542,=61
="H11146",港股通内地金融,2010-06-02,=0.0003,=1119.5200,=0.0171,=6.4115,=0.6792,=3.2759,=4.5181,=5.7849,=6.7473,=9.2347,=0.6520,=0.4326,=0.3797,=0.4941,=0.6884,=0.8770,=1.1859,=1.6572,=0.8748,=0.6692,=0.9479,=1.2460,=1.5651,=2.1885,,=0.0965,,=0.0463,=26
="930792",HK银行,2016-04-22,=0.0007,=4346.9900,=-0.0131,=6.8968,=0.8381,=3.2659,=4.4424,=5.7618,=6.6485,=9.5632,=0.6388,=0.5369,=0.3905,=0.4944,=0.6178,=0.8055,=1.0771,=2.5670,=0.9266,=1.0519,=1.5133,=1.8190,=2.2880,=3.1066,,=0.0966,,=0.0513,=722
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0054,=4115.5500,=0.0236,=7.0087,=0.9317,=4.1647,=4.5830,=5.4634,=6.6596,=7.6037,=0.6661,=0.8230,=0.4381,=0.4887,=0.5765,=0.6623,=0.7227,=0.9393,=0.9363,=0.5323,=0.5876,=0.7200,=0.8901,=1.0190,,=0.1030,,=0.0579,=164
="399986",中证银行,2013-07-15,=-0.0043,=7460.6500,=-0.0187,=7.0524,=0.8493,=4.1183,=5.2645,=6.1828,=6.7979,=9.0846,=0.6897,=0.3932,=0.4848,=0.5838,=0.7298,=0.9089,=1.2416,=2.6879,=0.9160,=1.4134,=1.7845,=2.1074,=2.4222,=3.3016,=0.0685,=0.0932,=0.0729,=0.0441,=9267
="931233",港股通央企红利,2017-06-28,=0.0033,=1181.2000,=0.0132,=7.0864,=0.7102,=3.6988,=4.9297,=6.2403,=7.4099,=14.0775,=0.6798,=0.5997,=0.3929,=0.5205,=0.6345,=0.8719,=1.8161,=0.9755,=0.5600,=0.4645,=0.6157,=0.9248,=1.4030,=1.7583,,=0.0974,,=0.0576,=320
="987016",港股通红利低波,2021-11-18,=0.0022,=1503.3381,=0.0077,=7.1217,=0.9602,=3.4544,=4.2713,=4.7918,=5.8843,=7.7483,=0.6638,=0.8935,=0.4152,=0.4827,=0.5319,=0.6043,=0.7226,=1.1694,=0.9592,=0.5827,=0.6538,=0.7757,=0.9063,=1.2728,,=0.0954,,=0.0587,=46
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0055,=2831.7300,=0.0176,=7.4019,=0.9707,=3.7550,=5.0303,=5.7377,=6.5744,=7.8564,=0.7541,=0.9037,=0.4590,=0.5759,=0.6341,=0.7110,=0.8175,=1.1379,=0.9796,=0.5101,=0.6858,=0.7864,=0.8826,=1.2090,,=0.1015,,=0.0540,=248
="H30106",H300金融服务,2013-05-21,=0.0014,=1547.5200,=0.0226,=7.4230,=0.6865,=4.0175,=5.3627,=6.7885,=7.7687,=11.1922,=0.7774,=0.5435,=0.4470,=0.5779,=0.7487,=0.9081,=1.2489,=2.0754,=0.9457,=0.8557,=1.1817,=1.4425,=1.7922,=2.3593,,=0.1022,,=0.0443,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0050,=4552.8400,=0.0190,=7.4445,=0.8589,=3.5572,=4.6198,=5.9047,=7.0063,=9.5068,=0.6602,=0.6268,=0.3828,=0.4838,=0.5704,=0.8215,=1.1073,=0.9939,=0.6179,=0.4386,=0.6413,=0.8327,=1.4414,=2.0623,,=0.0870,,=0.0586,=1251
