指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0017,=12783.8200,=0.0960,=5.9927,=0.8478,=3.2016,=4.0355,=5.1288,=5.8603,=7.9938,=0.5653,=0.4858,=0.3790,=0.4537,=0.5707,=0.7185,=1.0569,=2.2837,=0.9036,=1.0856,=1.4243,=1.7256,=2.0375,=2.9053,,=0.0932,,=0.0529,=59
="H11146",港股通内地金融,2010-06-02,=-0.0053,=1100.6900,=0.2904,=6.3703,=0.6633,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6478,=0.4271,=0.3797,=0.4941,=0.6893,=0.8779,=1.1859,=1.6466,=0.8675,=0.6692,=0.9479,=1.2460,=1.5626,=2.1885,,=0.0965,,=0.0449,=24
="930792",HK银行,2016-04-22,=-0.0030,=4404.6280,=0.3499,=7.0285,=0.8624,=3.2659,=4.4412,=5.7554,=6.6404,=9.5632,=0.6510,=0.5596,=0.3905,=0.4944,=0.6165,=0.8060,=1.0771,=2.6160,=0.9561,=1.0519,=1.5130,=1.8174,=2.2843,=3.1066,,=0.0966,,=0.0484,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0033,=4020.7500,=0.2476,=7.0638,=0.9561,=4.1647,=4.5803,=5.4553,=6.5878,=7.6037,=0.6714,=0.8464,=0.4381,=0.4887,=0.5764,=0.6609,=0.7227,=0.9467,=0.9561,=0.5323,=0.5875,=0.7192,=0.8853,=1.0190,,=0.1030,,=0.0574,=157
="931233",港股通央企红利,2017-06-28,=-0.0020,=1165.8300,=0.1799,=7.1701,=0.7405,=3.6988,=4.9297,=6.2362,=7.4145,=14.0775,=0.6879,=0.6183,=0.3929,=0.5205,=0.6340,=0.8721,=1.8161,=0.9870,=0.5661,=0.4645,=0.6151,=0.9236,=1.4032,=1.7583,,=0.0974,,=0.0555,=305
="987016",港股通红利低波,2021-11-18,,,=0.2141,=7.2039,=0.9720,=3.4544,=4.2692,=4.7686,=5.8353,=7.7483,=0.6715,=0.9149,=0.4152,=0.4826,=0.5312,=0.6022,=0.7226,=1.1829,=0.9720,=0.5827,=0.6535,=0.7746,=0.8979,=1.2728,,=0.0954,,=0.0580,=38
="399986",中证银行,2013-07-15,=0.0010,=7603.1900,=0.0679,=7.2446,=0.9070,=4.1183,=5.2645,=6.1828,=6.7917,=9.0846,=0.7085,=0.4261,=0.4848,=0.5838,=0.7302,=0.9103,=1.2416,=2.7612,=0.9522,=1.4134,=1.7845,=2.1074,=2.4199,=3.3016,=0.0685,=0.0932,=0.0729,=0.0429,=9252
="H30106",H300金融服务,2013-05-21,=-0.0069,=1513.2500,=0.3689,=7.3463,=0.6613,=4.0175,=5.3627,=6.7665,=7.7687,=11.1922,=0.7694,=0.5288,=0.4470,=0.5779,=0.7482,=0.9086,=1.2489,=2.0540,=0.9368,=0.8557,=1.1817,=1.4422,=1.7896,=2.3593,,=0.1022,,=0.0433,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0060,=2782.7400,=0.2293,=7.3937,=0.9731,=3.7550,=5.0288,=5.7285,=6.5595,=7.8564,=0.7532,=0.9020,=0.4590,=0.5758,=0.6338,=0.7101,=0.8175,=1.1366,=0.9821,=0.5101,=0.6856,=0.7854,=0.8807,=1.2090,,=0.1015,,=0.0529,=246
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0026,=4468.0400,=0.1897,=7.5006,=0.8665,=3.5572,=4.6191,=5.9026,=7.0044,=9.5068,=0.6652,=0.6347,=0.3828,=0.4838,=0.5696,=0.8224,=1.1073,=1.0014,=0.6230,=0.4386,=0.6410,=0.8317,=1.4424,=2.0623,,=0.0870,,=0.0582,=1235
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0072,=2477.7300,=0.2020,=7.6469,=0.9678,=3.8979,=4.9336,=5.7556,=7.0186,=8.1550,=0.6916,=0.8750,=0.4277,=0.5143,=0.5702,=0.6585,=0.8197,=1.1776,=0.9250,=0.5333,=0.6926,=0.8601,=1.0892,=1.3442,,=0.0939,,=0.0557,=433
