指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0041,=12163.5100,=-0.0485,=5.9363,=0.8279,=3.2016,=4.0408,=5.1450,=5.8686,=7.9938,=0.5610,=0.4692,=0.3790,=0.4542,=0.5695,=0.7179,=1.0569,=2.2622,=0.8914,=1.0856,=1.4263,=1.7290,=2.0528,=2.9053,,=0.0932,,=0.0535,=62
="H11146",港股通内地金融,2010-06-02,=0.0232,=1156.9300,=0.0511,=6.5852,=0.7504,=3.2759,=4.5181,=5.8066,=6.7473,=9.2347,=0.6696,=0.4680,=0.3797,=0.4941,=0.6862,=0.8770,=1.1859,=1.7021,=0.9161,=0.6692,=0.9479,=1.2486,=1.5716,=2.1885,,=0.0965,,=0.0451,=28
="399986",中证银行,2013-07-15,=-0.0062,=7007.5300,=-0.0783,=6.6441,=0.7294,=4.1183,=5.2645,=6.1989,=6.8062,=9.0846,=0.6512,=0.3159,=0.4848,=0.5838,=0.7279,=0.9081,=1.2416,=2.5323,=0.8435,=1.4134,=1.7845,=2.1092,=2.4302,=3.3016,=0.0685,=0.0932,=0.0729,=0.0468,=9306
="930792",HK银行,2016-04-22,=0.0237,=4573.2400,=0.0383,=7.2131,=0.8963,=3.2659,=4.4442,=5.7692,=6.6783,=9.5632,=0.6681,=0.5929,=0.3905,=0.4948,=0.6201,=0.8041,=1.0771,=2.6882,=0.9755,=1.0519,=1.5140,=1.8239,=2.2982,=3.1066,,=0.0966,,=0.0490,=729
="399809",保险主题,2015-02-13,=-0.0030,=2693.7700,=0.0097,=7.3531,=0.2957,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8277,=0.3077,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1612,=0.9436,=0.5239,=0.8689,=1.0931,=1.3466,=2.3772,=0.0826,=0.0985,=0.0781,=0.0395,=1424
="000018",180金融,2007-12-10,=-0.0055,=5573.8400,=-0.0617,=7.3919,=0.4629,=5.2016,=6.4226,=7.4917,=8.3000,=10.8609,=0.7873,=0.3324,=0.5902,=0.6966,=0.9026,=1.0756,=1.4199,=2.2408,=0.8386,=1.2355,=1.5826,=1.9138,=2.1708,=2.8772,=0.0787,=0.0991,=0.0776,=0.0397,=758
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0262,=4348.5000,=0.0815,=7.4226,=0.9909,=4.1647,=4.5946,=5.4890,=6.7303,=7.6037,=0.7055,=0.9802,=0.4381,=0.4893,=0.5776,=0.6647,=0.7227,=0.9948,=0.9909,=0.5323,=0.5895,=0.7223,=0.8965,=1.0190,,=0.1030,,=0.0547,=174
="931233",港股通央企红利,2017-06-28,=0.0234,=1226.6300,=0.0521,=7.4329,=0.8090,=3.6988,=4.9316,=6.2512,=7.4065,=14.0775,=0.7131,=0.6611,=0.3929,=0.5211,=0.6362,=0.8705,=1.8161,=1.0232,=0.5876,=0.4645,=0.6166,=0.9286,=1.4022,=1.7583,,=0.0974,,=0.0549,=339
="000818",细分金融,2012-04-11,=-0.0055,=6973.0700,=-0.0556,=7.5351,=0.4646,=5.2356,=6.4985,=7.6824,=8.4792,=10.9951,=0.8021,=0.3328,=0.5930,=0.7010,=0.9219,=1.1017,=1.4303,=2.3007,=0.8447,=1.2689,=1.6360,=1.9653,=2.2212,=2.9111,=0.0780,=0.0967,=0.0768,=0.0387,=4
="987016",港股通红利低波,2021-11-18,,,=0.0309,=7.5833,=0.9941,=3.4544,=4.2733,=4.8124,=5.9736,=7.7483,=0.7069,=0.9912,=0.4152,=0.4829,=0.5329,=0.6080,=0.7226,=1.2451,=0.9941,=0.5827,=0.6552,=0.7783,=0.9268,=1.2728,,=0.0954,,=0.0551,=58
="H11140",香港红利,2009-07-23,=0.0356,=3900.0600,=0.0681,=7.6426,=0.7744,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7333,=0.6258,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2323,=0.7007,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0554,=0
="H30270",红利价值,2013-12-19,=0.0081,=9500.5900,=-0.0033,=7.6530,=0.7330,=4.4543,=5.4101,=6.7138,=8.8354,=13.0955,=0.7976,=0.6034,=0.5256,=0.6471,=0.7549,=1.2647,=1.7317,=1.5437,=0.9891,=0.5854,=0.8052,=0.9890,=1.2402,=1.6166,=0.0710,=0.0973,=0.0746,=0.0447,=133
="H30106",H300金融服务,2013-05-21,=0.0244,=1623.7700,=0.0730,=7.6994,=0.7816,=4.0175,=5.3627,=6.8255,=7.7687,=11.1922,=0.8063,=0.5920,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1543,=0.9656,=0.8557,=1.1817,=1.4459,=1.8020,=2.3593,,=0.1022,,=0.0427,=15
