指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0138,=12087.2600,=-0.0545,=5.7725,=0.7544,=3.2016,=4.0486,=5.1623,=5.8838,=7.9938,=0.5460,=0.4096,=0.3790,=0.4549,=0.5675,=0.7168,=1.0569,=2.1998,=0.8494,=1.0856,=1.4272,=1.7343,=2.0750,=2.9053,,=0.0932,,=0.0550,=74
="H11146",港股通内地金融,2010-06-02,=-0.0216,=1078.1400,=-0.0205,=6.1512,=0.5578,=3.2759,=4.5177,=5.8480,=6.7500,=9.2347,=0.6255,=0.4013,=0.3797,=0.4938,=0.6839,=0.8774,=1.1859,=1.5899,=0.8046,=0.6692,=0.9478,=1.2607,=1.5834,=2.1885,,=0.0965,,=0.0482,=30
="399986",中证银行,2013-07-15,=-0.0108,=7086.5100,=-0.0680,=6.6564,=0.7308,=4.1183,=5.2599,=6.2135,=6.8066,=9.0846,=0.6530,=0.3223,=0.4848,=0.5836,=0.7260,=0.9077,=1.2416,=2.5370,=0.8413,=1.4134,=1.7842,=2.1157,=2.4394,=3.3016,=0.0685,=0.0932,=0.0729,=0.0467,=9391
="930792",HK银行,2016-04-22,=-0.0214,=4377.5240,=-0.0062,=6.7081,=0.7998,=3.2659,=4.4492,=5.7752,=6.7089,=9.5632,=0.6336,=0.5185,=0.3905,=0.4957,=0.6218,=0.8034,=1.0771,=2.5244,=0.8824,=1.0519,=1.5147,=1.8299,=2.3141,=3.1066,,=0.0964,,=0.0522,=736
="H30106",H300金融服务,2013-05-21,=-0.0267,=1518.3800,=0.0034,=7.0468,=0.5379,=4.0175,=5.3642,=6.8831,=7.7688,=11.1922,=0.7498,=0.5018,=0.4470,=0.5777,=0.7482,=0.9083,=1.2489,=1.9870,=0.8764,=0.8557,=1.1816,=1.4529,=1.8315,=2.3593,,=0.1034,,=0.0463,=17
="399809",保险主题,2015-02-13,=-0.0235,=2487.5400,=-0.0676,=7.1822,=0.2663,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8085,=0.2918,=0.6352,=0.7667,=1.2300,=1.4858,=1.9794,=2.1110,=0.9299,=0.5239,=0.8688,=1.0978,=1.3646,=2.3772,=0.0826,=0.1038,=0.0824,=0.0404,=1452
="000018",180金融,2007-12-10,=-0.0151,=5440.7700,=-0.0841,=7.2212,=0.3994,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7699,=0.2857,=0.5902,=0.6965,=0.8951,=1.0756,=1.4199,=2.1891,=0.8050,=1.2355,=1.5824,=1.9228,=2.1823,=2.8772,=0.0783,=0.0980,=0.0761,=0.0406,=763
="931233",港股通央企红利,2017-06-28,=-0.0219,=1244.2400,=0.0673,=7.3350,=0.7767,=3.6988,=4.9341,=6.2642,=7.4168,=14.0775,=0.7037,=0.6424,=0.3929,=0.5213,=0.6402,=0.8688,=1.8161,=1.0101,=0.5764,=0.4645,=0.6183,=0.9342,=1.3968,=1.7583,,=0.0980,,=0.0556,=378
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0260,=4397.5800,=0.0937,=7.3369,=0.9543,=4.1647,=4.6046,=5.5409,=6.8063,=7.6037,=0.6973,=0.9146,=0.4381,=0.4911,=0.5803,=0.6701,=0.7227,=0.9837,=0.9558,=0.5323,=0.5911,=0.7251,=0.9064,=1.0190,,=0.0980,,=0.0553,=194
="000818",细分金融,2012-04-11,,,=-0.0654,=7.3531,=0.3854,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7834,=0.2832,=0.5930,=0.7010,=0.9120,=1.1014,=1.4303,=2.2451,=0.8046,=1.2689,=1.6354,=1.9714,=2.2341,=2.9111,=0.0780,=0.0969,=0.0769,=0.0397,=5
