指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0135,=12275.2500,=-0.0398,=5.8991,=0.8109,=3.2016,=4.0428,=5.1519,=5.8705,=7.9938,=0.5576,=0.4550,=0.3790,=0.4545,=0.5688,=0.7179,=1.0569,=2.2481,=0.8806,=1.0856,=1.4264,=1.7298,=2.0586,=2.9053,,=0.0932,,=0.0538,=63
="H11146",港股通内地金融,2010-06-02,=0.0109,=1147.9400,=0.0429,=6.5164,=0.7233,=3.2759,=4.5181,=5.8139,=6.7473,=9.2347,=0.6626,=0.4587,=0.3797,=0.4941,=0.6859,=0.8770,=1.1859,=1.6843,=0.9003,=0.6692,=0.9479,=1.2509,=1.5739,=2.1885,,=0.0965,,=0.0455,=27
="399986",中证银行,2013-07-15,=0.0141,=7141.4300,=-0.0607,=6.6896,=0.7488,=4.1183,=5.2645,=6.2031,=6.8062,=9.0846,=0.6557,=0.3250,=0.4848,=0.5838,=0.7276,=0.9081,=1.2416,=2.5496,=0.8513,=1.4134,=1.7845,=2.1101,=2.4332,=3.3016,=0.0685,=0.0932,=0.0729,=0.0465,=9329
="930792",HK银行,2016-04-22,=0.0049,=4547.1900,=0.0324,=7.0506,=0.8658,=3.2659,=4.4448,=5.7695,=6.6838,=9.5632,=0.6528,=0.5656,=0.3905,=0.4950,=0.6205,=0.8040,=1.0771,=2.6280,=0.9590,=1.0519,=1.5141,=1.8262,=2.3020,=3.1066,,=0.0966,,=0.0496,=728
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0216,=4339.4900,=0.0793,=7.2920,=0.9683,=4.1647,=4.5985,=5.4929,=6.7407,=7.6037,=0.6930,=0.9124,=0.4381,=0.4897,=0.5787,=0.6661,=0.7227,=0.9777,=0.9683,=0.5323,=0.5896,=0.7229,=0.8977,=1.0190,,=0.1030,,=0.0556,=179
="931233",港股通央企红利,2017-06-28,=0.0162,=1220.1100,=0.0466,=7.3056,=0.7723,=3.6988,=4.9320,=6.2550,=7.4065,=14.0775,=0.7009,=0.6437,=0.3929,=0.5212,=0.6372,=0.8699,=1.8161,=1.0061,=0.5785,=0.4645,=0.6174,=0.9293,=1.4009,=1.7583,,=0.0974,,=0.0558,=347
="399809",保险主题,2015-02-13,=0.0127,=2734.9500,=0.0251,=7.3906,=0.2998,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8320,=0.3093,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1722,=0.9428,=0.5239,=0.8689,=1.0941,=1.3512,=2.3772,=0.0826,=0.0985,=0.0781,=0.0393,=1430
="987016",港股通红利低波,2021-11-18,,,=0.0465,=7.4387,=0.9795,=3.4544,=4.2751,=4.8196,=5.9911,=7.7483,=0.6935,=0.9550,=0.4152,=0.4832,=0.5332,=0.6112,=0.7226,=1.2214,=0.9795,=0.5827,=0.6554,=0.7803,=0.9282,=1.2728,,=0.0954,,=0.0562,=65
="000018",180金融,2007-12-10,=0.0137,=5669.5400,=-0.0456,=7.4466,=0.4819,=5.2016,=6.4237,=7.4925,=8.3000,=10.8609,=0.7932,=0.3505,=0.5902,=0.6966,=0.9009,=1.0756,=1.4199,=2.2574,=0.8464,=1.2355,=1.5826,=1.9160,=2.1727,=2.8772,=0.0787,=0.0991,=0.0776,=0.0394,=758
="H11140",香港红利,2009-07-23,=0.0154,=3822.1900,=0.0468,=7.4820,=0.7659,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7179,=0.6079,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2064,=0.6865,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0566,=4
