指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0032,=12488.5300,=-0.0231,=6.0098,=0.8532,=3.2016,=4.0428,=5.1542,=5.8739,=7.9938,=0.5684,=0.4998,=0.3790,=0.4545,=0.5685,=0.7179,=1.0569,=2.2902,=0.9087,=1.0856,=1.4264,=1.7302,=2.0610,=2.9053,,=0.0932,,=0.0528,=65
="H11146",港股通内地金融,2010-06-02,=0.0184,=1165.9500,=0.0593,=6.6266,=0.7615,=3.2759,=4.5181,=5.8162,=6.7473,=9.2347,=0.6738,=0.4765,=0.3797,=0.4941,=0.6857,=0.8770,=1.1859,=1.7128,=0.9263,=0.6692,=0.9479,=1.2512,=1.5771,=2.1885,,=0.0965,,=0.0448,=27
="399986",中证银行,2013-07-15,=0.0035,=7237.7300,=-0.0481,=6.7620,=0.7823,=4.1183,=5.2645,=6.2048,=6.8062,=9.0846,=0.6634,=0.3424,=0.4848,=0.5838,=0.7274,=0.9081,=1.2416,=2.5772,=0.8675,=1.4134,=1.7845,=2.1108,=2.4341,=3.3016,=0.0685,=0.0932,=0.0729,=0.0460,=9343
="930792",HK银行,2016-04-22,=0.0149,=4623.5249,=0.0497,=7.1790,=0.8896,=3.2659,=4.4454,=5.7699,=6.6852,=9.5632,=0.6647,=0.5873,=0.3905,=0.4953,=0.6209,=0.8039,=1.0771,=2.6759,=0.9735,=1.0519,=1.5142,=1.8267,=2.3050,=3.1066,,=0.0966,,=0.0487,=731
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0104,=4361.2500,=0.0847,=7.3677,=0.9850,=4.1647,=4.5995,=5.5000,=6.7523,=7.6037,=0.7002,=0.9534,=0.4381,=0.4906,=0.5790,=0.6668,=0.7227,=0.9878,=0.9850,=0.5323,=0.5898,=0.7232,=0.8993,=1.0190,,=0.0971,,=0.0551,=180
="931233",港股通央企红利,2017-06-28,=0.0061,=1227.3300,=0.0527,=7.3957,=0.7975,=3.6988,=4.9320,=6.2559,=7.4065,=14.0775,=0.7095,=0.6564,=0.3929,=0.5212,=0.6376,=0.8699,=1.8161,=1.0185,=0.5877,=0.4645,=0.6174,=0.9319,=1.4009,=1.7583,,=0.0974,,=0.0552,=354
="399809",保险主题,2015-02-13,=0.0173,=2763.7900,=0.0359,=7.4586,=0.3041,=5.4537,=6.8119,=10.6413,=15.0228,=22.8725,=0.8396,=0.3136,=0.6352,=0.7669,=1.2297,=1.4853,=1.9794,=2.1922,=0.9453,=0.5239,=0.8689,=1.0953,=1.3543,=2.3772,=0.0826,=0.0985,=0.0781,=0.0389,=1433
="987016",港股通红利低波,2021-11-18,,,=0.0723,=7.5136,=0.9912,=3.4544,=4.2751,=4.8261,=5.9999,=7.7483,=0.7004,=0.9805,=0.4152,=0.4832,=0.5335,=0.6142,=0.7226,=1.2337,=0.9912,=0.5827,=0.6554,=0.7805,=0.9303,=1.2728,,=0.0954,,=0.0557,=71
="000018",180金融,2007-12-10,=0.0087,=5733.1800,=-0.0349,=7.5183,=0.5103,=5.2016,=6.4237,=7.4926,=8.3000,=10.8609,=0.8015,=0.3691,=0.5902,=0.6966,=0.9004,=1.0756,=1.4199,=2.2791,=0.8597,=1.2355,=1.5826,=1.9169,=2.1740,=2.8772,=0.0783,=0.0991,=0.0776,=0.0390,=758
="H11140",香港红利,2009-07-23,=0.0033,=3851.0200,=0.0547,=7.5493,=0.7713,=3.0693,=4.4554,=5.9846,=8.4154,=13.9623,=0.7243,=0.6155,=0.3833,=0.5103,=0.6303,=0.8659,=1.1652,=1.2173,=0.6924,=0.5431,=0.7464,=0.9728,=1.6121,=2.1349,,=0.0987,,=0.0561,=5
