指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0052,=12600.0800,=-0.0144,=5.9157,=0.8216,=3.2016,=4.0357,=5.1316,=5.8671,=7.9938,=0.5581,=0.4559,=0.3790,=0.4537,=0.5701,=0.7183,=1.0569,=2.2544,=0.8874,=1.0856,=1.4245,=1.7266,=2.0458,=2.9053,,=0.0932,,=0.0536,=61
="H11146",港股通内地金融,2010-06-02,=0.0045,=1124.5482,=0.0217,=6.4537,=0.6981,=3.2759,=4.5181,=5.7869,=6.7473,=9.2347,=0.6563,=0.4396,=0.3797,=0.4941,=0.6876,=0.8770,=1.1859,=1.6681,=0.8861,=0.6692,=0.9479,=1.2466,=1.5653,=2.1885,,=0.0965,,=0.0460,=26
="930792",HK银行,2016-04-22,=0.0072,=4378.1900,=-0.0060,=6.9601,=0.8474,=3.2659,=4.4426,=5.7626,=6.6485,=9.5632,=0.6446,=0.5459,=0.3905,=0.4947,=0.6181,=0.8043,=1.0771,=2.5906,=0.9425,=1.0519,=1.5136,=1.8197,=2.2880,=3.1066,,=0.0966,,=0.0508,=722
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0033,=4129.3300,=0.0270,=7.0597,=0.9519,=4.1647,=4.5830,=5.4646,=6.6690,=7.6037,=0.6710,=0.8434,=0.4381,=0.4887,=0.5766,=0.6625,=0.7227,=0.9461,=0.9519,=0.5323,=0.5876,=0.7203,=0.8912,=1.0190,,=0.1030,,=0.0575,=165
="399986",中证银行,2013-07-15,=0.0030,=7483.1200,=-0.0158,=7.0884,=0.8550,=4.1183,=5.2645,=6.1869,=6.8001,=9.0846,=0.6937,=0.3991,=0.4848,=0.5838,=0.7298,=0.9088,=1.2416,=2.7016,=0.9226,=1.4134,=1.7845,=2.1074,=2.4234,=3.3016,=0.0685,=0.0932,=0.0729,=0.0438,=9272
="931233",港股通央企红利,2017-06-28,=0.0008,=1182.1700,=0.0140,=7.1340,=0.7318,=3.6988,=4.9297,=6.2420,=7.4099,=14.0775,=0.6844,=0.6122,=0.3929,=0.5205,=0.6345,=0.8719,=1.8161,=0.9820,=0.5648,=0.4645,=0.6157,=0.9249,=1.4030,=1.7583,,=0.0974,,=0.0572,=322
="987016",港股通红利低波,2021-11-18,,,=0.0077,=7.1780,=0.9662,=3.4544,=4.2713,=4.7957,=5.8970,=7.7483,=0.6691,=0.9056,=0.4152,=0.4827,=0.5320,=0.6053,=0.7226,=1.1786,=0.9662,=0.5827,=0.6538,=0.7758,=0.9121,=1.2728,,=0.0954,,=0.0583,=48
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0043,=2844.0200,=0.0220,=7.4437,=0.9783,=3.7550,=5.0303,=5.7378,=6.5749,=7.8564,=0.7583,=0.9165,=0.4590,=0.5759,=0.6341,=0.7111,=0.8175,=1.1443,=0.9828,=0.5101,=0.6858,=0.7864,=0.8831,=1.2090,,=0.1015,,=0.0537,=248
="H30106",H300金融服务,2013-05-21,=0.0017,=1550.1892,=0.0244,=7.4551,=0.6989,=4.0175,=5.3627,=6.7919,=7.7687,=11.1922,=0.7808,=0.5490,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0844,=0.9485,=0.8557,=1.1817,=1.4436,=1.7946,=2.3593,,=0.1022,,=0.0441,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0001,=4552.5000,=0.0189,=7.5036,=0.8665,=3.5572,=4.6198,=5.9049,=7.0100,=9.5068,=0.6655,=0.6349,=0.3828,=0.4838,=0.5706,=0.8215,=1.1073,=1.0018,=0.6242,=0.4386,=0.6413,=0.8330,=1.4414,=2.0623,,=0.0870,,=0.0581,=1254
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0037,=1300.7400,=0.0198,=7.6857,=0.8091,=3.6777,=4.8612,=6.5444,=7.6259,=10.6953,=0.7175,=0.5715,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1341,=0.5812,=0.5013,=0.7008,=1.0576,=1.5005,=1.9871,,=0.0974,,=0.0576,=870
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0069,=2549.6300,=0.0290,=7.7011,=0.9705,=3.8979,=4.9341,=5.7594,=7.0243,=8.1550,=0.6965,=0.8808,=0.4277,=0.5145,=0.5707,=0.6593,=0.8197,=1.1860,=0.9253,=0.5333,=0.6929,=0.8609,=1.0910,=1.3442,,=0.0939,,=0.0553,=440
="930914",港股通高股息,2016-11-25,=0.0013,=4935.2800,=0.0036,=7.7461,=0.8204,=3.4280,=4.3932,=5.8151,=7.6055,=11.1979,=0.7327,=0.6840,=0.3979,=0.4989,=0.6053,=0.8583,=1.1764,=1.2064,=0.7933,=0.5144,=0.6892,=0.9127,=1.2171,=2.2126,,=0.1031,,=0.0573,=569
="399809",保险主题,2015-02-13,=-0.0101,=2785.9800,=0.0443,=7.8016,=0.3163,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8770,=0.3369,=0.6352,=0.7669,=1.2325,=1.4853,=1.9794,=2.2930,=0.9708,=0.5239,=0.8689,=1.0929,=1.3322,=2.3772,=0.0826,=0.0985,=0.0781,=0.0372,=1412
="H30270",红利价值,2013-12-19,=0.0009,=9523.3500,=-0.0009,=7.8220,=0.7589,=4.4543,=5.4057,=6.7097,=8.8476,=13.0955,=0.8138,=0.6335,=0.5256,=0.6470,=0.7541,=1.2660,=1.7317,=1.5778,=0.9941,=0.5854,=0.8035,=0.9873,=1.2304,=1.6166,=0.0710,=0.0973,=0.0746,=0.0437,=126
="000018",180金融,2007-12-10,=-0.0007,=5924.7000,=-0.0026,=7.8456,=0.6343,=5.2016,=6.4226,=7.4824,=8.3000,=10.8609,=0.8345,=0.4007,=0.5902,=0.6966,=0.9138,=1.0775,=1.4199,=2.3783,=0.8958,=1.2355,=1.5826,=1.9104,=2.1596,=2.8772,=0.0787,=0.0991,=0.0776,=0.0374,=758
="932596",港股通红利低波,2016-02-04,=0.0068,=3923.2200,=0.0114,=7.8671,=0.4675,=7.4451,=7.6050,=7.9152,=8.2874,=8.5745,=0.7161,=0.8571,=0.6528,=0.6669,=0.6991,=0.7123,=0.7309,=1.2846,=0.4675,=1.2161,=1.2423,=1.2924,=1.3627,=1.4099,,,,=0.0553,=34
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0052,=3683.8800,=0.0247,=7.9494,=0.9651,=4.9972,=5.5133,=5.9576,=7.0840,=8.3212,=0.7689,=0.9476,=0.5264,=0.5853,=0.6239,=0.7123,=0.8025,=0.9522,=0.9946,=0.5404,=0.5905,=0.6525,=0.7908,=0.9572,,=0.0979,,=0.0513,=97
="000818",细分金融,2012-04-11,=0.0019,=7405.7200,=0.0030,=7.9906,=0.6149,=5.2356,=6.4985,=7.6789,=8.4792,=10.9951,=0.8494,=0.4016,=0.5930,=0.7010,=0.9264,=1.1031,=1.4303,=2.4397,=0.8991,=1.2689,=1.6360,=1.9651,=2.2154,=2.9111,=0.0780,=0.0967,=0.0768,=0.0365,=4
="931157",SHS红利成长LV,2019-04-25,=0.0035,=7525.5900,=0.0096,=8.0490,=0.7239,=4.1261,=5.5498,=6.8254,=8.3746,=11.5318,=0.8195,=0.5535,=0.5154,=0.6210,=0.8013,=0.9383,=1.5888,=1.5891,=0.9953,=0.5018,=0.6992,=0.9842,=1.3361,=1.6109,,=0.1050,,=0.0491,=217
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=0.0051,=4742.4400,=0.0211,=8.0799,=0.9566,=4.2457,=4.6751,=5.6394,=7.3537,=8.5630,=0.7411,=0.9333,=0.4429,=0.4938,=0.5699,=0.7066,=0.7859,=1.0471,=0.9395,=0.6036,=0.6672,=0.8601,=0.9766,=1.1099,,=0.0975,,=0.0605,=63
="000914",300金融,2007-07-02,=0.0017,=6743.5200,=0.0038,=8.2853,=0.6664,=5.2769,=6.6035,=7.7849,=8.5959,=11.3863,=0.8454,=0.3900,=0.5962,=0.7048,=0.9512,=1.1439,=1.4919,=2.2792,=0.9127,=1.1210,=1.4313,=1.8124,=2.0455,=2.7052,=0.0752,=0.0912,=0.0734,=0.0361,=334
="H30269",红利低波,2013-12-19,=0.0015,=11141.6900,=-0.0087,=8.3082,=0.7648,=4.5638,=5.5488,=6.7467,=9.4763,=14.4342,=0.8706,=0.5890,=0.5386,=0.6570,=0.8017,=1.3862,=1.9670,=1.6070,=0.9938,=0.6111,=0.8850,=1.0984,=1.4087,=1.6442,=0.0719,=0.1026,=0.0729,=0.0443,=3216
="H50040",上红低波,2014-03-21,=0.0011,=10935.6400,=-0.0083,=8.3244,=0.7788,=4.6938,=5.9513,=6.9475,=9.6317,=14.3118,=0.8606,=0.5519,=0.5647,=0.6911,=0.8387,=1.3563,=1.8756,=1.6209,=0.9946,=0.6380,=0.8693,=1.2018,=1.3872,=1.6603,=0.0726,=0.1018,=0.0748,=0.0439,=310
