指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0017,=12805.8900,=0.0978,=6.0051,=0.8507,=3.2016,=4.0355,=5.1286,=5.8591,=7.9938,=0.5665,=0.4900,=0.3790,=0.4537,=0.5707,=0.7185,=1.0569,=2.2885,=0.9060,=1.0856,=1.4243,=1.7254,=2.0375,=2.9053,,=0.0932,,=0.0530,=60
="H11146",港股通内地金融,2010-06-02,=0.0038,=1106.5500,=0.2973,=6.3982,=0.6763,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6506,=0.4299,=0.3797,=0.4941,=0.6900,=0.8783,=1.1859,=1.6538,=0.8736,=0.6692,=0.9479,=1.2460,=1.5618,=2.1885,,=0.0965,,=0.0447,=25
="930792",HK银行,2016-04-22,=0.0085,=4417.9600,=0.3540,=7.0483,=0.8657,=3.2659,=4.4412,=5.7548,=6.6395,=9.5632,=0.6528,=0.5628,=0.3905,=0.4944,=0.6164,=0.8060,=1.0771,=2.6234,=0.9586,=1.0519,=1.5130,=1.8173,=2.2832,=3.1066,,=0.0966,,=0.0482,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0003,=4034.2600,=0.2518,=7.0961,=0.9592,=4.1647,=4.5789,=5.4549,=6.5878,=7.6037,=0.6744,=0.8571,=0.4381,=0.4886,=0.5764,=0.6609,=0.7227,=0.9510,=0.9592,=0.5323,=0.5875,=0.7191,=0.8853,=1.0190,,=0.1030,,=0.0572,=159
="931233",港股通央企红利,2017-06-28,=0.0007,=1168.1300,=0.1822,=7.2019,=0.7486,=3.6988,=4.9297,=6.2357,=7.4145,=14.0775,=0.6909,=0.6236,=0.3929,=0.5205,=0.6339,=0.8721,=1.8161,=0.9914,=0.5673,=0.4645,=0.6151,=0.9232,=1.4032,=1.7583,,=0.0974,,=0.0553,=305
="399986",中证银行,2013-07-15,=-0.0014,=7595.3400,=0.0668,=7.2047,=0.8888,=4.1183,=5.2645,=6.1828,=6.7907,=9.0846,=0.7046,=0.4191,=0.4848,=0.5838,=0.7303,=0.9103,=1.2416,=2.7459,=0.9457,=1.4134,=1.7845,=2.1074,=2.4196,=3.3016,=0.0685,=0.0932,=0.0729,=0.0433,=9251
="987016",港股通红利低波,2021-11-18,,,=0.2111,=7.2355,=0.9739,=3.4544,=4.2692,=4.7650,=5.8273,=7.7483,=0.6744,=0.9178,=0.4152,=0.4826,=0.5312,=0.6013,=0.7226,=1.1880,=0.9739,=0.5827,=0.6535,=0.7744,=0.8972,=1.2728,,=0.0954,,=0.0578,=37
="H30106",H300金融服务,2013-05-21,=0.0034,=1523.8385,=0.3784,=7.3828,=0.6746,=4.0175,=5.3627,=6.7657,=7.7687,=11.1922,=0.7732,=0.5361,=0.4470,=0.5779,=0.7482,=0.9091,=1.2489,=2.0642,=0.9433,=0.8557,=1.1817,=1.4422,=1.7895,=2.3593,,=0.1022,,=0.0431,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0041,=2799.4600,=0.2367,=7.4381,=0.9789,=3.7550,=5.0288,=5.7276,=6.5584,=7.8564,=0.7578,=0.9154,=0.4590,=0.5758,=0.6337,=0.7100,=0.8175,=1.1434,=0.9840,=0.5101,=0.6856,=0.7854,=0.8807,=1.2090,,=0.1015,,=0.0525,=246
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0028,=4479.8100,=0.1928,=7.5345,=0.8693,=3.5572,=4.6191,=5.9016,=6.9998,=9.5068,=0.6682,=0.6382,=0.3828,=0.4838,=0.5694,=0.8224,=1.1073,=1.0059,=0.6265,=0.4386,=0.6410,=0.8317,=1.4424,=2.0623,,=0.0870,,=0.0579,=1234
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0027,=2495.7200,=0.2108,=7.6903,=0.9710,=3.8979,=4.9336,=5.7539,=7.0186,=8.1550,=0.6956,=0.8808,=0.4277,=0.5143,=0.5701,=0.6584,=0.8197,=1.1843,=0.9263,=0.5333,=0.6926,=0.8599,=1.0888,=1.3442,,=0.0939,,=0.0554,=432
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0015,=1280.1500,=0.2912,=7.7033,=0.8119,=3.6777,=4.8612,=6.5434,=7.6038,=10.6953,=0.7192,=0.5723,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1367,=0.5833,=0.5013,=0.7008,=1.0566,=1.5005,=1.9871,,=0.0974,,=0.0575,=865
="399809",保险主题,2015-02-13,=-0.0112,=2674.1700,=0.2082,=7.7955,=0.3149,=5.4537,=6.8119,=10.6761,=15.0228,=22.8725,=0.8762,=0.3347,=0.6352,=0.7669,=1.2344,=1.4853,=1.9794,=2.2912,=0.9724,=0.5239,=0.8689,=1.0929,=1.3135,=2.3772,=0.0826,=0.0985,=0.0781,=0.0374,=1405
="930914",港股通高股息,2016-11-25,=0.0006,=4930.9354,=0.1620,=7.8128,=0.8305,=3.4280,=4.3883,=5.8092,=7.5908,=11.1979,=0.7390,=0.7034,=0.3979,=0.4987,=0.6040,=0.8599,=1.1764,=1.2168,=0.7993,=0.5144,=0.6880,=0.9122,=1.2174,=2.2126,,=0.1031,,=0.0568,=552
="HSCSOE",恒生中国央企指数,2023-01-01,=0.0124,=3619.5800,=0.2501,=7.8252,=0.9565,=4.9972,=5.5012,=5.9465,=6.9744,=8.3212,=0.7550,=0.9171,=0.5264,=0.5849,=0.6229,=0.7048,=0.8025,=0.8967,=0.9647,=0.5404,=0.5902,=0.6508,=0.7775,=0.9532,,=0.0979,,=0.0520,=97
="000018",180金融,2007-12-10,=-0.0046,=5944.3100,=0.0976,=7.8568,=0.6435,=5.2016,=6.4226,=7.4770,=8.3000,=10.8609,=0.8351,=0.4018,=0.5902,=0.6966,=0.9179,=1.0784,=1.4199,=2.3817,=0.9020,=1.2355,=1.5826,=1.9106,=2.1576,=2.8772,=0.0787,=0.0991,=0.0776,=0.0374,=755
="932596",港股通红利低波,2016-02-04,=0.0073,=3896.9000,=0.2138,=7.9382,=0.4928,=7.4451,=7.5604,=7.9470,=8.3001,=8.5745,=0.7226,=0.9710,=0.6528,=0.6630,=0.6977,=0.7087,=0.7309,=1.2962,=0.4783,=1.2161,=1.2350,=1.2983,=1.3647,=1.4099,,,,=0.0535,=27
="H30270",红利价值,2013-12-19,=-0.0005,=9514.0300,=0.0038,=7.9661,=0.7709,=4.4543,=5.4034,=6.7056,=8.8590,=13.0955,=0.8283,=0.6479,=0.5256,=0.6466,=0.7537,=1.2674,=1.7317,=1.6069,=1,=0.5854,=0.8033,=0.9866,=1.2282,=1.6069,=0.0710,=0.0973,=0.0746,=0.0430,=122
="000818",细分金融,2012-04-11,=-0.0040,=7393.4700,=0.0897,=7.9860,=0.6151,=5.2356,=6.4985,=7.6687,=8.4792,=10.9951,=0.8484,=0.3973,=0.5930,=0.7010,=0.9338,=1.1046,=1.4303,=2.4383,=0.9004,=1.2689,=1.6360,=1.9651,=2.2130,=2.9111,=0.0780,=0.0967,=0.0768,=0.0366,=4
="HSSCHYS",恒生港股通红利优选指数,2023-06-01,=-0.0008,=4659.9400,=0.2832,=8.0841,=0.9608,=4.2457,=4.6734,=5.6132,=7.3103,=8.5630,=0.7415,=0.9388,=0.4429,=0.4935,=0.5695,=0.7002,=0.7859,=1.0476,=0.9435,=0.6036,=0.6668,=0.8587,=0.9753,=1.1099,,=0.0975,,=0.0605,=60
="931157",SHS红利成长LV,2019-04-25,=-0.0014,=7460.6300,=0.0821,=8.1088,=0.7367,=4.1261,=5.5481,=6.8147,=8.3755,=11.5318,=0.8251,=0.5797,=0.5154,=0.6209,=0.8008,=0.9385,=1.5888,=1.6013,=1,=0.5018,=0.6991,=0.9799,=1.3299,=1.6013,,=0.1050,,=0.0489,=213
="000914",300金融,2007-07-02,=-0.0045,=6725.0500,=0.0767,=8.2755,=0.6649,=5.2769,=6.6035,=7.7824,=8.5959,=11.3863,=0.8438,=0.3862,=0.5962,=0.7048,=0.9552,=1.1464,=1.4919,=2.2765,=0.9127,=1.1210,=1.4313,=1.8124,=2.0450,=2.7052,=0.0752,=0.0912,=0.0734,=0.0362,=333
="931024",港股通非银,2017-11-06,=-0.0063,=4333.3000,=0.4909,=8.2945,=0.1298,=6.7549,=8.8519,=11.5203,=13.4108,=22.4310,=1.1916,=0.7419,=0.6237,=0.8430,=1.0373,=1.2203,=1.7592,=1.4031,=0.9408,=0.5870,=0.8701,=0.9998,=1.1810,=2.2002,,=0.1307,,=0.0308,=147
="000151",上国红利,2012-07-20,=-0.0046,=1531.7400,=-0.0536,=8.3518,=0.9522,=4.5075,=5.3671,=6.8302,=7.5134,=10.0345,=0.7891,=0.5438,=0.5268,=0.6196,=0.7569,=0.9714,=1.3272,=1.0656,=0.4455,=0.6026,=0.8954,=1.1282,=1.3131,=1.6854,=0.0643,=0.0941,=0.0692,=0.0511,=158
