指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0031,=12436.7300,=-0.0272,=5.9205,=0.8213,=3.2016,=4.0368,=5.1328,=5.8686,=7.9938,=0.5588,=0.4601,=0.3790,=0.4541,=0.5698,=0.7182,=1.0569,=2.2562,=0.8870,=1.0856,=1.4247,=1.7269,=2.0487,=2.9053,,=0.0932,,=0.0536,=62
="H11146",港股通内地金融,2010-06-02,=0.0012,=1128.7400,=0.0255,=6.4517,=0.6965,=3.2759,=4.5181,=5.7946,=6.7473,=9.2347,=0.6561,=0.4388,=0.3797,=0.4941,=0.6875,=0.8770,=1.1859,=1.6676,=0.8841,=0.6692,=0.9479,=1.2470,=1.5673,=2.1885,,=0.0965,,=0.0460,=26
="399986",中证银行,2013-07-15,=-0.0069,=7334.7200,=-0.0353,=6.9710,=0.8353,=4.1183,=5.2645,=6.1891,=6.8030,=9.0846,=0.6824,=0.3847,=0.4848,=0.5838,=0.7294,=0.9084,=1.2416,=2.6569,=0.9040,=1.4134,=1.7845,=2.1075,=2.4243,=3.3016,=0.0685,=0.0932,=0.0729,=0.0446,=9277
="930792",HK银行,2016-04-22,=0.0070,=4439.4100,=0.0079,=7.0253,=0.8609,=3.2659,=4.4426,=5.7643,=6.6537,=9.5632,=0.6507,=0.5594,=0.3905,=0.4947,=0.6188,=0.8043,=1.0771,=2.6149,=0.9546,=1.0519,=1.5136,=1.8200,=2.2919,=3.1066,,=0.0966,,=0.0503,=722
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0015,=4156.1200,=0.0337,=7.1356,=0.9583,=4.1647,=4.5841,=5.4697,=6.6898,=7.6037,=0.6782,=0.8673,=0.4381,=0.4889,=0.5768,=0.6630,=0.7227,=0.9563,=0.9583,=0.5323,=0.5895,=0.7209,=0.8922,=1.0190,,=0.1030,,=0.0569,=165
="931233",港股通央企红利,2017-06-28,=-0.0018,=1183.3216,=0.0150,=7.1803,=0.7440,=3.6988,=4.9299,=6.2438,=7.4093,=14.0775,=0.6888,=0.6210,=0.3929,=0.5207,=0.6349,=0.8715,=1.8161,=0.9884,=0.5667,=0.4645,=0.6161,=0.9261,=1.4025,=1.7583,,=0.0974,,=0.0568,=322
="987016",港股通红利低波,2021-11-18,,,=0.0146,=7.2652,=0.9732,=3.4544,=4.2724,=4.7969,=5.9390,=7.7483,=0.6772,=0.9217,=0.4152,=0.4828,=0.5321,=0.6061,=0.7226,=1.1929,=0.9732,=0.5827,=0.6550,=0.7761,=0.9135,=1.2728,,=0.0954,,=0.0576,=52
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0021,=2849.9400,=0.0241,=7.4958,=0.9847,=3.7550,=5.0303,=5.7416,=6.5784,=7.8564,=0.7637,=0.9370,=0.4590,=0.5759,=0.6342,=0.7142,=0.8175,=1.1523,=0.9847,=0.5101,=0.6858,=0.7867,=0.8842,=1.2090,,=0.1015,,=0.0533,=249
="H30106",H300金融服务,2013-05-21,=0.0040,=1570.7200,=0.0380,=7.4965,=0.7196,=4.0175,=5.3627,=6.8051,=7.7687,=11.1922,=0.7851,=0.5555,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0959,=0.9522,=0.8557,=1.1817,=1.4439,=1.7955,=2.3593,,=0.1022,,=0.0439,=16
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0001,=4577.7600,=0.0246,=7.5190,=0.8676,=3.5572,=4.6200,=5.9061,=7.0232,=9.5068,=0.6665,=0.6354,=0.3828,=0.4838,=0.5710,=0.8213,=1.1073,=0.9989,=0.6219,=0.4386,=0.6423,=0.8336,=1.4404,=2.0623,,=0.0870,,=0.0576,=1262
