指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0068,=12229.6200,=-0.0434,=5.9312,=0.8226,=3.2016,=4.0485,=5.1609,=5.8836,=7.9938,=0.5611,=0.4702,=0.3790,=0.4547,=0.5682,=0.7168,=1.0569,=2.2603,=0.8861,=1.0856,=1.4265,=1.7332,=2.0715,=2.9053,,=0.0932,,=0.0535,=71
="H11146",港股通内地金融,2010-06-02,=0.0030,=1146.8454,=0.0419,=6.5167,=0.7200,=3.2759,=4.5181,=5.8363,=6.7473,=9.2347,=0.6627,=0.4599,=0.3797,=0.4941,=0.6846,=0.8770,=1.1859,=1.6844,=0.8967,=0.6692,=0.9479,=1.2572,=1.5802,=2.1885,,=0.0965,,=0.0455,=28
="399986",中证银行,2013-07-15,=-0.0048,=7067.5200,=-0.0705,=6.5907,=0.6910,=4.1183,=5.2599,=6.2114,=6.8066,=9.0846,=0.6466,=0.3024,=0.4848,=0.5836,=0.7268,=0.9081,=1.2416,=2.5119,=0.8311,=1.4134,=1.7842,=2.1130,=2.4370,=3.3016,=0.0685,=0.0932,=0.0729,=0.0472,=9373
="930792",HK银行,2016-04-22,=0.0056,=4610.1600,=0.0467,=7.1503,=0.8817,=3.2659,=4.4472,=5.7729,=6.7002,=9.5632,=0.6620,=0.5847,=0.3905,=0.4956,=0.6217,=0.8036,=1.0771,=2.6652,=0.9691,=1.0519,=1.5146,=1.8294,=2.3117,=3.1066,,=0.0966,,=0.0495,=736
="399809",保险主题,2015-02-13,=-0.0003,=2619.1700,=-0.0183,=7.2148,=0.2732,=5.4537,=6.8114,=10.6460,=15.0245,=22.8725,=0.8122,=0.2958,=0.6352,=0.7667,=1.2304,=1.4858,=1.9794,=2.1206,=0.9316,=0.5239,=0.8688,=1.0959,=1.3567,=2.3772,=0.0826,=0.0985,=0.0781,=0.0402,=1441
="000018",180金融,2007-12-10,=-0.0021,=5561.3900,=-0.0638,=7.2879,=0.4244,=5.2016,=6.4273,=7.4960,=8.3012,=10.8609,=0.7770,=0.3020,=0.5902,=0.6965,=0.8975,=1.0757,=1.4199,=2.2093,=0.8158,=1.2355,=1.5824,=1.9203,=2.1791,=2.8772,=0.0783,=0.0991,=0.0776,=0.0402,=759
="000818",细分金融,2012-04-11,=-0.0011,=6955.2800,=-0.0580,=7.4322,=0.4240,=5.2356,=6.4974,=7.6839,=8.4810,=10.9951,=0.7919,=0.3012,=0.5930,=0.7010,=0.9144,=1.1017,=1.4303,=2.2692,=0.8199,=1.2689,=1.6354,=1.9706,=2.2312,=2.9111,=0.0780,=0.0967,=0.0768,=0.0392,=5
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0046,=4510.1400,=0.1217,=7.4478,=0.9866,=4.1647,=4.6022,=5.5297,=6.7914,=7.6037,=0.7079,=0.9792,=0.4381,=0.4910,=0.5795,=0.6690,=0.7227,=0.9986,=0.9866,=0.5323,=0.5901,=0.7240,=0.9037,=1.0190,,=0.0971,,=0.0545,=189
="931233",港股通央企红利,2017-06-28,=0.0033,=1271.0900,=0.0903,=7.4644,=0.8145,=3.6988,=4.9340,=6.2626,=7.4155,=14.0775,=0.7161,=0.6646,=0.3929,=0.5213,=0.6391,=0.8691,=1.8161,=1.0279,=0.5889,=0.4645,=0.6179,=0.9328,=1.3992,=1.7583,,=0.0974,,=0.0547,=365
="H30106",H300金融服务,2013-05-21,=0.0110,=1610,=0.0639,=7.5745,=0.7455,=4.0175,=5.3653,=6.8642,=7.7687,=11.1922,=0.7937,=0.5729,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1164,=0.9522,=0.8557,=1.1817,=1.4506,=1.8246,=2.3593,,=0.1022,,=0.0430,=16
="987016",港股通红利低波,2021-11-18,,,=0.1127,=7.5988,=0.9913,=3.4544,=4.2776,=4.8391,=6.0632,=7.7483,=0.7084,=0.9894,=0.4152,=0.4834,=0.5343,=0.6214,=0.7226,=1.2477,=0.9913,=0.5827,=0.6558,=0.7836,=0.9395,=1.2728,,=0.0954,,=0.0550,=83
="H11140",香港红利,2009-07-23,=0.0007,=3924.6806,=0.0749,=7.6429,=0.7724,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7334,=0.6302,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2323,=0.7051,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0554,=9
="H30270",红利价值,2013-12-19,=0.0023,=9703.6600,=0.0180,=7.6569,=0.7311,=4.4543,=5.4153,=6.7187,=8.7999,=13.0955,=0.7979,=0.6014,=0.5256,=0.6474,=0.7560,=1.2630,=1.7317,=1.5445,=0.9847,=0.5854,=0.8064,=0.9916,=1.2451,=1.6166,=0.0710,=0.0973,=0.0746,=0.0447,=141
="000914",300金融,2007-07-02,=-0.0005,=6350.2700,=-0.0547,=7.7187,=0.4668,=5.2769,=6.6022,=7.8138,=8.6017,=11.3863,=0.7893,=0.2954,=0.5962,=0.7048,=0.9382,=1.1420,=1.4919,=2.1234,=0.8393,=1.1210,=1.4310,=1.8124,=2.0614,=2.7052,=0.0748,=0.0912,=0.0734,=0.0388,=336
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0042,=3054.0500,=0.0975,=7.7874,=0.9956,=3.7550,=5.0332,=5.7583,=6.6154,=7.8951,=0.7930,=0.9837,=0.4590,=0.5767,=0.6362,=0.7213,=0.8175,=1.1951,=0.9950,=0.5101,=0.6868,=0.7891,=0.8914,=1.2116,,=0.1006,,=0.0514,=255
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0031,=4907.8100,=0.0984,=7.9325,=0.8982,=3.5572,=4.6245,=5.9253,=7.0774,=9.5068,=0.7032,=0.7038,=0.3828,=0.4840,=0.5732,=0.8195,=1.1073,=1.0543,=0.6462,=0.4386,=0.6466,=0.8377,=1.4288,=2.0623,,=0.0839,,=0.0546,=1338
="000934",中证金融,2009-07-03,=0.0011,=5974.8900,=-0.0469,=8.0436,=0.4957,=5.7083,=6.8944,=8.0589,=8.8714,=11.5527,=0.8035,=0.2995,=0.6117,=0.7181,=0.9435,=1.1584,=1.5017,=2.1209,=0.8467,=1.1467,=1.4503,=1.8025,=2.0503,=2.6696,=0.0730,=0.0882,=0.0717,=0.0375,=1141
="000151",上国红利,2012-07-20,=0.0004,=1597.6600,=0.0458,=8.0596,=0.8743,=4.5075,=5.3657,=6.8735,=7.5545,=10.0345,=0.7634,=0.5163,=0.5268,=0.6189,=0.7559,=0.9688,=1.3272,=1.0283,=0.3943,=0.6026,=0.8953,=1.1131,=1.3121,=1.6854,=0.0643,=0.0941,=0.0692,=0.0524,=177
="H30269",红利低波,2013-12-19,=-0.0015,=11199.5900,=-0.0036,=8.0912,=0.7392,=4.5638,=5.5488,=6.7721,=9.4786,=14.4342,=0.8492,=0.5620,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.5651,=0.9769,=0.6111,=0.8850,=1.0980,=1.4131,=1.6442,=0.0719,=0.1026,=0.0729,=0.0455,=3528
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0008,=1431.6400,=0.1224,=8.0969,=0.8623,=3.6777,=4.8612,=6.5992,=7.6891,=10.6953,=0.7558,=0.6320,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1899,=0.6519,=0.5013,=0.7008,=1.0649,=1.5005,=1.9871,,=0.0866,,=0.0544,=890
="H50040",上红低波,2014-03-21,=-0.0031,=11124.5900,=0.0089,=8.1078,=0.7437,=4.6938,=5.9512,=6.9833,=9.6645,=14.3118,=0.8394,=0.5060,=0.5647,=0.6911,=0.8380,=1.3609,=1.8756,=1.5787,=0.9757,=0.6380,=0.8684,=1.2019,=1.3903,=1.6603,=0.0726,=0.1018,=0.0748,=0.0450,=325
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=-0.0018,=2791.4600,=0.1266,=8.1514,=0.9955,=3.8979,=4.9377,=5.8008,=7.0813,=8.2464,=0.7372,=0.9402,=0.4277,=0.5149,=0.5727,=0.6652,=0.8197,=1.2556,=0.9608,=0.5333,=0.6940,=0.8636,=1.1018,=1.3442,,=0.0922,,=0.0523,=455
