指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0085,=12256.6800,=-0.0412,=5.8694,=0.7941,=3.2016,=4.0486,=5.1615,=5.8838,=7.9938,=0.5553,=0.4419,=0.3790,=0.4549,=0.5676,=0.7168,=1.0569,=2.2368,=0.8685,=1.0856,=1.4272,=1.7338,=2.0740,=2.9053,,=0.0932,,=0.0541,=73
="H11146",港股通内地金融,2010-06-02,=0.0037,=1101.9900,=0.0012,=6.2826,=0.6052,=3.2759,=4.5177,=5.8434,=6.7500,=9.2347,=0.6389,=0.4163,=0.3797,=0.4938,=0.6841,=0.8774,=1.1859,=1.6239,=0.8310,=0.6692,=0.9478,=1.2602,=1.5828,=2.1885,,=0.0965,,=0.0472,=30
="399986",中证银行,2013-07-15,=0.0102,=7163.7600,=-0.0578,=6.7152,=0.7597,=4.1183,=5.2599,=6.2134,=6.8066,=9.0846,=0.6588,=0.3351,=0.4848,=0.5836,=0.7260,=0.9081,=1.2416,=2.5594,=0.8549,=1.4134,=1.7842,=2.1155,=2.4388,=3.3016,=0.0685,=0.0932,=0.0729,=0.0463,=9389
="930792",HK银行,2016-04-22,=-0.0018,=4473.3900,=0.0156,=6.8524,=0.8202,=3.2659,=4.4492,=5.7749,=6.7089,=9.5632,=0.6472,=0.5483,=0.3905,=0.4957,=0.6217,=0.8034,=1.0771,=2.5787,=0.9255,=1.0519,=1.5147,=1.8298,=2.3141,=3.1066,,=0.0964,,=0.0511,=736
="H30106",H300金融服务,2013-05-21,=-0.0022,=1560.1100,=0.0310,=7.2160,=0.5979,=4.0175,=5.3642,=6.8790,=7.7688,=11.1922,=0.7679,=0.5270,=0.4470,=0.5777,=0.7482,=0.9083,=1.2489,=2.0347,=0.9023,=0.8557,=1.1816,=1.4527,=1.8295,=2.3593,,=0.1034,,=0.0452,=17
="399809",保险主题,2015-02-13,=0.0073,=2547.3300,=-0.0452,=7.2715,=0.2906,=5.4537,=6.8114,=10.6490,=15.0245,=22.8725,=0.8185,=0.3059,=0.6352,=0.7667,=1.2308,=1.4858,=1.9794,=2.1373,=0.9328,=0.5239,=0.8688,=1.0978,=1.3644,=2.3772,=0.0826,=0.1038,=0.0824,=0.0399,=1451
="000018",180金融,2007-12-10,=0.0065,=5524.2700,=-0.0701,=7.3187,=0.4336,=5.2016,=6.4287,=7.4964,=8.3012,=10.8609,=0.7803,=0.3149,=0.5902,=0.6965,=0.8954,=1.0757,=1.4199,=2.2186,=0.8190,=1.2355,=1.5824,=1.9228,=2.1818,=2.8772,=0.0783,=0.0980,=0.0761,=0.0401,=763
="000818",细分金融,2012-04-11,=0.0047,=6900.5100,=-0.0654,=7.4581,=0.4349,=5.2356,=6.4974,=7.6847,=8.4810,=10.9951,=0.7946,=0.3100,=0.5930,=0.7010,=0.9123,=1.1017,=1.4303,=2.2772,=0.8240,=1.2689,=1.6354,=1.9714,=2.2333,=2.9111,=0.0780,=0.0969,=0.0769,=0.0391,=5
="931233",港股通央企红利,2017-06-28,=0.0029,=1272.0800,=0.0911,=7.4640,=0.8144,=3.6988,=4.9341,=6.2634,=7.4168,=14.0775,=0.7161,=0.6647,=0.3929,=0.5213,=0.6401,=0.8688,=1.8161,=1.0279,=0.5892,=0.4645,=0.6183,=0.9339,=1.3968,=1.7583,,=0.0980,,=0.0547,=377
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0002,=4515.0400,=0.1229,=7.4686,=0.9912,=4.1647,=4.6046,=5.5376,=6.8058,=7.6037,=0.7098,=0.9867,=0.4381,=0.4911,=0.5803,=0.6693,=0.7227,=1.0014,=0.9912,=0.5323,=0.5911,=0.7250,=0.9057,=1.0190,,=0.0980,,=0.0543,=192
="987016",港股通红利低波,2021-11-18,,,=0.1276,=7.6479,=0.9962,=3.4544,=4.2792,=4.8444,=6.1692,=7.7483,=0.7125,=0.9952,=0.4152,=0.4834,=0.5345,=0.6232,=0.7226,=1.2551,=0.9952,=0.5827,=0.6565,=0.7839,=0.9578,=1.2728,,=0.0957,,=0.0546,=88
="H11140",香港红利,2009-07-23,=0.0088,=3957.6100,=0.0839,=7.6960,=0.7747,=3.0693,=4.4554,=5.9842,=8.4154,=13.9623,=0.7385,=0.6402,=0.3833,=0.5103,=0.6296,=0.8659,=1.1652,=1.2408,=0.7123,=0.5431,=0.7464,=0.9724,=1.6107,=2.1349,,=0.0974,,=0.0551,=15
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0045,=3024.3400,=0.0868,=7.7119,=0.9900,=3.7550,=5.0332,=5.7608,=6.6207,=7.8951,=0.7853,=0.9725,=0.4590,=0.5767,=0.6364,=0.7228,=0.8175,=1.1835,=0.9881,=0.5101,=0.6868,=0.7893,=0.8928,=1.2116,,=0.1004,,=0.0519,=257
="000914",300金融,2007-07-02,=0.0042,=6291.7100,=-0.0634,=7.7386,=0.4720,=5.2769,=6.6022,=7.8155,=8.6017,=11.3863,=0.7914,=0.3013,=0.5962,=0.7048,=0.9372,=1.1417,=1.4919,=2.1288,=0.8434,=1.1210,=1.4310,=1.8123,=2.0618,=2.7052,=0.0748,=0.0924,=0.0740,=0.0387,=337
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0029,=4895.1700,=0.0956,=7.9834,=0.9034,=3.5572,=4.6247,=5.9304,=7.0827,=9.5068,=0.7070,=0.7090,=0.3828,=0.4840,=0.5736,=0.8191,=1.1073,=1.0600,=0.6501,=0.4386,=0.6469,=0.8380,=1.4274,=2.0623,,=0.0887,,=0.0542,=1355
="000934",中证金融,2009-07-03,=0.0021,=5908.5300,=-0.0575,=8.0492,=0.4975,=5.7083,=6.8944,=8.0594,=8.8714,=11.5527,=0.8041,=0.3034,=0.6117,=0.7181,=0.9420,=1.1571,=1.5017,=2.1224,=0.8471,=1.1467,=1.4503,=1.8024,=2.0520,=2.6696,=0.0730,=0.0894,=0.0723,=0.0375,=1144
="H30270",红利价值,2013-12-19,=0.0057,=9866.3000,=0.0350,=8.0511,=0.7801,=4.4543,=5.4162,=6.7201,=8.7989,=13.0955,=0.8390,=0.6587,=0.5256,=0.6474,=0.7566,=1.2616,=1.7317,=1.6240,=1,=0.5854,=0.8072,=0.9920,=1.2465,=1.6240,=0.0710,=0.0996,=0.0748,=0.0425,=149
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0051,=1425.2800,=0.1175,=8.1100,=0.8643,=3.6777,=4.8612,=6.6054,=7.7009,=10.6953,=0.7574,=0.6371,=0.4041,=0.5046,=0.6482,=0.9078,=1.1746,=1.1925,=0.6538,=0.5013,=0.7008,=1.0658,=1.5005,=1.9871,,=0.0935,,=0.0543,=891
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0006,=2811.5300,=0.1347,=8.1354,=0.9949,=3.8979,=4.9396,=5.8017,=7.0915,=8.2464,=0.7356,=0.9397,=0.4277,=0.5150,=0.5728,=0.6661,=0.8197,=1.2524,=0.9596,=0.5333,=0.6942,=0.8637,=1.1044,=1.3442,,=0.0916,,=0.0522,=458
="930914",港股通高股息,2016-11-25,=0.0005,=5396.8400,=0.0974,=8.1436,=0.8533,=3.4280,=4.4077,=5.8418,=7.7018,=11.1979,=0.7833,=0.7398,=0.3979,=0.5002,=0.6086,=0.8563,=1.1764,=1.2847,=0.8270,=0.5144,=0.6945,=0.9163,=1.2263,=2.2126,,=0.0991,,=0.0543,=625
="931157",SHS红利成长LV,2019-04-25,=-0.0053,=7649.6300,=0.0262,=8.1566,=0.7441,=4.1261,=5.5604,=6.8490,=8.3565,=11.5318,=0.8328,=0.6035,=0.5154,=0.6231,=0.8051,=0.9324,=1.5888,=1.6102,=0.9925,=0.5018,=0.7020,=1.0092,=1.3628,=1.6333,,=0.0998,,=0.0485,=266
="932596",港股通红利低波,2016-02-04,=0.0001,=4262.4200,=0.0989,=8.2347,=0.7182,=7.4451,=7.7590,=8,=8.3006,=8.5745,=0.7609,=0.9364,=0.6528,=0.6821,=0.7087,=0.7344,=0.7672,=1.3597,=0.7636,=1.2161,=1.2669,=1.3113,=1.3647,=1.4099,,,,=0.0525,=60
="000992",全指金融,2011-08-02,=0.0007,=5657.8500,=-0.0552,=8.2423,=0.5041,=5.9310,=7.1022,=8.2292,=9.0288,=11.6339,=0.8065,=0.3079,=0.6188,=0.7234,=0.9507,=1.1726,=1.5107,=2.0999,=0.8339,=1.1568,=1.4432,=1.8065,=2.0573,=2.6668,=0.0720,=0.0864,=0.0697,=0.0369,=2688
="931024",港股通非银,2017-11-06,=-0.0077,=4324.8000,=0.0073,=8.2723,=0.1248,=6.7549,=8.8009,=11.4205,=13.3982,=22.4310,=1.1773,=0.6935,=0.6237,=0.8446,=1.0422,=1.2274,=1.7592,=1.3978,=0.9201,=0.5870,=0.8710,=1.0048,=1.1920,=2.2002,,=0.1332,,=0.0312,=165
="HSCSOE",恒生中国央企指数,2023-01-01,=-0.0015,=3820.3500,=0.0627,=8.3365,=0.9884,=4.9972,=5.5202,=6.0167,=7.4744,=8.5137,=0.8065,=0.9884,=0.5264,=0.5880,=0.6258,=0.7310,=0.8235,=0.9986,=0.9884,=0.5404,=0.5917,=0.6565,=0.8331,=1.0198,,=0.0966,,=0.0489,=104
="931446",东证红利低波,2020-04-21,=0.0021,=3512.3100,=0.0202,=8.3961,=0.7766,=5.1478,=6.1517,=7.0475,=8.5384,=11.0216,=0.8318,=0.7231,=0.5884,=0.6929,=0.7574,=0.8771,=1.2481,=1.5233,=0.9805,=0.5909,=0.7501,=0.8758,=1.2751,=1.5979,=0.0726,=0.0943,=0.0749,=0.0446,=691
="H30269",红利低波,2013-12-19,=0.0091,=11424.7100,=0.0164,=8.4567,=0.7869,=4.5638,=5.5488,=6.7758,=9.4786,=14.4342,=0.8875,=0.6088,=0.5386,=0.6570,=0.8017,=1.3872,=1.9670,=1.6358,=0.9992,=0.6111,=0.8850,=1.0977,=1.4134,=1.6442,=0.0719,=0.1013,=0.0686,=0.0435,=3588
="H50040",上红低波,2014-03-21,=0.0041,=11322.9800,=0.0268,=8.4939,=0.7939,=4.6938,=5.9512,=6.9960,=9.6645,=14.3118,=0.8793,=0.5907,=0.5647,=0.6911,=0.8375,=1.3609,=1.8756,=1.6539,=0.9996,=0.6380,=0.8684,=1.2018,=1.3909,=1.6603,=0.0726,=0.0985,=0.0721,=0.0430,=330
="000151",上国红利,2012-07-20,=0.0191,=1684.5900,=0.1027,=8.4943,=0.9629,=4.5075,=5.3657,=6.8799,=7.5642,=10.0345,=0.8045,=0.5779,=0.5268,=0.6189,=0.7557,=0.9688,=1.3272,=1.0838,=0.4794,=0.6026,=0.8953,=1.1102,=1.3121,=1.6854,=0.0643,=0.0774,=0.0685,=0.0497,=186
