指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0078,=11995.5200,=-0.0617,=5.7234,=0.7393,=3.2016,=4.0402,=5.1366,=5.8686,=7.9938,=0.5408,=0.3937,=0.3790,=0.4542,=0.5696,=0.7181,=1.0569,=2.1811,=0.8505,=1.0856,=1.4251,=1.7287,=2.0509,=2.9053,,=0.0932,,=0.0554,=61
="H11146",港股通内地金融,2010-06-02,=-0.0025,=1098.9400,=-0.0016,=6.2722,=0.6096,=3.2759,=4.5181,=5.7994,=6.7473,=9.2347,=0.6378,=0.4139,=0.3797,=0.4941,=0.6864,=0.8770,=1.1859,=1.6212,=0.8384,=0.6692,=0.9479,=1.2479,=1.5703,=2.1885,,=0.0965,,=0.0473,=26
="399986",中证银行,2013-07-15,=-0.0092,=7032.5700,=-0.0751,=6.6358,=0.7246,=4.1183,=5.2645,=6.1926,=6.8062,=9.0846,=0.6504,=0.3137,=0.4848,=0.5838,=0.7286,=0.9081,=1.2416,=2.5291,=0.8436,=1.4134,=1.7845,=2.1082,=2.4289,=3.3016,=0.0685,=0.0932,=0.0729,=0.0468,=9297
="930792",HK银行,2016-04-22,=-0.0007,=4364.1200,=-0.0092,=6.8719,=0.8313,=3.2659,=4.4431,=5.7680,=6.6733,=9.5632,=0.6365,=0.5322,=0.3905,=0.4947,=0.6198,=0.8042,=1.0771,=2.5610,=0.9186,=1.0519,=1.5140,=1.8224,=2.2963,=3.1066,,=0.0966,,=0.0515,=726
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0071,=4112.6400,=0.0229,=7.0156,=0.9205,=4.1647,=4.5946,=5.4798,=6.7060,=7.6037,=0.6668,=0.8135,=0.4381,=0.4893,=0.5772,=0.6643,=0.7227,=0.9402,=0.9251,=0.5323,=0.5895,=0.7214,=0.8955,=1.0190,,=0.1030,,=0.0578,=173
="931233",港股通央企红利,2017-06-28,=-0.0061,=1174.5300,=0.0075,=7.0518,=0.6929,=3.6988,=4.9313,=6.2481,=7.4065,=14.0775,=0.6765,=0.5934,=0.3929,=0.5208,=0.6358,=0.8709,=1.8161,=0.9707,=0.5511,=0.4645,=0.6162,=0.9276,=1.4023,=1.7583,,=0.0974,,=0.0579,=338
="987016",港股通红利低波,2021-11-18,=-0.0066,=1510.6725,=0.0127,=7.1615,=0.9586,=3.4544,=4.2729,=4.8029,=5.9667,=7.7483,=0.6675,=0.8975,=0.4152,=0.4828,=0.5327,=0.6070,=0.7226,=1.1759,=0.9576,=0.5827,=0.6551,=0.7772,=0.9221,=1.2728,,=0.0954,,=0.0584,=57
="399809",保险主题,2015-02-13,=-0.0169,=2606.4500,=-0.0230,=7.2614,=0.2857,=5.4537,=6.8119,=10.6422,=15.0228,=22.8725,=0.8174,=0.3018,=0.6352,=0.7669,=1.2298,=1.4853,=1.9794,=2.1343,=0.9387,=0.5239,=0.8689,=1.0929,=1.3456,=2.3772,=0.0826,=0.0985,=0.0781,=0.0400,=1420
="H30106",H300金融服务,2013-05-21,=-0.0007,=1538.5400,=0.0167,=7.3182,=0.6452,=4.0175,=5.3627,=6.8240,=7.7687,=11.1922,=0.7664,=0.5209,=0.4470,=0.5779,=0.7487,=0.9081,=1.2489,=2.0476,=0.9259,=0.8557,=1.1817,=1.4454,=1.8007,=2.3593,,=0.1022,,=0.0450,=15
="000018",180金融,2007-12-10,=-0.0099,=5561.0800,=-0.0639,=7.3404,=0.4475,=5.2016,=6.4226,=7.4916,=8.3000,=10.8609,=0.7818,=0.3174,=0.5902,=0.6966,=0.9074,=1.0757,=1.4199,=2.2252,=0.8312,=1.2355,=1.5826,=1.9114,=2.1694,=2.8772,=0.0787,=0.0991,=0.0776,=0.0399,=758
