指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0022,=12552.8200,=-0.0181,=6.0512,=0.8635,=3.2016,=4.0441,=5.1553,=5.8756,=7.9938,=0.5724,=0.5113,=0.3790,=0.4547,=0.5687,=0.7170,=1.0569,=2.3061,=0.9127,=1.0856,=1.4264,=1.7309,=2.0617,=2.9053,,=0.0932,,=0.0525,=65
="H11146",港股通内地金融,2010-06-02,=-0.0053,=1167.5700,=0.0608,=6.6487,=0.7665,=3.2759,=4.5181,=5.8229,=6.7473,=9.2347,=0.6761,=0.4804,=0.3797,=0.4941,=0.6855,=0.8770,=1.1859,=1.7185,=0.9304,=0.6692,=0.9479,=1.2521,=1.5774,=2.1885,,=0.0965,,=0.0446,=26
="399986",中证银行,2013-07-15,=0.0019,=7270.0500,=-0.0438,=6.8058,=0.7993,=4.1183,=5.2645,=6.2072,=6.8062,=9.0846,=0.6677,=0.3528,=0.4848,=0.5838,=0.7274,=0.9081,=1.2416,=2.5939,=0.8758,=1.4134,=1.7845,=2.1116,=2.4351,=3.3016,=0.0685,=0.0932,=0.0729,=0.0457,=9349
="930792",HK银行,2016-04-22,=0.0002,=4647.0900,=0.0550,=7.2309,=0.8983,=3.2659,=4.4454,=5.7704,=6.6887,=9.5632,=0.6695,=0.5959,=0.3905,=0.4953,=0.6210,=0.8039,=1.0771,=2.6953,=0.9764,=1.0519,=1.5142,=1.8273,=2.3066,=3.1066,,=0.0966,,=0.0484,=731
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0069,=4429.8300,=0.1017,=7.4558,=0.9895,=4.1647,=4.5995,=5.5045,=6.7642,=7.6037,=0.7086,=0.9820,=0.4381,=0.4906,=0.5791,=0.6671,=0.7227,=0.9997,=0.9910,=0.5323,=0.5898,=0.7234,=0.9004,=1.0190,,=0.0971,,=0.0544,=181
="399809",保险主题,2015-02-13,=-0.0087,=2729.7200,=0.0232,=7.4728,=0.3051,=5.4537,=6.8119,=10.6404,=15.0228,=22.8725,=0.8412,=0.3137,=0.6352,=0.7669,=1.2297,=1.4853,=1.9794,=2.1964,=0.9449,=0.5239,=0.8689,=1.0954,=1.3559,=2.3772,=0.0826,=0.0985,=0.0781,=0.0389,=1437
="931233",港股通央企红利,2017-06-28,=0.0079,=1248.1200,=0.0706,=7.4771,=0.8171,=3.6988,=4.9339,=6.2600,=7.4093,=14.0775,=0.7173,=0.6662,=0.3929,=0.5212,=0.6377,=0.8696,=1.8161,=1.0297,=0.5894,=0.4645,=0.6176,=0.9319,=1.4009,=1.7583,,=0.0974,,=0.0546,=356
="000018",180金融,2007-12-10,=-0.0016,=5726.3600,=-0.0360,=7.5370,=0.5136,=5.2016,=6.4237,=7.4932,=8.3000,=10.8609,=0.8035,=0.3709,=0.5902,=0.6966,=0.9000,=1.0756,=1.4199,=2.2848,=0.8610,=1.2355,=1.5826,=1.9170,=2.1768,=2.8772,=0.0783,=0.0991,=0.0776,=0.0389,=758
="987016",港股通红利低波,2021-11-18,,,=0.0903,=7.6206,=0.9951,=3.4544,=4.2765,=4.8267,=6.0107,=7.7483,=0.7104,=0.9951,=0.4152,=0.4834,=0.5336,=0.6148,=0.7226,=1.2513,=0.9951,=0.5827,=0.6557,=0.7832,=0.9316,=1.2728,,=0.0954,,=0.0549,=74
="H11140",香港红利,2009-07-23,=0.0054,=3913.0700,=0.0717,=7.6572,=0.7747,=3.0693,=4.4554,=5.9848,=8.4154,=13.9623,=0.7347,=0.6311,=0.3833,=0.5103,=0.6308,=0.8659,=1.1652,=1.2347,=0.7043,=0.5431,=0.7464,=0.9729,=1.6121,=2.1349,,=0.0987,,=0.0553,=7
