指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0064,=12194.7400,=-0.0461,=5.8339,=0.7865,=3.2016,=4.0368,=5.1335,=5.8687,=7.9938,=0.5513,=0.4314,=0.3790,=0.4541,=0.5697,=0.7182,=1.0569,=2.2232,=0.8687,=1.0856,=1.4247,=1.7284,=2.0495,=2.9053,,=0.0932,,=0.0544,=62
="H11146",港股通内地金融,2010-06-02,=-0.0057,=1117.4800,=0.0153,=6.3688,=0.6584,=3.2759,=4.5181,=5.7964,=6.7473,=9.2347,=0.6476,=0.4271,=0.3797,=0.4941,=0.6873,=0.8770,=1.1859,=1.6462,=0.8626,=0.6692,=0.9479,=1.2471,=1.5684,=2.1885,,=0.0965,,=0.0466,=26
="399986",中证银行,2013-07-15,=-0.0057,=7186.9600,=-0.0547,=6.8429,=0.8110,=4.1183,=5.2645,=6.1902,=6.8062,=9.0846,=0.6706,=0.3558,=0.4848,=0.5838,=0.7289,=0.9083,=1.2416,=2.6081,=0.8814,=1.4134,=1.7845,=2.1078,=2.4258,=3.3016,=0.0685,=0.0932,=0.0729,=0.0454,=9286
="930792",HK银行,2016-04-22,=-0.0067,=4397.4500,=-0.0016,=6.9412,=0.8423,=3.2659,=4.4431,=5.7659,=6.6640,=9.5632,=0.6429,=0.5427,=0.3905,=0.4947,=0.6192,=0.8042,=1.0771,=2.5835,=0.9367,=1.0519,=1.5140,=1.8206,=2.2921,=3.1066,,=0.0966,,=0.0509,=724
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0020,=4124.2300,=0.0257,=7.0566,=0.9446,=4.1647,=4.5841,=5.4712,=6.6979,=7.6037,=0.6707,=0.8369,=0.4381,=0.4889,=0.5770,=0.6639,=0.7227,=0.9457,=0.9431,=0.5323,=0.5895,=0.7212,=0.8928,=1.0190,,=0.1030,,=0.0575,=167
="931233",港股通央企红利,2017-06-28,=-0.0024,=1172.5993,=0.0058,=7.0922,=0.7110,=3.6988,=4.9299,=6.2449,=7.4093,=14.0775,=0.6804,=0.6013,=0.3929,=0.5207,=0.6352,=0.8715,=1.8161,=0.9763,=0.5594,=0.4645,=0.6161,=0.9268,=1.4025,=1.7583,,=0.0974,,=0.0575,=326
="987016",港股通红利低波,2021-11-18,,,=0.0007,=7.1873,=0.9644,=3.4544,=4.2724,=4.7970,=5.9584,=7.7483,=0.6699,=0.9070,=0.4152,=0.4828,=0.5322,=0.6065,=0.7226,=1.1801,=0.9644,=0.5827,=0.6550,=0.7762,=0.9163,=1.2728,,=0.0954,,=0.0582,=54
="H30106",H300金融服务,2013-05-21,=-0.0077,=1552.0700,=0.0257,=7.3985,=0.6771,=4.0175,=5.3627,=6.8170,=7.7687,=11.1922,=0.7748,=0.5389,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0685,=0.9404,=0.8557,=1.1817,=1.4445,=1.7966,=2.3593,,=0.1022,,=0.0445,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0013,=2833.3000,=0.0182,=7.4165,=0.9701,=3.7550,=5.0304,=5.7444,=6.5795,=7.8564,=0.7556,=0.9047,=0.4590,=0.5760,=0.6344,=0.7150,=0.8175,=1.1401,=0.9771,=0.5101,=0.6859,=0.7869,=0.8843,=1.2090,,=0.1015,,=0.0539,=249
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=-0.0015,=4569.5800,=0.0227,=7.4656,=0.8593,=3.5572,=4.6200,=5.9074,=7.0269,=9.5068,=0.6617,=0.6288,=0.3828,=0.4838,=0.5711,=0.8213,=1.1073,=0.9918,=0.6139,=0.4386,=0.6423,=0.8340,=1.4404,=2.0623,,=0.0870,,=0.0580,=1272
="399809",保险主题,2015-02-13,=-0.0036,=2712.4100,=0.0167,=7.5290,=0.3048,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8475,=0.3097,=0.6352,=0.7669,=1.2308,=1.4853,=1.9794,=2.2129,=0.9477,=0.5239,=0.8689,=1.0929,=1.3439,=2.3772,=0.0826,=0.0985,=0.0781,=0.0386,=1417
="000018",180金融,2007-12-10,=-0.0040,=5702.5700,=-0.0400,=7.5732,=0.5280,=5.2016,=6.4226,=7.4894,=8.3000,=10.8609,=0.8065,=0.3674,=0.5902,=0.6966,=0.9121,=1.0762,=1.4199,=2.2958,=0.8633,=1.2355,=1.5826,=1.9104,=2.1637,=2.8772,=0.0787,=0.0991,=0.0776,=0.0387,=758
="HSHDYI",恒生高股息率指数,2012-12-10,=-0.0024,=1299.3600,=0.0187,=7.6214,=0.7981,=3.6777,=4.8612,=6.5517,=7.6316,=10.6953,=0.7114,=0.5577,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1196,=0.5650,=0.5013,=0.7008,=1.0580,=1.5005,=1.9871,,=0.0974,,=0.0578,=873
