指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0120,=12104.9400,=-0.0531,=5.7674,=0.7590,=3.2016,=4.0402,=5.1336,=5.8686,=7.9938,=0.5450,=0.4067,=0.3790,=0.4542,=0.5697,=0.7181,=1.0569,=2.1979,=0.8581,=1.0856,=1.4251,=1.7286,=2.0506,=2.9053,,=0.0932,,=0.0550,=62
="H11146",港股通内地金融,2010-06-02,=-0.0086,=1113.5742,=0.0117,=6.3406,=0.6422,=3.2759,=4.5181,=5.7982,=6.7473,=9.2347,=0.6448,=0.4238,=0.3797,=0.4941,=0.6866,=0.8770,=1.1859,=1.6389,=0.8549,=0.6692,=0.9479,=1.2474,=1.5693,=2.1885,,=0.0965,,=0.0468,=26
="399986",中证银行,2013-07-15,=-0.0158,=7127.3700,=-0.0626,=6.7576,=0.7813,=4.1183,=5.2645,=6.1919,=6.8062,=9.0846,=0.6623,=0.3348,=0.4848,=0.5838,=0.7288,=0.9082,=1.2416,=2.5756,=0.8670,=1.4134,=1.7845,=2.1081,=2.4276,=3.3016,=0.0685,=0.0932,=0.0729,=0.0460,=9290
="930792",HK银行,2016-04-22,=-0.0070,=4364.7500,=-0.0091,=6.8856,=0.8337,=3.2659,=4.4431,=5.7671,=6.6713,=9.5632,=0.6377,=0.5335,=0.3905,=0.4947,=0.6195,=0.8042,=1.0771,=2.5661,=0.9231,=1.0519,=1.5140,=1.8211,=2.2953,=3.1066,,=0.0966,,=0.0514,=724
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0001,=4137.9900,=0.0292,=7.0301,=0.9294,=4.1647,=4.5841,=5.4750,=6.7051,=7.6037,=0.6682,=0.8221,=0.4381,=0.4889,=0.5771,=0.6641,=0.7227,=0.9422,=0.9325,=0.5323,=0.5895,=0.7212,=0.8932,=1.0190,,=0.1030,,=0.0577,=168
="931233",港股通央企红利,2017-06-28,=-0.0024,=1176.6300,=0.0093,=7.0705,=0.7017,=3.6988,=4.9313,=6.2462,=7.4065,=14.0775,=0.6783,=0.5948,=0.3929,=0.5208,=0.6356,=0.8709,=1.8161,=0.9733,=0.5534,=0.4645,=0.6162,=0.9269,=1.4023,=1.7583,,=0.0974,,=0.0577,=327
="987016",港股通红利低波,2021-11-18,,,=0.0068,=7.1605,=0.9585,=3.4544,=4.2729,=4.7973,=5.9584,=7.7483,=0.6674,=0.8963,=0.4152,=0.4828,=0.5325,=0.6067,=0.7226,=1.1757,=0.9576,=0.5827,=0.6551,=0.7764,=0.9191,=1.2728,,=0.0954,,=0.0584,=54
="H30106",H300金融服务,2013-05-21,=-0.0053,=1548.4100,=0.0232,=7.3767,=0.6677,=4.0175,=5.3627,=6.8208,=7.7687,=11.1922,=0.7725,=0.5361,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0640,=0.9376,=0.8557,=1.1817,=1.4452,=1.8002,=2.3593,,=0.1022,,=0.0446,=16
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=-0.0001,=2851.9600,=0.0249,=7.4135,=0.9683,=3.7550,=5.0304,=5.7449,=6.5893,=7.8564,=0.7553,=0.9023,=0.4590,=0.5760,=0.6345,=0.7157,=0.8175,=1.1396,=0.9759,=0.5101,=0.6859,=0.7870,=0.8850,=1.2090,,=0.1015,,=0.0539,=249
="399809",保险主题,2015-02-13,=-0.0117,=2696.0800,=0.0106,=7.4413,=0.2982,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8377,=0.3072,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1871,=0.9452,=0.5239,=0.8689,=1.0929,=1.3447,=2.3772,=0.0826,=0.0985,=0.0781,=0.0390,=1419
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0022,=4613.5300,=0.0326,=7.4524,=0.8576,=3.5572,=4.6210,=5.9076,=7.0307,=9.5068,=0.6606,=0.6259,=0.3828,=0.4838,=0.5711,=0.8209,=1.1073,=0.9900,=0.6119,=0.4386,=0.6424,=0.8342,=1.4383,=2.0623,,=0.0870,,=0.0581,=1273
="000018",180金融,2007-12-10,=-0.0143,=5657.1100,=-0.0477,=7.4955,=0.5016,=5.2016,=6.4226,=7.4917,=8.3000,=10.8609,=0.7982,=0.3600,=0.5902,=0.6966,=0.9103,=1.0759,=1.4199,=2.2722,=0.8558,=1.2355,=1.5826,=1.9108,=2.1677,=2.8772,=0.0787,=0.0991,=0.0776,=0.0391,=758
="H30270",红利价值,2013-12-19,=-0.0069,=9444.3000,=-0.0092,=7.5958,=0.7197,=4.4543,=5.4060,=6.7110,=8.8441,=13.0955,=0.7913,=0.5902,=0.5256,=0.6470,=0.7544,=1.2658,=1.7317,=1.5322,=0.9886,=0.5854,=0.8051,=0.9885,=1.2366,=1.6166,=0.0710,=0.0973,=0.0746,=0.0450,=131
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0040,=1309.5600,=0.0267,=7.6042,=0.7945,=3.6777,=4.8612,=6.5552,=7.6316,=10.6953,=0.7098,=0.5561,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1171,=0.5617,=0.5013,=0.7008,=1.0590,=1.5005,=1.9871,,=0.0974,,=0.0579,=874
="000818",细分金融,2012-04-11,=-0.0131,=7072.6900,=-0.0421,=7.6378,=0.4881,=5.2356,=6.4985,=7.6824,=8.4792,=10.9951,=0.8129,=0.3546,=0.5930,=0.7010,=0.9243,=1.1021,=1.4303,=2.3320,=0.8575,=1.2689,=1.6360,=1.9651,=2.2195,=2.9111,=0.0780,=0.0967,=0.0768,=0.0382,=4
="HSSCHKY",恒生港股通高股息率指数,2019-11-01,=0.0026,=2560.2100,=0.0333,=7.6948,=0.9654,=3.8979,=4.9352,=5.7741,=7.0426,=8.1550,=0.6960,=0.8768,=0.4277,=0.5146,=0.5709,=0.6606,=0.8197,=1.1850,=0.9211,=0.5333,=0.6930,=0.8613,=1.0929,=1.3442,,=0.0939,,=0.0554,=444
="930914",港股通高股息,2016-11-25,=0.0008,=4929.3900,=0.0024,=7.7527,=0.8197,=3.4280,=4.3952,=5.8190,=7.6371,=11.1979,=0.7334,=0.6837,=0.3979,=0.4995,=0.6058,=0.8582,=1.1764,=1.2080,=0.7922,=0.5144,=0.6900,=0.9132,=1.2174,=2.2126,,=0.1031,,=0.0573,=577
="932596",港股通红利低波,2016-02-04,=0.0009,=3950.1700,=0.0184,=7.8620,=0.4286,=7.4451,=7.6473,=7.9182,=8.2718,=8.5745,=0.7157,=0.7857,=0.6528,=0.6715,=0.7012,=0.7161,=0.7309,=1.2843,=0.4286,=1.2161,=1.2491,=1.2934,=1.3601,=1.4099,,,,=0.0554,=38
