指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=-0.0012,=12089.8500,=-0.0543,=5.7568,=0.7547,=3.2016,=4.0402,=5.1351,=5.8686,=7.9938,=0.5440,=0.4031,=0.3790,=0.4542,=0.5697,=0.7181,=1.0569,=2.1938,=0.8553,=1.0856,=1.4251,=1.7286,=2.0509,=2.9053,,=0.0932,,=0.0551,=62
="H11146",港股通内地金融,2010-06-02,=-0.0107,=1101.6700,=0.0009,=6.2916,=0.6187,=3.2759,=4.5181,=5.7992,=6.7473,=9.2347,=0.6398,=0.4165,=0.3797,=0.4941,=0.6865,=0.8770,=1.1859,=1.6262,=0.8424,=0.6692,=0.9479,=1.2475,=1.5694,=2.1885,,=0.0965,,=0.0472,=26
="399986",中证银行,2013-07-15,=-0.0042,=7097.7200,=-0.0665,=6.6890,=0.7496,=4.1183,=5.2645,=6.1924,=6.8062,=9.0846,=0.6555,=0.3217,=0.4848,=0.5838,=0.7287,=0.9081,=1.2416,=2.5494,=0.8521,=1.4134,=1.7845,=2.1082,=2.4279,=3.3016,=0.0685,=0.0932,=0.0729,=0.0465,=9292
="930792",HK银行,2016-04-22,=0.0005,=4367.1302,=-0.0085,=6.8852,=0.8333,=3.2659,=4.4431,=5.7672,=6.6718,=9.5632,=0.6377,=0.5333,=0.3905,=0.4947,=0.6196,=0.8042,=1.0771,=2.5660,=0.9227,=1.0519,=1.5140,=1.8211,=2.2962,=3.1066,,=0.0966,,=0.0514,=724
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0010,=4142.2100,=0.0302,=7.0556,=0.9418,=4.1647,=4.5946,=5.4774,=6.7051,=7.6037,=0.6706,=0.8361,=0.4381,=0.4893,=0.5772,=0.6641,=0.7227,=0.9456,=0.9418,=0.5323,=0.5895,=0.7213,=0.8932,=1.0190,,=0.1030,,=0.0575,=169
="931233",港股通央企红利,2017-06-28,=0.0044,=1181.7500,=0.0137,=7.0870,=0.7082,=3.6988,=4.9313,=6.2471,=7.4065,=14.0775,=0.6799,=0.5986,=0.3929,=0.5208,=0.6356,=0.8709,=1.8161,=0.9756,=0.5586,=0.4645,=0.6162,=0.9270,=1.4023,=1.7583,,=0.0974,,=0.0576,=331
="987016",港股通红利低波,2021-11-18,,,=0.0052,=7.2002,=0.9665,=3.4544,=4.2729,=4.7975,=5.9616,=7.7483,=0.6711,=0.9103,=0.4152,=0.4828,=0.5326,=0.6070,=0.7226,=1.1822,=0.9665,=0.5827,=0.6551,=0.7765,=0.9205,=1.2728,,=0.0954,,=0.0581,=55
="H30106",H300金融服务,2013-05-21,=-0.0057,=1539.6500,=0.0174,=7.3336,=0.6519,=4.0175,=5.3627,=6.8238,=7.7687,=11.1922,=0.7680,=0.5271,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0519,=0.9295,=0.8557,=1.1817,=1.4453,=1.8006,=2.3593,,=0.1022,,=0.0449,=16
="399809",保险主题,2015-02-13,=-0.0166,=2651.3300,=-0.0062,=7.3348,=0.2928,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8257,=0.3064,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1558,=0.9423,=0.5239,=0.8689,=1.0929,=1.3453,=2.3772,=0.0826,=0.0985,=0.0781,=0.0396,=1419
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0049,=2865.9000,=0.0299,=7.4099,=0.9670,=3.7550,=5.0304,=5.7462,=6.5925,=7.8564,=0.7549,=0.9011,=0.4590,=0.5760,=0.6345,=0.7159,=0.8175,=1.1391,=0.9753,=0.5101,=0.6859,=0.7873,=0.8854,=1.2090,,=0.1015,,=0.0540,=249
