指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0054,=12800.2100,=0.0013,=5.9589,=0.8334,=3.2016,=4.0355,=5.1310,=5.8623,=7.9938,=0.5622,=0.4739,=0.3790,=0.4537,=0.5704,=0.7185,=1.0569,=2.2708,=0.8959,=1.0856,=1.4243,=1.7258,=2.0408,=2.9053,,=0.0932,,=0.0532,=58
="H11146",港股通内地金融,2010-06-02,=0.0190,=1141.1600,=0.0368,=6.5393,=0.7338,=3.2759,=4.5181,=5.7826,=6.7473,=9.2347,=0.6650,=0.4558,=0.3797,=0.4941,=0.6890,=0.8776,=1.1859,=1.6903,=0.9080,=0.6692,=0.9479,=1.2460,=1.5631,=2.1885,,=0.0965,,=0.0454,=24
="930792",HK银行,2016-04-22,=0.0078,=4444.1300,=0.0090,=7.0325,=0.8630,=3.2659,=4.4424,=5.7608,=6.6436,=9.5632,=0.6513,=0.5614,=0.3905,=0.4944,=0.6169,=0.8055,=1.0771,=2.6175,=0.9557,=1.0519,=1.5133,=1.8175,=2.2846,=3.1066,,=0.0966,,=0.0503,=719
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0130,=4109.4900,=0.0221,=7.0832,=0.9563,=4.1647,=4.5803,=5.4604,=6.6176,=7.6037,=0.6732,=0.8518,=0.4381,=0.4887,=0.5765,=0.6617,=0.7227,=0.9493,=0.9563,=0.5323,=0.5875,=0.7198,=0.8882,=1.0190,,=0.1030,,=0.0573,=160
="399986",中证银行,2013-07-15,=0.0052,=7616.1800,=0.0017,=7.1755,=0.8769,=4.1183,=5.2645,=6.1807,=6.7943,=9.0846,=0.7017,=0.4110,=0.4848,=0.5838,=0.7300,=0.9092,=1.2416,=2.7348,=0.9382,=1.4134,=1.7845,=2.1074,=2.4207,=3.3016,=0.0685,=0.0932,=0.0729,=0.0433,=9260
="931233",港股通央企红利,2017-06-28,=0.0078,=1183.3500,=0.0150,=7.1826,=0.7450,=3.6988,=4.9297,=6.2370,=7.4099,=14.0775,=0.6891,=0.6207,=0.3929,=0.5205,=0.6344,=0.8719,=1.8161,=0.9887,=0.5663,=0.4645,=0.6157,=0.9244,=1.4030,=1.7583,,=0.0974,,=0.0568,=312
="987016",港股通红利低波,2021-11-18,,,=-0.0030,=7.1920,=0.9691,=3.4544,=4.2692,=4.7744,=5.8588,=7.7483,=0.6704,=0.9112,=0.4152,=0.4826,=0.5315,=0.6037,=0.7226,=1.1809,=0.9691,=0.5827,=0.6535,=0.7753,=0.9004,=1.2728,,=0.0954,,=0.0581,=42
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0106,=2831.4300,=0.0175,=7.4888,=0.9847,=3.7550,=5.0299,=5.7331,=6.5716,=7.8564,=0.7629,=0.9355,=0.4590,=0.5759,=0.6339,=0.7103,=0.8175,=1.1512,=0.9853,=0.5101,=0.6858,=0.7862,=0.8819,=1.2090,,=0.1015,,=0.0534,=246
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0063,=4509.5600,=0.0093,=7.5182,=0.8681,=3.5572,=4.6198,=5.9042,=7.0053,=9.5068,=0.6668,=0.6361,=0.3828,=0.4838,=0.5697,=0.8215,=1.1073,=1.0037,=0.6258,=0.4386,=0.6413,=0.8323,=1.4414,=2.0623,,=0.0870,,=0.0580,=1237
="H30106",H300金融服务,2013-05-21,=0.0220,=1580.2700,=0.0443,=7.5786,=0.7524,=4.0175,=5.3627,=6.7805,=7.7687,=11.1922,=0.7937,=0.5652,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1189,=0.9579,=0.8557,=1.1817,=1.4422,=1.7916,=2.3593,,=0.1022,,=0.0434,=16
="HSHDYI",恒生高股息率指数,2012-12-10,=0.0087,=1287.0300,=0.0091,=7.7097,=0.8119,=3.6777,=4.8612,=6.5434,=7.6169,=10.6953,=0.7198,=0.5751,=0.4041,=0.5046,=0.6483,=0.9078,=1.1746,=1.1377,=0.5841,=0.5013,=0.7008,=1.0566,=1.5005,=1.9871,,=0.0974,,=0.0575,=867
