指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0050,=12113.7900,=-0.0524,=5.8346,=0.7866,=3.2016,=4.0402,=5.1435,=5.8686,=7.9938,=0.5514,=0.4326,=0.3790,=0.4542,=0.5695,=0.7181,=1.0569,=2.2235,=0.8686,=1.0856,=1.4251,=1.7289,=2.0528,=2.9053,,=0.0932,,=0.0544,=61
="H11146",港股通内地金融,2010-06-02,=0.0191,=1130.6689,=0.0272,=6.4475,=0.6941,=3.2759,=4.5181,=5.8045,=6.7473,=9.2347,=0.6556,=0.4417,=0.3797,=0.4941,=0.6862,=0.8770,=1.1859,=1.6665,=0.8837,=0.6692,=0.9479,=1.2486,=1.5711,=2.1885,,=0.0965,,=0.0460,=27
="399986",中证银行,2013-07-15,=-0.0011,=7051.3800,=-0.0726,=6.6810,=0.7459,=4.1183,=5.2645,=6.1958,=6.8062,=9.0846,=0.6549,=0.3213,=0.4848,=0.5838,=0.7279,=0.9081,=1.2416,=2.5463,=0.8509,=1.4134,=1.7845,=2.1092,=2.4293,=3.3016,=0.0685,=0.0932,=0.0729,=0.0465,=9302
="930792",HK银行,2016-04-22,=0.0172,=4467.4900,=0.0143,=7.0474,=0.8655,=3.2659,=4.4442,=5.7691,=6.6776,=9.5632,=0.6527,=0.5654,=0.3905,=0.4948,=0.6200,=0.8041,=1.0771,=2.6264,=0.9593,=1.0519,=1.5140,=1.8238,=2.2968,=3.1066,,=0.0966,,=0.0502,=727
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0083,=4237.3200,=0.0539,=7.1909,=0.9634,=4.1647,=4.5946,=5.4888,=6.7301,=7.6037,=0.6834,=0.8841,=0.4381,=0.4893,=0.5772,=0.6646,=0.7227,=0.9637,=0.9634,=0.5323,=0.5895,=0.7220,=0.8963,=1.0190,,=0.1030,,=0.0564,=173
="931233",港股通央企红利,2017-06-28,=0.0072,=1198.5500,=0.0281,=7.2133,=0.7522,=3.6988,=4.9316,=6.2501,=7.4034,=14.0775,=0.6920,=0.6282,=0.3929,=0.5211,=0.6361,=0.8705,=1.8161,=0.9929,=0.5710,=0.4645,=0.6166,=0.9284,=1.4022,=1.7583,,=0.0974,,=0.0566,=338
="987016",港股通红利低波,2021-11-18,,,=0.0228,=7.3360,=0.9764,=3.4544,=4.2729,=4.8104,=5.9736,=7.7483,=0.6839,=0.9341,=0.4152,=0.4828,=0.5328,=0.6080,=0.7226,=1.2045,=0.9764,=0.5827,=0.6551,=0.7781,=0.9268,=1.2728,,=0.0954,,=0.0570,=57
="399809",保险主题,2015-02-13,=0.0173,=2701.8800,=0.0127,=7.3881,=0.2982,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8317,=0.3081,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1715,=0.9440,=0.5239,=0.8689,=1.0931,=1.3459,=2.3772,=0.0826,=0.0985,=0.0781,=0.0393,=1422
="000018",180金融,2007-12-10,=0.0011,=5604.8600,=-0.0565,=7.4294,=0.4778,=5.2016,=6.4226,=7.4917,=8.3000,=10.8609,=0.7913,=0.3456,=0.5902,=0.6966,=0.9040,=1.0756,=1.4199,=2.2521,=0.8456,=1.2355,=1.5826,=1.9128,=2.1707,=2.8772,=0.0787,=0.0991,=0.0776,=0.0395,=758
="H30106",H300金融服务,2013-05-21,=0.0226,=1585.1721,=0.0475,=7.5352,=0.7354,=4.0175,=5.3627,=6.8246,=7.7687,=11.1922,=0.7891,=0.5644,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1083,=0.9546,=0.8557,=1.1817,=1.4456,=1.8016,=2.3593,,=0.1022,,=0.0437,=15
