指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0048,=12053.5700,=-0.0571,=5.7661,=0.7589,=3.2016,=4.0402,=5.1401,=5.8686,=7.9938,=0.5449,=0.4071,=0.3790,=0.4542,=0.5696,=0.7181,=1.0569,=2.1974,=0.8574,=1.0856,=1.4251,=1.7288,=2.0512,=2.9053,,=0.0932,,=0.0550,=61
="H11146",港股通内地金融,2010-06-02,=0.0096,=1109.5243,=0.0080,=6.3310,=0.6386,=3.2759,=4.5181,=5.8026,=6.7473,=9.2347,=0.6438,=0.4222,=0.3797,=0.4941,=0.6863,=0.8770,=1.1859,=1.6364,=0.8513,=0.6692,=0.9479,=1.2486,=1.5705,=2.1885,,=0.0965,,=0.0469,=26
="399986",中证银行,2013-07-15,=0.0038,=7059.1900,=-0.0715,=6.6742,=0.7422,=4.1183,=5.2645,=6.1928,=6.8062,=9.0846,=0.6542,=0.3200,=0.4848,=0.5838,=0.7284,=0.9081,=1.2416,=2.5438,=0.8493,=1.4134,=1.7845,=2.1084,=2.4292,=3.3016,=0.0685,=0.0932,=0.0729,=0.0466,=9300
="930792",HK银行,2016-04-22,=0.0064,=4392.1300,=-0.0028,=6.9245,=0.8393,=3.2659,=4.4442,=5.7689,=6.6733,=9.5632,=0.6413,=0.5415,=0.3905,=0.4948,=0.6199,=0.8041,=1.0771,=2.5806,=0.9352,=1.0519,=1.5140,=1.8236,=2.2963,=3.1066,,=0.0966,,=0.0511,=726
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0219,=4202.6100,=0.0452,=7.1170,=0.9557,=4.1647,=4.5946,=5.4843,=6.7069,=7.6037,=0.6764,=0.8611,=0.4381,=0.4893,=0.5772,=0.6646,=0.7227,=0.9538,=0.9557,=0.5323,=0.5895,=0.7217,=0.8960,=1.0190,,=0.1030,,=0.0570,=173
="931233",港股通央企红利,2017-06-28,=0.0131,=1189.9700,=0.0207,=7.1414,=0.7325,=3.6988,=4.9313,=6.2490,=7.4065,=14.0775,=0.6851,=0.6131,=0.3929,=0.5208,=0.6359,=0.8709,=1.8161,=0.9830,=0.5658,=0.4645,=0.6162,=0.9282,=1.4023,=1.7583,,=0.0974,,=0.0571,=338
="987016",港股通红利低波,2021-11-18,,,=0.0127,=7.2618,=0.9724,=3.4544,=4.2729,=4.8084,=5.9692,=7.7483,=0.6770,=0.9203,=0.4152,=0.4828,=0.5327,=0.6076,=0.7226,=1.1924,=0.9724,=0.5827,=0.6551,=0.7779,=0.9252,=1.2728,,=0.0954,,=0.0576,=57
="399809",保险主题,2015-02-13,=0.0190,=2655.9500,=-0.0045,=7.3352,=0.2937,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8257,=0.3072,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1559,=0.9423,=0.5239,=0.8689,=1.0930,=1.3457,=2.3772,=0.0826,=0.0985,=0.0781,=0.0396,=1423
="H30106",H300金融服务,2013-05-21,=0.0075,=1550.0837,=0.0243,=7.3837,=0.6698,=4.0175,=5.3627,=6.8242,=7.7687,=11.1922,=0.7733,=0.5381,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.0659,=0.9388,=0.8557,=1.1817,=1.4455,=1.8009,=2.3593,,=0.1022,,=0.0446,=15
="000018",180金融,2007-12-10,=0.0068,=5598.9300,=-0.0575,=7.4027,=0.4683,=5.2016,=6.4226,=7.4917,=8.3000,=10.8609,=0.7885,=0.3369,=0.5902,=0.6966,=0.9045,=1.0756,=1.4199,=2.2441,=0.8406,=1.2355,=1.5826,=1.9115,=2.1695,=2.8772,=0.0787,=0.0991,=0.0776,=0.0396,=758
