指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0168,=12481.3200,=-0.0237,=5.9690,=0.8386,=3.2016,=4.0428,=5.1527,=5.8724,=7.9938,=0.5642,=0.4867,=0.3790,=0.4545,=0.5687,=0.7179,=1.0569,=2.2747,=0.8980,=1.0856,=1.4264,=1.7299,=2.0595,=2.9053,,=0.0932,,=0.0532,=63
="H11146",港股通内地金融,2010-06-02,=0.0014,=1149.4902,=0.0443,=6.5453,=0.7338,=3.2759,=4.5181,=5.8153,=6.7473,=9.2347,=0.6656,=0.4647,=0.3797,=0.4941,=0.6858,=0.8770,=1.1859,=1.6918,=0.9068,=0.6692,=0.9479,=1.2512,=1.5752,=2.1885,,=0.0965,,=0.0453,=27
="399986",中证银行,2013-07-15,=0.0160,=7255.4700,=-0.0457,=6.7686,=0.7846,=4.1183,=5.2645,=6.2039,=6.8062,=9.0846,=0.6636,=0.3435,=0.4848,=0.5838,=0.7276,=0.9081,=1.2416,=2.5797,=0.8686,=1.4134,=1.7845,=2.1105,=2.4336,=3.3016,=0.0685,=0.0932,=0.0729,=0.0459,=9330
="930792",HK银行,2016-04-22,=0.0054,=4571.9100,=0.0380,=7.1039,=0.8767,=3.2659,=4.4448,=5.7696,=6.6852,=9.5632,=0.6578,=0.5766,=0.3905,=0.4950,=0.6206,=0.8040,=1.0771,=2.6479,=0.9665,=1.0519,=1.5141,=1.8264,=2.3037,=3.1066,,=0.0966,,=0.0492,=728
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=-0.0031,=4325.9400,=0.0759,=7.3136,=0.9713,=4.1647,=4.5995,=5.4961,=6.7407,=7.6037,=0.6951,=0.9246,=0.4381,=0.4906,=0.5788,=0.6661,=0.7227,=0.9806,=0.9713,=0.5323,=0.5898,=0.7229,=0.8977,=1.0190,,=0.1030,,=0.0555,=179
="931233",港股通央企红利,2017-06-28,=0.0009,=1221.1500,=0.0474,=7.3400,=0.7833,=3.6988,=4.9320,=6.2554,=7.4065,=14.0775,=0.7042,=0.6484,=0.3929,=0.5212,=0.6373,=0.8699,=1.8161,=1.0108,=0.5805,=0.4645,=0.6174,=0.9295,=1.4009,=1.7583,,=0.0974,,=0.0556,=348
="399809",保险主题,2015-02-13,=-0.0027,=2727.4800,=0.0223,=7.4272,=0.3019,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8361,=0.3110,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1830,=0.9444,=0.5239,=0.8689,=1.0945,=1.3519,=2.3772,=0.0826,=0.0985,=0.0781,=0.0391,=1430
="987016",港股通红利低波,2021-11-18,,,=0.0729,=7.4585,=0.9824,=3.4544,=4.2751,=4.8201,=5.9912,=7.7483,=0.6953,=0.9619,=0.4152,=0.4832,=0.5332,=0.6113,=0.7226,=1.2247,=0.9824,=0.5827,=0.6554,=0.7803,=0.9295,=1.2728,,=0.0954,,=0.0561,=65
="000018",180金融,2007-12-10,=0.0088,=5719.1700,=-0.0372,=7.4973,=0.5029,=5.2016,=6.4237,=7.4926,=8.3000,=10.8609,=0.7988,=0.3657,=0.5902,=0.6966,=0.9007,=1.0756,=1.4199,=2.2727,=0.8558,=1.2355,=1.5826,=1.9161,=2.1730,=2.8772,=0.0787,=0.0991,=0.0776,=0.0391,=758
="H11140",香港红利,2009-07-23,=0.0002,=3823.1196,=0.0471,=7.5000,=0.7675,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7196,=0.6104,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2093,=0.6873,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0565,=5
