指数代码,指数名称,发布时间,涨跌幅,收盘点位,今年以来涨跌幅,PE-TTM(当前值),PE-TTM(分位点%),PE-TTM(最小值),PE-TTM(20%分位点值),PE-TTM(50%分位点值),PE-TTM(80%分位点值),PE-TTM(最大正值),PB(当前值),PB(分位点%),PB(最小值),PB(20%分位点值),PB(50%分位点值),PB(80%分位点值),PB(最大正值),PS-TTM(当前值),PS-TTM(分位点%),PS-TTM(最小值),PS-TTM(20%分位点值),PS-TTM(50%分位点值),PS-TTM(80%分位点值),PS-TTM(最大正值),净资产收益率(ROE)(2025Q3),净资产收益率(ROE)(2024Q4),净资产收益率(ROE)(2024Q3),股息率,关注度
="931039",银行AH,2017-12-06,=0.0167,=12366.7457,=-0.0334,=6.0169,=0.8542,=3.2016,=4.0408,=5.1466,=5.8687,=7.9938,=0.5687,=0.4985,=0.3790,=0.4542,=0.5694,=0.7179,=1.0569,=2.2930,=0.9099,=1.0856,=1.4263,=1.7290,=2.0529,=2.9053,,=0.0932,,=0.0527,=64
="H11146",港股通内地金融,2010-06-02,=0.0170,=1176.5836,=0.0666,=6.6829,=0.7796,=3.2759,=4.5181,=5.8081,=6.7473,=9.2347,=0.6796,=0.4838,=0.3797,=0.4941,=0.6862,=0.8770,=1.1859,=1.7274,=0.9388,=0.6692,=0.9479,=1.2488,=1.5721,=2.1885,,=0.0965,,=0.0444,=28
="399986",中证银行,2013-07-15,=0.0155,=7116.4500,=-0.0640,=6.7011,=0.7549,=4.1183,=5.2645,=6.1995,=6.8062,=9.0846,=0.6568,=0.3262,=0.4848,=0.5838,=0.7279,=0.9081,=1.2416,=2.5540,=0.8542,=1.4134,=1.7845,=2.1096,=2.4311,=3.3016,=0.0685,=0.0932,=0.0729,=0.0464,=9312
="930792",HK银行,2016-04-22,=0.0081,=4610.3649,=0.0454,=7.1864,=0.8913,=3.2659,=4.4442,=5.7693,=6.6788,=9.5632,=0.6654,=0.5873,=0.3905,=0.4948,=0.6202,=0.8041,=1.0771,=2.6746,=0.9739,=1.0519,=1.5140,=1.8247,=2.2983,=3.1066,,=0.0966,,=0.0487,=729
="399809",保险主题,2015-02-13,=0.0351,=2788.3600,=0.0452,=7.4534,=0.3011,=5.4537,=6.8119,=10.6431,=15.0228,=22.8725,=0.8390,=0.3110,=0.6352,=0.7669,=1.2300,=1.4853,=1.9794,=2.1907,=0.9452,=0.5239,=0.8689,=1.0932,=1.3472,=2.3772,=0.0826,=0.0985,=0.0781,=0.0390,=1425
="000018",180金融,2007-12-10,=0.0212,=5691.8600,=-0.0418,=7.4926,=0.5004,=5.2016,=6.4226,=7.4925,=8.3000,=10.8609,=0.7981,=0.3620,=0.5902,=0.6966,=0.9022,=1.0756,=1.4199,=2.2713,=0.8550,=1.2355,=1.5826,=1.9146,=2.1709,=2.8772,=0.0787,=0.0991,=0.0776,=0.0391,=758
="HSSCSOY",恒生港股通中国央企红利指数,2023-06-01,=0.0154,=4415.3000,=0.0981,=7.5003,=0.9970,=4.1647,=4.5985,=5.4893,=6.7303,=7.6037,=0.7128,=0.9954,=0.4381,=0.4897,=0.5780,=0.6647,=0.7227,=1.0052,=0.9970,=0.5323,=0.5896,=0.7225,=0.8965,=1.0190,,=0.1030,,=0.0541,=177
="931233",港股通央企红利,2017-06-28,=0.0107,=1239.7522,=0.0601,=7.5013,=0.8213,=3.6988,=4.9316,=6.2521,=7.4093,=14.0775,=0.7196,=0.6694,=0.3929,=0.5211,=0.6366,=0.8705,=1.8161,=1.0326,=0.5891,=0.4645,=0.6166,=0.9289,=1.4022,=1.7583,,=0.0974,,=0.0544,=341
="000818",细分金融,2012-04-11,,,=-0.0556,=7.6398,=0.4885,=5.2356,=6.4985,=7.6824,=8.4792,=10.9951,=0.8132,=0.3575,=0.5930,=0.7010,=0.9218,=1.1017,=1.4303,=2.3326,=0.8579,=1.2689,=1.6360,=1.9664,=2.2217,=2.9111,=0.0780,=0.0967,=0.0768,=0.0382,=4
="987016",港股通红利低波,2021-11-18,,,=0.0595,=7.6594,=0.9980,=3.4544,=4.2733,=4.8127,=5.9787,=7.7483,=0.7140,=0.9980,=0.4152,=0.4829,=0.5330,=0.6085,=0.7226,=1.2576,=0.9980,=0.5827,=0.6552,=0.7788,=0.9274,=1.2728,,=0.0954,,=0.0546,=58
="H11140",香港红利,2009-07-23,=0.0103,=3940.4081,=0.0755,=7.7162,=0.7764,=3.0693,=4.4554,=5.9843,=8.4154,=13.9623,=0.7404,=0.6359,=0.3833,=0.5103,=0.6298,=0.8659,=1.1652,=1.2442,=0.7060,=0.5431,=0.7464,=0.9726,=1.6121,=2.1349,,=0.0987,,=0.0549,=0
="H30106",H300金融服务,2013-05-21,=0.0139,=1646.3503,=0.0864,=7.7312,=0.7905,=4.0175,=5.3627,=6.8291,=7.7687,=11.1922,=0.8101,=0.5972,=0.4470,=0.5779,=0.7482,=0.9081,=1.2489,=2.1583,=0.9660,=0.8557,=1.1817,=1.4460,=1.8028,=2.3593,,=0.1022,,=0.0422,=15
="H30270",红利价值,2013-12-19,=0.0121,=9615.4777,=0.0087,=7.7460,=0.7463,=4.4543,=5.4101,=6.7145,=8.8354,=13.0955,=0.8073,=0.6221,=0.5256,=0.6471,=0.7550,=1.2647,=1.7317,=1.5625,=0.9900,=0.5854,=0.8052,=0.9890,=1.2402,=1.6166,=0.0710,=0.0973,=0.0746,=0.0441,=133
="HSMCHYI",恒生中国内地企业高股息率指数,2019-09-01,=0.0131,=3000.0200,=0.0781,=7.8706,=1,=3.7550,=5.0309,=5.7504,=6.5952,=7.8706,=0.8018,=0.9912,=0.4590,=0.5762,=0.6347,=0.7170,=0.8175,=1.2099,=1,=0.5101,=0.6864,=0.7879,=0.8875,=1.2099,,=0.1015,,=0.0508,=250
="000914",300金融,2007-07-02,=0.0215,=6499.2400,=-0.0325,=7.9341,=0.5420,=5.2769,=6.6035,=7.7947,=8.5959,=11.3863,=0.8106,=0.3435,=0.5962,=0.7048,=0.9444,=1.1423,=1.4919,=2.1826,=0.8686,=1.1210,=1.4313,=1.8124,=2.0540,=2.7052,=0.0752,=0.0912,=0.0734,=0.0377,=334
="HSHYLV",恒生港股通高股息低波动指数,2017-05-08,=0.0110,=4806.1200,=0.0757,=7.9462,=0.8993,=3.5572,=4.6217,=5.9108,=7.0497,=9.5068,=0.7044,=0.7044,=0.3828,=0.4838,=0.5718,=0.8206,=1.1073,=1.0556,=0.6455,=0.4386,=0.6435,=0.8349,=1.4362,=2.0623,,=0.0870,,=0.0545,=1286
="000151",上国红利,2012-07-20,=0.0148,=1581.8200,=0.0354,=8.0827,=0.8830,=4.5075,=5.3671,=6.8473,=7.5410,=10.0345,=0.7645,=0.5169,=0.5268,=0.6196,=0.7561,=0.9686,=1.3272,=1.0313,=0.3974,=0.6026,=0.8954,=1.1228,=1.3114,=1.6854,=0.0643,=0.0941,=0.0692,=0.0523,=167
